DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,PositionChange,Year,Event
44,HAM,,Mercedes,,Lewis,Hamilton,Lewis Hamilton,,,,,,,,,,,2020,Portuguese Grand Prix
77,BOT,,Mercedes,,Valtteri,Bottas,Valtteri Bottas,,,,,,,,,,,2020,Portuguese Grand Prix
33,VER,,Red Bull Racing,,Max,Verstappen,Max Verstappen,,,,,,,,,,,2020,Portuguese Grand Prix
16,LEC,,Ferrari,,Charles,Leclerc,Charles Leclerc,,,,,,,,,,,2020,Portuguese Grand Prix
11,PER,,Racing Point,,Sergio,Perez,Sergio Perez,,,,,,,,,,,2020,Portuguese Grand Prix
23,ALB,,Red Bull Racing,,Alexander,Albon,Alexander Albon,,,,,,,,,,,2020,Portuguese Grand Prix
55,SAI,,McLaren,,Carlos,Sainz,Carlos Sainz,,,,,,,,,,,2020,Portuguese Grand Prix
4,NOR,,McLaren,,Lando,Norris,Lando Norris,,,,,,,,,,,2020,Portuguese Grand Prix
10,GAS,,AlphaTauri,,Pierre,Gasly,Pierre Gasly,,,,,,,,,,,2020,Portuguese Grand Prix
3,RIC,,Renault,,Daniel,Ricciardo,Daniel Ricciardo,,,,,,,,,,,2020,Portuguese Grand Prix
31,OCO,,Renault,,Esteban,Ocon,Esteban Ocon,,,,,,,,,,,2020,Portuguese Grand Prix
18,STR,,Racing Point,,Lance,Stroll,Lance Stroll,,,,,,,,,,,2020,Portuguese Grand Prix
26,KVY,,AlphaTauri,,Daniil,Kvyat,Daniil Kvyat,,,,,,,,,,,2020,Portuguese Grand Prix
63,RUS,,Williams,,George,Russell,George Russell,,,,,,,,,,,2020,Portuguese Grand Prix
5,VET,,Ferrari,,Sebastian,Vettel,Sebastian Vettel,,,,,,,,,,,2020,Portuguese Grand Prix
7,RAI,,Alfa Romeo Racing,,Kimi,Räikkönen,Kimi Räikkönen,,,,,,,,,,,2020,Portuguese Grand Prix
99,GIO,,Alfa Romeo Racing,,Antonio,Giovinazzi,Antonio Giovinazzi,,,,,,,,,,,2020,Portuguese Grand Prix
8,GRO,,Haas F1 Team,,Romain,Grosjean,Romain Grosjean,,,,,,,,,,,2020,Portuguese Grand Prix
20,MAG,,Haas F1 Team,,Kevin,Magnussen,Kevin Magnussen,,,,,,,,,,,2020,Portuguese Grand Prix
6,LAT,,Williams,,Nicholas,Latifi,Nicholas Latifi,,,,,,,,,,,2020,Portuguese Grand Prix
