DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,PositionChange,Year,Event
33,VER,max_verstappen,Red Bull Racing,red_bull,Max,Verstappen,Max Verstappen,1.0,1,1.0,,,,0 days 01:36:28.645000,Finished,25.0,0.0,2020,Abu Dhabi Grand Prix
77,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,2.0,2,2.0,,,,0 days 00:00:15.976000,Finished,18.0,0.0,2020,Abu Dhabi Grand Prix
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,3.0,3,3.0,,,,0 days 00:00:18.415000,Finished,15.0,0.0,2020,Abu Dhabi Grand Prix
23,ALB,albon,Red Bull Racing,red_bull,Alexander,Albon,Alexander Albon,4.0,4,5.0,,,,0 days 00:00:19.987000,Finished,12.0,1.0,2020,Abu Dhabi Grand Prix
4,NOR,norris,McLaren,mclaren,Lando,Norris,Lando Norris,5.0,5,4.0,,,,0 days 00:01:00.729000,Finished,10.0,-1.0,2020,Abu Dhabi Grand Prix
55,SAI,sainz,McLaren,mclaren,Carlos,Sainz,Carlos Sainz,6.0,6,6.0,,,,0 days 00:01:05.662000,Finished,8.0,0.0,2020,Abu Dhabi Grand Prix
3,RIC,ricciardo,Renault,renault,Daniel,Ricciardo,Daniel Ricciardo,7.0,7,11.0,,,,0 days 00:01:13.748000,Finished,7.0,4.0,2020,Abu Dhabi Grand Prix
10,GAS,gasly,AlphaTauri,alphatauri,Pierre,Gasly,Pierre Gasly,8.0,8,9.0,,,,0 days 00:01:29.718000,Finished,4.0,1.0,2020,Abu Dhabi Grand Prix
31,OCO,ocon,Renault,renault,Esteban,Ocon,Esteban Ocon,9.0,9,10.0,,,,0 days 00:00:11.351000,Finished,2.0,1.0,2020,Abu Dhabi Grand Prix
18,STR,stroll,Racing Point,racing_point,Lance,Stroll,Lance Stroll,10.0,10,8.0,,,,0 days 00:00:01.669000,Finished,1.0,-2.0,2020,Abu Dhabi Grand Prix
26,KVY,kvyat,AlphaTauri,alphatauri,Daniil,Kvyat,Daniil Kvyat,11.0,11,7.0,,,,,+1 Lap,0.0,-4.0,2020,Abu Dhabi Grand Prix
7,RAI,raikkonen,Alfa Romeo Racing,alfa,Kimi,Räikkönen,Kimi Räikkönen,12.0,12,15.0,,,,,+1 Lap,0.0,3.0,2020,Abu Dhabi Grand Prix
16,LEC,leclerc,Ferrari,ferrari,Charles,Leclerc,Charles Leclerc,13.0,13,12.0,,,,,+1 Lap,0.0,-1.0,2020,Abu Dhabi Grand Prix
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,14.0,14,13.0,,,,,+1 Lap,0.0,-1.0,2020,Abu Dhabi Grand Prix
63,RUS,russell,Williams,williams,George,Russell,George Russell,15.0,15,16.0,,,,,+1 Lap,0.0,1.0,2020,Abu Dhabi Grand Prix
99,GIO,giovinazzi,Alfa Romeo Racing,alfa,Antonio,Giovinazzi,Antonio Giovinazzi,16.0,16,14.0,,,,,+1 Lap,0.0,-2.0,2020,Abu Dhabi Grand Prix
6,LAT,latifi,Williams,williams,Nicholas,Latifi,Nicholas Latifi,17.0,17,18.0,,,,,+1 Lap,0.0,1.0,2020,Abu Dhabi Grand Prix
20,MAG,kevin_magnussen,Haas F1 Team,haas,Kevin,Magnussen,Kevin Magnussen,18.0,18,20.0,,,,,+1 Lap,0.0,2.0,2020,Abu Dhabi Grand Prix
51,FIT,pietro_fittipaldi,Haas F1 Team,haas,Pietro,Fittipaldi,Pietro Fittipaldi,19.0,19,17.0,,,,,+2 Laps,0.0,-2.0,2020,Abu Dhabi Grand Prix
11,PER,perez,Racing Point,racing_point,Sergio,Perez,Sergio Perez,20.0,R,19.0,,,,,Transmission,0.0,-1.0,2020,Abu Dhabi Grand Prix
