DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,PositionChange,Year,Event
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,1.0,1,1.0,,,,0 days 01:31:54.067000,Finished,25.0,0.0,2015,Australian Grand Prix
6,ROS,rosberg,Mercedes,mercedes,Nico,Rosberg,Nico Rosberg,2.0,2,2.0,,,,0 days 00:00:01.360000,Finished,18.0,0.0,2015,Australian Grand Prix
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,3.0,3,4.0,,,,0 days 00:00:34.523000,Finished,15.0,1.0,2015,Australian Grand Prix
19,MAS,massa,Williams,williams,Felipe,Massa,Felipe Massa,4.0,4,3.0,,,,0 days 00:00:38.196000,Finished,12.0,-1.0,2015,Australian Grand Prix
12,NAS,nasr,Sauber,sauber,Felipe,Nasr,Felipe Nasr,5.0,5,10.0,,,,0 days 00:01:35.149000,Finished,10.0,5.0,2015,Australian Grand Prix
3,RIC,ricciardo,Red Bull,red_bull,Daniel,Ricciardo,Daniel Ricciardo,6.0,6,6.0,,,,,+1 Lap,8.0,0.0,2015,Australian Grand Prix
27,HUL,hulkenberg,Force India,force_india,Nico,Hülkenberg,Nico Hülkenberg,7.0,7,13.0,,,,,+1 Lap,6.0,6.0,2015,Australian Grand Prix
9,ERI,ericsson,Sauber,sauber,Marcus,Ericsson,Marcus Ericsson,8.0,8,15.0,,,,,+1 Lap,4.0,7.0,2015,Australian Grand Prix
55,SAI,sainz,Toro Rosso,toro_rosso,Carlos,Sainz,Carlos Sainz,9.0,9,7.0,,,,,+1 Lap,2.0,-2.0,2015,Australian Grand Prix
11,PER,perez,Force India,force_india,Sergio,Pérez,Sergio Pérez,10.0,10,14.0,,,,,+1 Lap,1.0,4.0,2015,Australian Grand Prix
22,BUT,button,McLaren,mclaren,Jenson,Button,Jenson Button,11.0,11,16.0,,,,,+2 Laps,0.0,5.0,2015,Australian Grand Prix
7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,12.0,R,5.0,,,,,Wheel,0.0,-7.0,2015,Australian Grand Prix
33,VER,max_verstappen,Toro Rosso,toro_rosso,Max,Verstappen,Max Verstappen,13.0,R,11.0,,,,,Engine,0.0,-2.0,2015,Australian Grand Prix
8,GRO,grosjean,Lotus F1,lotus_f1,Romain,Grosjean,Romain Grosjean,14.0,R,8.0,,,,,Power loss,0.0,-6.0,2015,Australian Grand Prix
13,MAL,maldonado,Lotus F1,lotus_f1,Pastor,Maldonado,Pastor Maldonado,15.0,R,9.0,,,,,Accident,0.0,-6.0,2015,Australian Grand Prix
26,KVY,kvyat,Red Bull,red_bull,Daniil,Kvyat,Daniil Kvyat,16.0,W,12.0,,,,,Withdrew,0.0,-4.0,2015,Australian Grand Prix
20,MAG,kevin_magnussen,McLaren,mclaren,Kevin,Magnussen,Kevin Magnussen,17.0,W,17.0,,,,,Withdrew,0.0,0.0,2015,Australian Grand Prix
77,BOT,bottas,Williams,williams,Valtteri,Bottas,Valtteri Bottas,18.0,W,0.0,,,,,Withdrew,0.0,-18.0,2015,Australian Grand Prix
