DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,PositionChange,Year,Event
33,VER,max_verstappen,Red Bull Racing,red_bull,Max,Verstappen,Max Verstappen,1.0,1,2.0,,,,0 days 01:22:01.822000,Finished,26.0,1.0,2019,Austrian Grand Prix
16,LEC,leclerc,Ferrari,ferrari,Charles,Leclerc,Charles Leclerc,2.0,2,1.0,,,,0 days 00:00:02.724000,Finished,18.0,-1.0,2019,Austrian Grand Prix
77,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,3.0,3,3.0,,,,0 days 00:00:18.960000,Finished,15.0,0.0,2019,Austrian Grand Prix
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,4.0,4,9.0,,,,0 days 00:00:19.610000,Finished,12.0,5.0,2019,Austrian Grand Prix
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,5.0,5,4.0,,,,0 days 00:00:22.805000,Finished,10.0,-1.0,2019,Austrian Grand Prix
4,NOR,norris,McLaren,mclaren,Lando,Norris,Lando Norris,6.0,6,5.0,,,,,+1 Lap,8.0,-1.0,2019,Austrian Grand Prix
10,GAS,gasly,Red Bull Racing,red_bull,Pierre,Gasly,Pierre Gasly,7.0,7,8.0,,,,,+1 Lap,6.0,1.0,2019,Austrian Grand Prix
55,SAI,sainz,McLaren,mclaren,Carlos,Sainz,Carlos Sainz,8.0,8,19.0,,,,,+1 Lap,4.0,11.0,2019,Austrian Grand Prix
7,RAI,raikkonen,Alfa Romeo Racing,alfa,Kimi,Räikkönen,Kimi Räikkönen,9.0,9,6.0,,,,,+1 Lap,2.0,-3.0,2019,Austrian Grand Prix
99,GIO,giovinazzi,Alfa Romeo Racing,alfa,Antonio,Giovinazzi,Antonio Giovinazzi,10.0,10,7.0,,,,,+1 Lap,1.0,-3.0,2019,Austrian Grand Prix
11,PER,perez,Racing Point,racing_point,Sergio,Perez,Sergio Perez,11.0,11,13.0,,,,,+1 Lap,0.0,2.0,2019,Austrian Grand Prix
3,RIC,ricciardo,Renault,renault,Daniel,Ricciardo,Daniel Ricciardo,12.0,12,12.0,,,,,+1 Lap,0.0,0.0,2019,Austrian Grand Prix
27,HUL,hulkenberg,Renault,renault,Nico,Hulkenberg,Nico Hulkenberg,13.0,13,15.0,,,,,+1 Lap,0.0,2.0,2019,Austrian Grand Prix
18,STR,stroll,Racing Point,racing_point,Lance,Stroll,Lance Stroll,14.0,14,14.0,,,,,+1 Lap,0.0,0.0,2019,Austrian Grand Prix
23,ALB,albon,Toro Rosso,toro_rosso,Alexander,Albon,Alexander Albon,15.0,15,18.0,,,,,+1 Lap,0.0,3.0,2019,Austrian Grand Prix
8,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,16.0,16,11.0,,,,,+1 Lap,0.0,-5.0,2019,Austrian Grand Prix
26,KVY,kvyat,Toro Rosso,toro_rosso,Daniil,Kvyat,Daniil Kvyat,17.0,17,16.0,,,,,+1 Lap,0.0,-1.0,2019,Austrian Grand Prix
63,RUS,russell,Williams,williams,George,Russell,George Russell,18.0,18,0.0,,,,,+2 Laps,0.0,-18.0,2019,Austrian Grand Prix
20,MAG,kevin_magnussen,Haas F1 Team,haas,Kevin,Magnussen,Kevin Magnussen,19.0,19,10.0,,,,,+2 Laps,0.0,-9.0,2019,Austrian Grand Prix
88,KUB,kubica,Williams,williams,Robert,Kubica,Robert Kubica,20.0,20,17.0,,,,,+3 Laps,0.0,-3.0,2019,Austrian Grand Prix
