DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,PositionChange,Year,Event
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,1.0,1,1.0,,,,0 days 01:33:50.991000,Finished,25.0,0.0,2017,United States Grand Prix
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,2.0,2,2.0,,,,0 days 00:00:10.143000,Finished,18.0,0.0,2017,United States Grand Prix
7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,3.0,3,5.0,,,,0 days 00:00:15.779000,Finished,15.0,2.0,2017,United States Grand Prix
33,VER,max_verstappen,Red Bull,red_bull,Max,Verstappen,Max Verstappen,4.0,4,16.0,,,,0 days 00:00:16.768000,Finished,12.0,12.0,2017,United States Grand Prix
77,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,5.0,5,3.0,,,,0 days 00:00:34.967000,Finished,10.0,-2.0,2017,United States Grand Prix
31,OCO,ocon,Force India,force_india,Esteban,Ocon,Esteban Ocon,6.0,6,6.0,,,,0 days 00:01:30.980000,Finished,8.0,0.0,2017,United States Grand Prix
55,SAI,sainz,Renault,renault,Carlos,Sainz,Carlos Sainz,7.0,7,7.0,,,,0 days 00:01:32.944000,Finished,6.0,0.0,2017,United States Grand Prix
11,PER,perez,Force India,force_india,Sergio,Pérez,Sergio Pérez,8.0,8,9.0,,,,,+1 Lap,4.0,1.0,2017,United States Grand Prix
19,MAS,massa,Williams,williams,Felipe,Massa,Felipe Massa,9.0,9,10.0,,,,,+1 Lap,2.0,1.0,2017,United States Grand Prix
26,KVY,kvyat,Toro Rosso,toro_rosso,Daniil,Kvyat,Daniil Kvyat,10.0,10,11.0,,,,,+1 Lap,1.0,1.0,2017,United States Grand Prix
18,STR,stroll,Williams,williams,Lance,Stroll,Lance Stroll,11.0,11,15.0,,,,,+1 Lap,0.0,4.0,2017,United States Grand Prix
2,VAN,vandoorne,McLaren,mclaren,Stoffel,Vandoorne,Stoffel Vandoorne,12.0,12,20.0,,,,,+1 Lap,0.0,8.0,2017,United States Grand Prix
39,HAR,brendon_hartley,Toro Rosso,toro_rosso,Brendon,Hartley,Brendon Hartley,13.0,13,19.0,,,,,+1 Lap,0.0,6.0,2017,United States Grand Prix
8,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,14.0,14,12.0,,,,,+1 Lap,0.0,-2.0,2017,United States Grand Prix
9,ERI,ericsson,Sauber,sauber,Marcus,Ericsson,Marcus Ericsson,15.0,15,13.0,,,,,+1 Lap,0.0,-2.0,2017,United States Grand Prix
20,MAG,kevin_magnussen,Haas F1 Team,haas,Kevin,Magnussen,Kevin Magnussen,16.0,16,17.0,,,,,+1 Lap,0.0,1.0,2017,United States Grand Prix
14,ALO,alonso,McLaren,mclaren,Fernando,Alonso,Fernando Alonso,17.0,R,8.0,,,,,Engine,0.0,-9.0,2017,United States Grand Prix
3,RIC,ricciardo,Red Bull,red_bull,Daniel,Ricciardo,Daniel Ricciardo,18.0,R,4.0,,,,,Engine,0.0,-14.0,2017,United States Grand Prix
94,WEH,wehrlein,Sauber,sauber,Pascal,Wehrlein,Pascal Wehrlein,19.0,R,14.0,,,,,Collision,0.0,-5.0,2017,United States Grand Prix
27,HUL,hulkenberg,Renault,renault,Nico,Hülkenberg,Nico Hülkenberg,20.0,R,18.0,,,,,Engine,0.0,-2.0,2017,United States Grand Prix
