DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,PositionChange,Year,Event
3,RIC,ricciardo,Red Bull,red_bull,Daniel,Ricciardo,Daniel Ricciardo,1.0,1,4.0,,,,0 days 01:53:05.058000,Finished,25.0,3.0,2014,Hungarian Grand Prix
14,ALO,alonso,Ferrari,ferrari,Fernando,Alonso,Fernando Alonso,2.0,2,5.0,,,,0 days 00:00:05.225000,Finished,18.0,3.0,2014,Hungarian Grand Prix
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,3.0,3,22.0,,,,0 days 00:00:05.857000,Finished,15.0,19.0,2014,Hungarian Grand Prix
6,ROS,rosberg,Mercedes,mercedes,Nico,Rosberg,Nico Rosberg,4.0,4,1.0,,,,0 days 00:00:06.361000,Finished,12.0,-3.0,2014,Hungarian Grand Prix
19,MAS,massa,Williams,williams,Felipe,Massa,Felipe Massa,5.0,5,6.0,,,,0 days 00:00:29.841000,Finished,10.0,1.0,2014,Hungarian Grand Prix
7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,6.0,6,16.0,,,,0 days 00:00:31.491000,Finished,8.0,10.0,2014,Hungarian Grand Prix
1,VET,vettel,Red Bull,red_bull,Sebastian,Vettel,Sebastian Vettel,7.0,7,2.0,,,,0 days 00:00:40.964000,Finished,6.0,-5.0,2014,Hungarian Grand Prix
77,BOT,bottas,Williams,williams,Valtteri,Bottas,Valtteri Bottas,8.0,8,3.0,,,,0 days 00:00:41.344000,Finished,4.0,-5.0,2014,Hungarian Grand Prix
25,VER,vergne,Toro Rosso,toro_rosso,Jean-Éric,Vergne,Jean-Éric Vergne,9.0,9,8.0,,,,0 days 00:00:58.527000,Finished,2.0,-1.0,2014,Hungarian Grand Prix
22,BUT,button,McLaren,mclaren,Jenson,Button,Jenson Button,10.0,10,7.0,,,,0 days 00:01:07.280000,Finished,1.0,-3.0,2014,Hungarian Grand Prix
99,SUT,sutil,Sauber,sauber,Adrian,Sutil,Adrian Sutil,11.0,11,11.0,,,,0 days 00:01:08.169000,Finished,0.0,0.0,2014,Hungarian Grand Prix
20,MAG,kevin_magnussen,McLaren,mclaren,Kevin,Magnussen,Kevin Magnussen,12.0,12,21.0,,,,0 days 00:01:18.465000,Finished,0.0,9.0,2014,Hungarian Grand Prix
13,MAL,maldonado,Lotus F1,lotus_f1,Pastor,Maldonado,Pastor Maldonado,13.0,13,20.0,,,,0 days 00:01:24.024000,Finished,0.0,7.0,2014,Hungarian Grand Prix
26,KVY,kvyat,Toro Rosso,toro_rosso,Daniil,Kvyat,Daniil Kvyat,14.0,14,10.0,,,,,+1 Lap,0.0,-4.0,2014,Hungarian Grand Prix
17,BIA,jules_bianchi,Marussia,marussia,Jules,Bianchi,Jules Bianchi,15.0,15,15.0,,,,,+1 Lap,0.0,0.0,2014,Hungarian Grand Prix
4,CHI,chilton,Marussia,marussia,Max,Chilton,Max Chilton,16.0,16,18.0,,,,,+1 Lap,0.0,2.0,2014,Hungarian Grand Prix
21,GUT,gutierrez,Sauber,sauber,Esteban,Gutiérrez,Esteban Gutiérrez,17.0,R,13.0,,,,,Retired,0.0,-4.0,2014,Hungarian Grand Prix
10,KOB,kobayashi,Caterham,caterham,Kamui,Kobayashi,Kamui Kobayashi,18.0,R,17.0,,,,,Retired,0.0,-1.0,2014,Hungarian Grand Prix
11,PER,perez,Force India,force_india,Sergio,Pérez,Sergio Pérez,19.0,R,12.0,,,,,Accident,0.0,-7.0,2014,Hungarian Grand Prix
27,HUL,hulkenberg,Force India,force_india,Nico,Hülkenberg,Nico Hülkenberg,20.0,R,9.0,,,,,Accident,0.0,-11.0,2014,Hungarian Grand Prix
8,GRO,grosjean,Lotus F1,lotus_f1,Romain,Grosjean,Romain Grosjean,21.0,R,14.0,,,,,Accident,0.0,-7.0,2014,Hungarian Grand Prix
9,ERI,ericsson,Caterham,caterham,Marcus,Ericsson,Marcus Ericsson,22.0,R,19.0,,,,,Accident,0.0,-3.0,2014,Hungarian Grand Prix
