DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,PositionChange,Year,Event
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,1.0,1,2.0,,,,0 days 01:28:32.430000,Finished,26.0,1.0,2020,Emilia Romagna Grand Prix
77,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,2.0,2,1.0,,,,0 days 00:00:05.783000,Finished,18.0,-1.0,2020,Emilia Romagna Grand Prix
3,RIC,ricciardo,Renault,renault,Daniel,Ricciardo,Daniel Ricciardo,3.0,3,5.0,,,,0 days 00:00:14.320000,Finished,15.0,2.0,2020,Emilia Romagna Grand Prix
26,KVY,kvyat,AlphaTauri,alphatauri,Daniil,Kvyat,Daniil Kvyat,4.0,4,8.0,,,,0 days 00:00:15.141000,Finished,12.0,4.0,2020,Emilia Romagna Grand Prix
16,LEC,leclerc,Ferrari,ferrari,Charles,Leclerc,Charles Leclerc,5.0,5,7.0,,,,0 days 00:00:19.111000,Finished,10.0,2.0,2020,Emilia Romagna Grand Prix
11,PER,perez,Racing Point,racing_point,Sergio,Perez,Sergio Perez,6.0,6,11.0,,,,0 days 00:00:19.652000,Finished,8.0,5.0,2020,Emilia Romagna Grand Prix
55,SAI,sainz,McLaren,mclaren,Carlos,Sainz,Carlos Sainz,7.0,7,10.0,,,,0 days 00:00:20.230000,Finished,6.0,3.0,2020,Emilia Romagna Grand Prix
4,NOR,norris,McLaren,mclaren,Lando,Norris,Lando Norris,8.0,8,9.0,,,,0 days 00:00:21.131000,Finished,4.0,1.0,2020,Emilia Romagna Grand Prix
7,RAI,raikkonen,Alfa Romeo Racing,alfa,Kimi,Räikkönen,Kimi Räikkönen,9.0,9,18.0,,,,0 days 00:00:22.224000,Finished,2.0,9.0,2020,Emilia Romagna Grand Prix
99,GIO,giovinazzi,Alfa Romeo Racing,alfa,Antonio,Giovinazzi,Antonio Giovinazzi,10.0,10,20.0,,,,0 days 00:00:26.398000,Finished,1.0,10.0,2020,Emilia Romagna Grand Prix
6,LAT,latifi,Williams,williams,Nicholas,Latifi,Nicholas Latifi,11.0,11,19.0,,,,0 days 00:00:27.135000,Finished,0.0,8.0,2020,Emilia Romagna Grand Prix
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,12.0,12,14.0,,,,0 days 00:00:28.453000,Finished,0.0,2.0,2020,Emilia Romagna Grand Prix
18,STR,stroll,Racing Point,racing_point,Lance,Stroll,Lance Stroll,13.0,13,15.0,,,,0 days 00:00:29.163000,Finished,0.0,2.0,2020,Emilia Romagna Grand Prix
8,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,14.0,14,16.0,,,,0 days 00:00:32.935000,Finished,0.0,2.0,2020,Emilia Romagna Grand Prix
23,ALB,albon,Red Bull Racing,red_bull,Alexander,Albon,Alexander Albon,15.0,15,6.0,,,,0 days 00:00:57.284000,Finished,0.0,-9.0,2020,Emilia Romagna Grand Prix
63,RUS,russell,Williams,williams,George,Russell,George Russell,16.0,R,13.0,,,,,Accident,0.0,-3.0,2020,Emilia Romagna Grand Prix
33,VER,max_verstappen,Red Bull Racing,red_bull,Max,Verstappen,Max Verstappen,17.0,R,3.0,,,,,Puncture,0.0,-14.0,2020,Emilia Romagna Grand Prix
20,MAG,kevin_magnussen,Haas F1 Team,haas,Kevin,Magnussen,Kevin Magnussen,18.0,R,17.0,,,,,Illness,0.0,-1.0,2020,Emilia Romagna Grand Prix
31,OCO,ocon,Renault,renault,Esteban,Ocon,Esteban Ocon,19.0,R,12.0,,,,,Gearbox,0.0,-7.0,2020,Emilia Romagna Grand Prix
10,GAS,gasly,AlphaTauri,alphatauri,Pierre,Gasly,Pierre Gasly,20.0,R,4.0,,,,,Water pressure,0.0,-16.0,2020,Emilia Romagna Grand Prix
