DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,PositionChange,Year,Event
33,VER,max_verstappen,Red Bull,red_bull,Max,Verstappen,Max Verstappen,1.0,1,2.0,,,,0 days 01:36:26.552000,Finished,25.0,1.0,2017,Mexican Grand Prix
77,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,2.0,2,4.0,,,,0 days 00:00:19.678000,Finished,18.0,2.0,2017,Mexican Grand Prix
7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,3.0,3,5.0,,,,0 days 00:00:54.007000,Finished,15.0,2.0,2017,Mexican Grand Prix
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,4.0,4,1.0,,,,0 days 00:01:10.078000,Finished,12.0,-3.0,2017,Mexican Grand Prix
31,OCO,ocon,Force India,force_india,Esteban,Ocon,Esteban Ocon,5.0,5,6.0,,,,,+1 Lap,10.0,1.0,2017,Mexican Grand Prix
18,STR,stroll,Williams,williams,Lance,Stroll,Lance Stroll,6.0,6,11.0,,,,,+1 Lap,8.0,5.0,2017,Mexican Grand Prix
11,PER,perez,Force India,force_india,Sergio,Pérez,Sergio Pérez,7.0,7,9.0,,,,,+1 Lap,6.0,2.0,2017,Mexican Grand Prix
20,MAG,kevin_magnussen,Haas F1 Team,haas,Kevin,Magnussen,Kevin Magnussen,8.0,8,14.0,,,,,+1 Lap,4.0,6.0,2017,Mexican Grand Prix
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,9.0,9,3.0,,,,,+1 Lap,2.0,-6.0,2017,Mexican Grand Prix
14,ALO,alonso,McLaren,mclaren,Fernando,Alonso,Fernando Alonso,10.0,10,18.0,,,,,+1 Lap,1.0,8.0,2017,Mexican Grand Prix
19,MAS,massa,Williams,williams,Felipe,Massa,Felipe Massa,11.0,11,10.0,,,,,+1 Lap,0.0,-1.0,2017,Mexican Grand Prix
2,VAN,vandoorne,McLaren,mclaren,Stoffel,Vandoorne,Stoffel Vandoorne,12.0,12,19.0,,,,,+1 Lap,0.0,7.0,2017,Mexican Grand Prix
10,GAS,gasly,Toro Rosso,toro_rosso,Pierre,Gasly,Pierre Gasly,13.0,13,20.0,,,,,+1 Lap,0.0,7.0,2017,Mexican Grand Prix
94,WEH,wehrlein,Sauber,sauber,Pascal,Wehrlein,Pascal Wehrlein,14.0,14,13.0,,,,,+2 Laps,0.0,-1.0,2017,Mexican Grand Prix
8,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,15.0,15,15.0,,,,,+2 Laps,0.0,0.0,2017,Mexican Grand Prix
55,SAI,sainz,Renault,renault,Carlos,Sainz,Carlos Sainz,16.0,R,8.0,,,,,Engine,0.0,-8.0,2017,Mexican Grand Prix
9,ERI,ericsson,Sauber,sauber,Marcus,Ericsson,Marcus Ericsson,17.0,R,12.0,,,,,Engine,0.0,-5.0,2017,Mexican Grand Prix
28,HAR,brendon_hartley,Toro Rosso,toro_rosso,Brendon,Hartley,Brendon Hartley,18.0,R,17.0,,,,,Engine,0.0,-1.0,2017,Mexican Grand Prix
27,HUL,hulkenberg,Renault,renault,Nico,Hülkenberg,Nico Hülkenberg,19.0,R,7.0,,,,,Electrical,0.0,-12.0,2017,Mexican Grand Prix
3,RIC,ricciardo,Red Bull,red_bull,Daniel,Ricciardo,Daniel Ricciardo,20.0,R,16.0,,,,,Engine,0.0,-4.0,2017,Mexican Grand Prix
