DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,PositionChange,Year,Event
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,1.0,1,2.0,,,,0 days 01:58:23.284000,Finished,25.0,1.0,2021,British Grand Prix
16,LEC,leclerc,Ferrari,ferrari,Charles,Leclerc,Charles Leclerc,2.0,2,4.0,,,,0 days 00:00:03.871000,Finished,18.0,2.0,2021,British Grand Prix
77,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,3.0,3,3.0,,,,0 days 00:00:11.125000,Finished,15.0,0.0,2021,British Grand Prix
4,NOR,norris,McLaren,mclaren,Lando,Norris,Lando Norris,4.0,4,5.0,,,,0 days 00:00:28.573000,Finished,12.0,1.0,2021,British Grand Prix
3,RIC,ricciardo,McLaren,mclaren,Daniel,Ricciardo,Daniel Ricciardo,5.0,5,6.0,,,,0 days 00:00:42.624000,Finished,10.0,1.0,2021,British Grand Prix
55,SAI,sainz,Ferrari,ferrari,Carlos,Sainz,Carlos Sainz,6.0,6,10.0,,,,0 days 00:00:43.454000,Finished,8.0,4.0,2021,British Grand Prix
14,ALO,alonso,Alpine,alpine,Fernando,Alonso,Fernando Alonso,7.0,7,7.0,,,,0 days 00:01:12.093000,Finished,6.0,0.0,2021,British Grand Prix
18,STR,stroll,Aston Martin,aston_martin,Lance,Stroll,Lance Stroll,8.0,8,14.0,,,,0 days 00:01:14.289000,Finished,4.0,6.0,2021,British Grand Prix
31,OCO,ocon,Alpine,alpine,Esteban,Ocon,Esteban Ocon,9.0,9,9.0,,,,0 days 00:01:16.162000,Finished,2.0,0.0,2021,British Grand Prix
22,TSU,tsunoda,AlphaTauri,alphatauri,Yuki,Tsunoda,Yuki Tsunoda,10.0,10,16.0,,,,0 days 00:01:22.065000,Finished,1.0,6.0,2021,British Grand Prix
10,GAS,gasly,AlphaTauri,alphatauri,Pierre,Gasly,Pierre Gasly,11.0,11,11.0,,,,0 days 00:01:25.327000,Finished,0.0,0.0,2021,British Grand Prix
63,RUS,russell,Williams,williams,George,Russell,George Russell,12.0,12,12.0,,,,,+1 Lap,0.0,0.0,2021,British Grand Prix
99,GIO,giovinazzi,Alfa Romeo Racing,alfa,Antonio,Giovinazzi,Antonio Giovinazzi,13.0,13,15.0,,,,,+1 Lap,0.0,2.0,2021,British Grand Prix
6,LAT,latifi,Williams,williams,Nicholas,Latifi,Nicholas Latifi,14.0,14,17.0,,,,,+1 Lap,0.0,3.0,2021,British Grand Prix
7,RAI,raikkonen,Alfa Romeo Racing,alfa,Kimi,Räikkönen,Kimi Räikkönen,15.0,15,13.0,,,,,+1 Lap,0.0,-2.0,2021,British Grand Prix
11,PER,perez,Red Bull Racing,red_bull,Sergio,Perez,Sergio Perez,16.0,16,0.0,,,,,+1 Lap,0.0,-16.0,2021,British Grand Prix
9,MAZ,mazepin,Haas F1 Team,haas,Nikita,Mazepin,Nikita Mazepin,17.0,17,19.0,,,,,+1 Lap,0.0,2.0,2021,British Grand Prix
47,MSC,mick_schumacher,Haas F1 Team,haas,Mick,Schumacher,Mick Schumacher,18.0,18,18.0,,,,,+1 Lap,0.0,0.0,2021,British Grand Prix
5,VET,vettel,Aston Martin,aston_martin,Sebastian,Vettel,Sebastian Vettel,19.0,R,8.0,,,,,Retired,0.0,-11.0,2021,British Grand Prix
33,VER,max_verstappen,Red Bull Racing,red_bull,Max,Verstappen,Max Verstappen,20.0,R,1.0,,,,,Collision,0.0,-19.0,2021,British Grand Prix
