DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,PositionChange,Year,Event
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,1.0,1,1.0,,,,0 days 01:51:11.611000,Finished,25.0,0.0,2018,Singapore Grand Prix
33,VER,max_verstappen,Red Bull Racing,red_bull,Max,Verstappen,Max Verstappen,2.0,2,2.0,,,,0 days 00:00:08.961000,Finished,18.0,0.0,2018,Singapore Grand Prix
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,3.0,3,3.0,,,,0 days 00:00:39.984000,Finished,15.0,0.0,2018,Singapore Grand Prix
77,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,4.0,4,4.0,,,,0 days 00:00:51.930000,Finished,12.0,0.0,2018,Singapore Grand Prix
7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,5.0,5,5.0,,,,0 days 00:00:53.001000,Finished,10.0,0.0,2018,Singapore Grand Prix
3,RIC,ricciardo,Red Bull Racing,red_bull,Daniel,Ricciardo,Daniel Ricciardo,6.0,6,6.0,,,,0 days 00:00:53.982000,Finished,8.0,0.0,2018,Singapore Grand Prix
14,ALO,alonso,McLaren,mclaren,Fernando,Alonso,Fernando Alonso,7.0,7,11.0,,,,0 days 00:01:43.001000,Finished,6.0,4.0,2018,Singapore Grand Prix
55,SAI,sainz,Renault,renault,Carlos,Sainz,Carlos Sainz,8.0,8,12.0,,,,,+1 Lap,4.0,4.0,2018,Singapore Grand Prix
16,LEC,leclerc,Sauber,sauber,Charles,Leclerc,Charles Leclerc,9.0,9,13.0,,,,,+1 Lap,2.0,4.0,2018,Singapore Grand Prix
27,HUL,hulkenberg,Renault,renault,Nico,Hulkenberg,Nico Hulkenberg,10.0,10,10.0,,,,,+1 Lap,1.0,0.0,2018,Singapore Grand Prix
9,ERI,ericsson,Sauber,sauber,Marcus,Ericsson,Marcus Ericsson,11.0,11,14.0,,,,,+1 Lap,0.0,3.0,2018,Singapore Grand Prix
2,VAN,vandoorne,McLaren,mclaren,Stoffel,Vandoorne,Stoffel Vandoorne,12.0,12,18.0,,,,,+1 Lap,0.0,6.0,2018,Singapore Grand Prix
10,GAS,gasly,Toro Rosso,toro_rosso,Pierre,Gasly,Pierre Gasly,13.0,13,15.0,,,,,+1 Lap,0.0,2.0,2018,Singapore Grand Prix
18,STR,stroll,Williams,williams,Lance,Stroll,Lance Stroll,14.0,14,20.0,,,,,+1 Lap,0.0,6.0,2018,Singapore Grand Prix
8,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,15.0,15,8.0,,,,,+1 Lap,0.0,-7.0,2018,Singapore Grand Prix
11,PER,perez,Racing Point,force_india,Sergio,Perez,Sergio Perez,16.0,16,7.0,,,,,+1 Lap,0.0,-9.0,2018,Singapore Grand Prix
28,HAR,brendon_hartley,Toro Rosso,toro_rosso,Brendon,Hartley,Brendon Hartley,17.0,17,17.0,,,,,+1 Lap,0.0,0.0,2018,Singapore Grand Prix
20,MAG,kevin_magnussen,Haas F1 Team,haas,Kevin,Magnussen,Kevin Magnussen,18.0,18,16.0,,,,,+2 Laps,0.0,-2.0,2018,Singapore Grand Prix
35,SIR,sirotkin,Williams,williams,Sergey,Sirotkin,Sergey Sirotkin,19.0,19,19.0,,,,,+2 Laps,0.0,0.0,2018,Singapore Grand Prix
31,OCO,ocon,Racing Point,force_india,Esteban,Ocon,Esteban Ocon,20.0,R,9.0,,,,,Collision,0.0,-11.0,2018,Singapore Grand Prix
