DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,PositionChange,Year,Event
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,1.0,1,1.0,,,,0 days 01:31:50.744000,Finished,25.0,0.0,2014,Russian Grand Prix
6,ROS,rosberg,Mercedes,mercedes,Nico,Rosberg,Nico Rosberg,2.0,2,2.0,,,,0 days 00:00:13.657000,Finished,18.0,0.0,2014,Russian Grand Prix
77,BOT,bottas,Williams,williams,Valtteri,Bottas,Valtteri Bottas,3.0,3,3.0,,,,0 days 00:00:17.425000,Finished,15.0,0.0,2014,Russian Grand Prix
22,BUT,button,McLaren,mclaren,Jenson,Button,Jenson Button,4.0,4,4.0,,,,0 days 00:00:30.234000,Finished,12.0,0.0,2014,Russian Grand Prix
20,MAG,kevin_magnussen,McLaren,mclaren,Kevin,Magnussen,Kevin Magnussen,5.0,5,11.0,,,,0 days 00:00:53.616000,Finished,10.0,6.0,2014,Russian Grand Prix
14,ALO,alonso,Ferrari,ferrari,Fernando,Alonso,Fernando Alonso,6.0,6,7.0,,,,0 days 00:01:00.016000,Finished,8.0,1.0,2014,Russian Grand Prix
3,RIC,ricciardo,Red Bull,red_bull,Daniel,Ricciardo,Daniel Ricciardo,7.0,7,6.0,,,,0 days 00:01:01.812000,Finished,6.0,-1.0,2014,Russian Grand Prix
1,VET,vettel,Red Bull,red_bull,Sebastian,Vettel,Sebastian Vettel,8.0,8,10.0,,,,0 days 00:01:06.185000,Finished,4.0,2.0,2014,Russian Grand Prix
7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,9.0,9,8.0,,,,0 days 00:01:18.877000,Finished,2.0,-1.0,2014,Russian Grand Prix
11,PER,perez,Force India,force_india,Sergio,Pérez,Sergio Pérez,10.0,10,12.0,,,,0 days 00:01:20.067000,Finished,1.0,2.0,2014,Russian Grand Prix
19,MAS,massa,Williams,williams,Felipe,Massa,Felipe Massa,11.0,11,18.0,,,,0 days 00:01:20.877000,Finished,0.0,7.0,2014,Russian Grand Prix
27,HUL,hulkenberg,Force India,force_india,Nico,Hülkenberg,Nico Hülkenberg,12.0,12,17.0,,,,0 days 00:01:21.309000,Finished,0.0,5.0,2014,Russian Grand Prix
25,VER,vergne,Toro Rosso,toro_rosso,Jean-Éric,Vergne,Jean-Éric Vergne,13.0,13,9.0,,,,0 days 00:01:37.295000,Finished,0.0,-4.0,2014,Russian Grand Prix
26,KVY,kvyat,Toro Rosso,toro_rosso,Daniil,Kvyat,Daniil Kvyat,14.0,14,5.0,,,,,+1 Lap,0.0,-9.0,2014,Russian Grand Prix
21,GUT,gutierrez,Sauber,sauber,Esteban,Gutiérrez,Esteban Gutiérrez,15.0,15,13.0,,,,,+1 Lap,0.0,-2.0,2014,Russian Grand Prix
99,SUT,sutil,Sauber,sauber,Adrian,Sutil,Adrian Sutil,16.0,16,14.0,,,,,+1 Lap,0.0,-2.0,2014,Russian Grand Prix
8,GRO,grosjean,Lotus F1,lotus_f1,Romain,Grosjean,Romain Grosjean,17.0,17,15.0,,,,,+1 Lap,0.0,-2.0,2014,Russian Grand Prix
13,MAL,maldonado,Lotus F1,lotus_f1,Pastor,Maldonado,Pastor Maldonado,18.0,18,21.0,,,,,+1 Lap,0.0,3.0,2014,Russian Grand Prix
9,ERI,ericsson,Caterham,caterham,Marcus,Ericsson,Marcus Ericsson,19.0,19,16.0,,,,,+2 Laps,0.0,-3.0,2014,Russian Grand Prix
10,KOB,kobayashi,Caterham,caterham,Kamui,Kobayashi,Kamui Kobayashi,20.0,R,19.0,,,,,Brakes,0.0,-1.0,2014,Russian Grand Prix
4,CHI,chilton,Marussia,marussia,Max,Chilton,Max Chilton,21.0,R,20.0,,,,,Suspension,0.0,-1.0,2014,Russian Grand Prix
