DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,PositionChange,Year,Event
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,1.0,1,2.0,,,,0 days 01:23:34.476000,Finished,25.0,1.0,2018,Belgian Grand Prix
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,2.0,2,1.0,,,,0 days 00:00:11.061000,Finished,18.0,-1.0,2018,Belgian Grand Prix
33,VER,max_verstappen,Red Bull Racing,red_bull,Max,Verstappen,Max Verstappen,3.0,3,7.0,,,,0 days 00:00:31.372000,Finished,15.0,4.0,2018,Belgian Grand Prix
77,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,4.0,4,19.0,,,,0 days 00:01:03.605000,Finished,12.0,15.0,2018,Belgian Grand Prix
11,PER,perez,Racing Point,force_india,Sergio,Perez,Sergio Perez,5.0,5,4.0,,,,0 days 00:01:11.023000,Finished,10.0,-1.0,2018,Belgian Grand Prix
31,OCO,ocon,Racing Point,force_india,Esteban,Ocon,Esteban Ocon,6.0,6,3.0,,,,0 days 00:01:19.520000,Finished,8.0,-3.0,2018,Belgian Grand Prix
8,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,7.0,7,5.0,,,,0 days 00:01:25.953000,Finished,6.0,-2.0,2018,Belgian Grand Prix
20,MAG,kevin_magnussen,Haas F1 Team,haas,Kevin,Magnussen,Kevin Magnussen,8.0,8,9.0,,,,0 days 00:01:27.639000,Finished,4.0,1.0,2018,Belgian Grand Prix
10,GAS,gasly,Toro Rosso,toro_rosso,Pierre,Gasly,Pierre Gasly,9.0,9,10.0,,,,0 days 00:01:45.892000,Finished,2.0,1.0,2018,Belgian Grand Prix
9,ERI,ericsson,Sauber,sauber,Marcus,Ericsson,Marcus Ericsson,10.0,10,13.0,,,,,+1 Lap,1.0,3.0,2018,Belgian Grand Prix
55,SAI,sainz,Renault,renault,Carlos,Sainz,Carlos Sainz,11.0,11,14.0,,,,,+1 Lap,0.0,3.0,2018,Belgian Grand Prix
35,SIR,sirotkin,Williams,williams,Sergey,Sirotkin,Sergey Sirotkin,12.0,12,16.0,,,,,+1 Lap,0.0,4.0,2018,Belgian Grand Prix
18,STR,stroll,Williams,williams,Lance,Stroll,Lance Stroll,13.0,13,17.0,,,,,+1 Lap,0.0,4.0,2018,Belgian Grand Prix
28,HAR,brendon_hartley,Toro Rosso,toro_rosso,Brendon,Hartley,Brendon Hartley,14.0,14,11.0,,,,,+1 Lap,0.0,-3.0,2018,Belgian Grand Prix
2,VAN,vandoorne,McLaren,mclaren,Stoffel,Vandoorne,Stoffel Vandoorne,15.0,15,18.0,,,,,+1 Lap,0.0,3.0,2018,Belgian Grand Prix
3,RIC,ricciardo,Red Bull Racing,red_bull,Daniel,Ricciardo,Daniel Ricciardo,16.0,R,8.0,,,,,Retired,0.0,-8.0,2018,Belgian Grand Prix
7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,17.0,R,6.0,,,,,Brakes,0.0,-11.0,2018,Belgian Grand Prix
16,LEC,leclerc,Sauber,sauber,Charles,Leclerc,Charles Leclerc,18.0,R,12.0,,,,,Accident,0.0,-6.0,2018,Belgian Grand Prix
14,ALO,alonso,McLaren,mclaren,Fernando,Alonso,Fernando Alonso,19.0,R,15.0,,,,,Accident,0.0,-4.0,2018,Belgian Grand Prix
27,HUL,hulkenberg,Renault,renault,Nico,Hulkenberg,Nico Hulkenberg,20.0,R,20.0,,,,,Accident,0.0,0.0,2018,Belgian Grand Prix
