DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,PositionChange,Year,Event
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,1.0,1,1.0,,,,0 days 01:41:05.155000,Finished,25.0,0.0,2014,Spanish Grand Prix
6,ROS,rosberg,Mercedes,mercedes,Nico,Rosberg,Nico Rosberg,2.0,2,2.0,,,,0 days 00:00:00.636000,Finished,18.0,0.0,2014,Spanish Grand Prix
3,RIC,ricciardo,Red Bull,red_bull,Daniel,Ricciardo,Daniel Ricciardo,3.0,3,3.0,,,,0 days 00:00:49.014000,Finished,15.0,0.0,2014,Spanish Grand Prix
1,VET,vettel,Red Bull,red_bull,Sebastian,Vettel,Sebastian Vettel,4.0,4,15.0,,,,0 days 00:01:16.702000,Finished,12.0,11.0,2014,Spanish Grand Prix
77,BOT,bottas,Williams,williams,Valtteri,Bottas,Valtteri Bottas,5.0,5,4.0,,,,0 days 00:01:19.293000,Finished,10.0,-1.0,2014,Spanish Grand Prix
14,ALO,alonso,Ferrari,ferrari,Fernando,Alonso,Fernando Alonso,6.0,6,7.0,,,,0 days 00:01:27.743000,Finished,8.0,1.0,2014,Spanish Grand Prix
7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,7.0,7,6.0,,,,,+1 Lap,6.0,-1.0,2014,Spanish Grand Prix
8,GRO,grosjean,Lotus F1,lotus_f1,Romain,Grosjean,Romain Grosjean,8.0,8,5.0,,,,,+1 Lap,4.0,-3.0,2014,Spanish Grand Prix
11,PER,perez,Force India,force_india,Sergio,Pérez,Sergio Pérez,9.0,9,11.0,,,,,+1 Lap,2.0,2.0,2014,Spanish Grand Prix
27,HUL,hulkenberg,Force India,force_india,Nico,Hülkenberg,Nico Hülkenberg,10.0,10,10.0,,,,,+1 Lap,1.0,0.0,2014,Spanish Grand Prix
22,BUT,button,McLaren,mclaren,Jenson,Button,Jenson Button,11.0,11,8.0,,,,,+1 Lap,0.0,-3.0,2014,Spanish Grand Prix
20,MAG,kevin_magnussen,McLaren,mclaren,Kevin,Magnussen,Kevin Magnussen,12.0,12,14.0,,,,,+1 Lap,0.0,2.0,2014,Spanish Grand Prix
19,MAS,massa,Williams,williams,Felipe,Massa,Felipe Massa,13.0,13,9.0,,,,,+1 Lap,0.0,-4.0,2014,Spanish Grand Prix
26,KVY,kvyat,Toro Rosso,toro_rosso,Daniil,Kvyat,Daniil Kvyat,14.0,14,12.0,,,,,+1 Lap,0.0,-2.0,2014,Spanish Grand Prix
13,MAL,maldonado,Lotus F1,lotus_f1,Pastor,Maldonado,Pastor Maldonado,15.0,15,22.0,,,,,+1 Lap,0.0,7.0,2014,Spanish Grand Prix
21,GUT,gutierrez,Sauber,sauber,Esteban,Gutiérrez,Esteban Gutiérrez,16.0,16,13.0,,,,,+1 Lap,0.0,-3.0,2014,Spanish Grand Prix
99,SUT,sutil,Sauber,sauber,Adrian,Sutil,Adrian Sutil,17.0,17,16.0,,,,,+1 Lap,0.0,-1.0,2014,Spanish Grand Prix
17,BIA,jules_bianchi,Marussia,marussia,Jules,Bianchi,Jules Bianchi,18.0,18,18.0,,,,,+2 Laps,0.0,0.0,2014,Spanish Grand Prix
4,CHI,chilton,Marussia,marussia,Max,Chilton,Max Chilton,19.0,19,17.0,,,,,+2 Laps,0.0,-2.0,2014,Spanish Grand Prix
9,ERI,ericsson,Caterham,caterham,Marcus,Ericsson,Marcus Ericsson,20.0,20,19.0,,,,,+2 Laps,0.0,-1.0,2014,Spanish Grand Prix
10,KOB,kobayashi,Caterham,caterham,Kamui,Kobayashi,Kamui Kobayashi,21.0,R,20.0,,,,,Brakes,0.0,-1.0,2014,Spanish Grand Prix
25,VER,vergne,Toro Rosso,toro_rosso,Jean-Éric,Vergne,Jean-Éric Vergne,22.0,R,21.0,,,,,Exhaust,0.0,-1.0,2014,Spanish Grand Prix
