DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,PositionChange,Year,Event
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,1.0,1,1.0,,,,0 days 01:27:31.194000,Finished,25.0,0.0,2017,Japanese Grand Prix
33,VER,max_verstappen,Red Bull,red_bull,Max,Verstappen,Max Verstappen,2.0,2,4.0,,,,0 days 00:00:01.211000,Finished,18.0,2.0,2017,Japanese Grand Prix
3,RIC,ricciardo,Red Bull,red_bull,Daniel,Ricciardo,Daniel Ricciardo,3.0,3,3.0,,,,0 days 00:00:09.679000,Finished,15.0,0.0,2017,Japanese Grand Prix
77,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,4.0,4,6.0,,,,0 days 00:00:10.580000,Finished,12.0,2.0,2017,Japanese Grand Prix
7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,5.0,5,10.0,,,,0 days 00:00:32.622000,Finished,10.0,5.0,2017,Japanese Grand Prix
31,OCO,ocon,Force India,force_india,Esteban,Ocon,Esteban Ocon,6.0,6,5.0,,,,0 days 00:01:07.788000,Finished,8.0,-1.0,2017,Japanese Grand Prix
11,PER,perez,Force India,force_india,Sergio,Pérez,Sergio Pérez,7.0,7,7.0,,,,0 days 00:01:11.424000,Finished,6.0,0.0,2017,Japanese Grand Prix
20,MAG,kevin_magnussen,Haas F1 Team,haas,Kevin,Magnussen,Kevin Magnussen,8.0,8,12.0,,,,0 days 00:01:28.953000,Finished,4.0,4.0,2017,Japanese Grand Prix
8,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,9.0,9,13.0,,,,0 days 00:01:29.883000,Finished,2.0,4.0,2017,Japanese Grand Prix
19,MAS,massa,Williams,williams,Felipe,Massa,Felipe Massa,10.0,10,8.0,,,,,+1 Lap,1.0,-2.0,2017,Japanese Grand Prix
14,ALO,alonso,McLaren,mclaren,Fernando,Alonso,Fernando Alonso,11.0,11,20.0,,,,,+1 Lap,0.0,9.0,2017,Japanese Grand Prix
30,PAL,jolyon_palmer,Renault,renault,Jolyon,Palmer,Jolyon Palmer,12.0,12,18.0,,,,,+1 Lap,0.0,6.0,2017,Japanese Grand Prix
10,GAS,gasly,Toro Rosso,toro_rosso,Pierre,Gasly,Pierre Gasly,13.0,13,14.0,,,,,+1 Lap,0.0,1.0,2017,Japanese Grand Prix
2,VAN,vandoorne,McLaren,mclaren,Stoffel,Vandoorne,Stoffel Vandoorne,14.0,14,9.0,,,,,+1 Lap,0.0,-5.0,2017,Japanese Grand Prix
94,WEH,wehrlein,Sauber,sauber,Pascal,Wehrlein,Pascal Wehrlein,15.0,15,17.0,,,,,+2 Laps,0.0,2.0,2017,Japanese Grand Prix
18,STR,stroll,Williams,williams,Lance,Stroll,Lance Stroll,16.0,R,15.0,,,,,Wheel,0.0,-1.0,2017,Japanese Grand Prix
27,HUL,hulkenberg,Renault,renault,Nico,Hülkenberg,Nico Hülkenberg,17.0,R,11.0,,,,,Front wing,0.0,-6.0,2017,Japanese Grand Prix
9,ERI,ericsson,Sauber,sauber,Marcus,Ericsson,Marcus Ericsson,18.0,R,16.0,,,,,Accident,0.0,-2.0,2017,Japanese Grand Prix
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,19.0,R,2.0,,,,,Spark plugs,0.0,-17.0,2017,Japanese Grand Prix
55,SAI,sainz,Toro Rosso,toro_rosso,Carlos,Sainz,Carlos Sainz,20.0,R,19.0,,,,,Accident,0.0,-1.0,2017,Japanese Grand Prix
