DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
6,ROS,rosberg,Mercedes,mercedes,Nico,Rosberg,Nico Rosberg,1.0,1,1.0,,,,0 days 01:38:30.175000,Finished,25.0,0.0,2015,Abu Dhabi Grand Prix,Abu Dhabi
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,2.0,2,2.0,,,,0 days 00:00:08.271000,Finished,18.0,0.0,2015,Abu Dhabi Grand Prix,Abu Dhabi
7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,3.0,3,3.0,,,,0 days 00:00:19.430000,Finished,15.0,0.0,2015,Abu Dhabi Grand Prix,Abu Dhabi
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,4.0,4,15.0,,,,0 days 00:00:43.735000,Finished,12.0,11.0,2015,Abu Dhabi Grand Prix,Abu Dhabi
11,PER,perez,Force India,force_india,Sergio,Pérez,Sergio Pérez,5.0,5,4.0,,,,0 days 00:01:03.952000,Finished,10.0,-1.0,2015,Abu Dhabi Grand Prix,Abu Dhabi
3,RIC,ricciardo,Red Bull,red_bull,Daniel,Ricciardo,Daniel Ricciardo,6.0,6,5.0,,,,0 days 00:01:05.010000,Finished,8.0,-1.0,2015,Abu Dhabi Grand Prix,Abu Dhabi
27,HUL,hulkenberg,Force India,force_india,Nico,Hülkenberg,Nico Hülkenberg,7.0,7,7.0,,,,0 days 00:01:33.618000,Finished,6.0,0.0,2015,Abu Dhabi Grand Prix,Abu Dhabi
19,MAS,massa,Williams,williams,Felipe,Massa,Felipe Massa,8.0,8,8.0,,,,0 days 00:01:37.751000,Finished,4.0,0.0,2015,Abu Dhabi Grand Prix,Abu Dhabi
8,GRO,grosjean,Lotus F1,lotus_f1,Romain,Grosjean,Romain Grosjean,9.0,9,18.0,,,,0 days 00:01:38.201000,Finished,2.0,9.0,2015,Abu Dhabi Grand Prix,Abu Dhabi
26,KVY,kvyat,Red Bull,red_bull,Daniil,Kvyat,Daniil Kvyat,10.0,10,9.0,,,,0 days 00:01:42.371000,Finished,1.0,-1.0,2015,Abu Dhabi Grand Prix,Abu Dhabi
55,SAI,sainz,Toro Rosso,toro_rosso,Carlos,Sainz,Carlos Sainz,11.0,11,10.0,,,,0 days 00:01:43.525000,Finished,0.0,-1.0,2015,Abu Dhabi Grand Prix,Abu Dhabi
22,BUT,button,McLaren,mclaren,Jenson,Button,Jenson Button,12.0,12,12.0,,,,,+1 Lap,0.0,0.0,2015,Abu Dhabi Grand Prix,Abu Dhabi
77,BOT,bottas,Williams,williams,Valtteri,Bottas,Valtteri Bottas,13.0,13,6.0,,,,,+1 Lap,0.0,-7.0,2015,Abu Dhabi Grand Prix,Abu Dhabi
9,ERI,ericsson,Sauber,sauber,Marcus,Ericsson,Marcus Ericsson,14.0,14,17.0,,,,,+1 Lap,0.0,3.0,2015,Abu Dhabi Grand Prix,Abu Dhabi
12,NAS,nasr,Sauber,sauber,Felipe,Nasr,Felipe Nasr,15.0,15,14.0,,,,,+1 Lap,0.0,-1.0,2015,Abu Dhabi Grand Prix,Abu Dhabi
33,VER,max_verstappen,Toro Rosso,toro_rosso,Max,Verstappen,Max Verstappen,16.0,16,11.0,,,,,+1 Lap,0.0,-5.0,2015,Abu Dhabi Grand Prix,Abu Dhabi
14,ALO,alonso,McLaren,mclaren,Fernando,Alonso,Fernando Alonso,17.0,17,16.0,,,,,+2 Laps,0.0,-1.0,2015,Abu Dhabi Grand Prix,Abu Dhabi
28,STE,stevens,Manor Marussia,manor,Will,Stevens,Will Stevens,18.0,18,19.0,,,,,+2 Laps,0.0,1.0,2015,Abu Dhabi Grand Prix,Abu Dhabi
98,MER,merhi,Manor Marussia,manor,Roberto,Merhi,Roberto Merhi,19.0,19,20.0,,,,,+3 Laps,0.0,1.0,2015,Abu Dhabi Grand Prix,Abu Dhabi
13,MAL,maldonado,Lotus F1,lotus_f1,Pastor,Maldonado,Pastor Maldonado,20.0,R,13.0,,,,,Collision,0.0,-7.0,2015,Abu Dhabi Grand Prix,Abu Dhabi
