DriverNumber,DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
44,44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,1.0,1,2.0,,,,0 days 01:40:04.785000,Finished,25.0,1.0,2014,United States Grand Prix,Austin
6,6,ROS,rosberg,Mercedes,mercedes,Nico,Rosberg,Nico Rosberg,2.0,2,1.0,,,,0 days 00:00:04.314000,Finished,18.0,-1.0,2014,United States Grand Prix,Austin
3,3,RIC,ricciardo,Red Bull,red_bull,Daniel,Ricciardo,Daniel Ricciardo,3.0,3,5.0,,,,0 days 00:00:25.560000,Finished,15.0,2.0,2014,United States Grand Prix,Austin
19,19,MAS,massa,Williams,williams,Felipe,Massa,Felipe Massa,4.0,4,4.0,,,,0 days 00:00:26.924000,Finished,12.0,0.0,2014,United States Grand Prix,Austin
77,77,BOT,bottas,Williams,williams,Valtteri,Bottas,Valtteri Bottas,5.0,5,3.0,,,,0 days 00:00:30.992000,Finished,10.0,-2.0,2014,United States Grand Prix,Austin
14,14,ALO,alonso,Ferrari,ferrari,Fernando,Alonso,Fernando Alonso,6.0,6,6.0,,,,0 days 00:01:35.231000,Finished,8.0,0.0,2014,United States Grand Prix,Austin
1,1,VET,vettel,Red Bull,red_bull,Sebastian,Vettel,Sebastian Vettel,7.0,7,18.0,,,,0 days 00:01:35.734000,Finished,6.0,11.0,2014,United States Grand Prix,Austin
20,20,MAG,kevin_magnussen,McLaren,mclaren,Kevin,Magnussen,Kevin Magnussen,8.0,8,7.0,,,,0 days 00:01:40.682000,Finished,4.0,-1.0,2014,United States Grand Prix,Austin
13,13,MAL,maldonado,Lotus F1,lotus_f1,Pastor,Maldonado,Pastor Maldonado,9.0,9,10.0,,,,0 days 00:01:47.870000,Finished,2.0,1.0,2014,United States Grand Prix,Austin
25,25,VER,vergne,Toro Rosso,toro_rosso,Jean-Éric,Vergne,Jean-Éric Vergne,10.0,10,14.0,,,,0 days 00:01:48.863000,Finished,1.0,4.0,2014,United States Grand Prix,Austin
8,8,GRO,grosjean,Lotus F1,lotus_f1,Romain,Grosjean,Romain Grosjean,11.0,11,16.0,,,,,+1 Lap,0.0,5.0,2014,United States Grand Prix,Austin
22,22,BUT,button,McLaren,mclaren,Jenson,Button,Jenson Button,12.0,12,12.0,,,,,+1 Lap,0.0,0.0,2014,United States Grand Prix,Austin
7,7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,13.0,13,8.0,,,,,+1 Lap,0.0,-5.0,2014,United States Grand Prix,Austin
21,21,GUT,gutierrez,Sauber,sauber,Esteban,Gutiérrez,Esteban Gutiérrez,14.0,14,15.0,,,,,+1 Lap,0.0,1.0,2014,United States Grand Prix,Austin
26,26,KVY,kvyat,Toro Rosso,toro_rosso,Daniil,Kvyat,Daniil Kvyat,15.0,15,17.0,,,,,+1 Lap,0.0,2.0,2014,United States Grand Prix,Austin
27,27,HUL,hulkenberg,Force India,force_india,Nico,Hülkenberg,Nico Hülkenberg,16.0,R,13.0,,,,,Engine,0.0,-3.0,2014,United States Grand Prix,Austin
11,11,PER,perez,Force India,force_india,Sergio,Pérez,Sergio Pérez,17.0,R,11.0,,,,,Collision damage,0.0,-6.0,2014,United States Grand Prix,Austin
99,99,SUT,sutil,Sauber,sauber,Adrian,Sutil,Adrian Sutil,18.0,R,9.0,,,,,Collision,0.0,-9.0,2014,United States Grand Prix,Austin
