DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
77,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,1.0,1,1.0,,0 days 01:31:52.942000,Finished,25.0,0.0,2019,Azerbaijan Grand Prix,Baku
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,2.0,2,2.0,,0 days 00:00:01.524000,Finished,18.0,0.0,2019,Azerbaijan Grand Prix,Baku
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,3.0,3,3.0,,0 days 00:00:11.739000,Finished,15.0,0.0,2019,Azerbaijan Grand Prix,Baku
33,VER,max_verstappen,Red Bull Racing,red_bull,Max,Verstappen,Max Verstappen,4.0,4,4.0,,0 days 00:00:17.493000,Finished,12.0,0.0,2019,Azerbaijan Grand Prix,Baku
16,LEC,leclerc,Ferrari,ferrari,Charles,Leclerc,Charles Leclerc,5.0,5,8.0,,0 days 00:01:09.107000,Finished,11.0,3.0,2019,Azerbaijan Grand Prix,Baku
11,PER,perez,Racing Point,racing_point,Sergio,Perez,Sergio Perez,6.0,6,5.0,,0 days 00:01:16.416000,Finished,8.0,-1.0,2019,Azerbaijan Grand Prix,Baku
55,SAI,sainz,McLaren,mclaren,Carlos,Sainz,Carlos Sainz,7.0,7,9.0,,0 days 00:01:23.826000,Finished,6.0,2.0,2019,Azerbaijan Grand Prix,Baku
4,NOR,norris,McLaren,mclaren,Lando,Norris,Lando Norris,8.0,8,7.0,,0 days 00:01:40.268000,Finished,4.0,-1.0,2019,Azerbaijan Grand Prix,Baku
18,STR,stroll,Racing Point,racing_point,Lance,Stroll,Lance Stroll,9.0,9,13.0,,0 days 00:01:43.816000,Finished,2.0,4.0,2019,Azerbaijan Grand Prix,Baku
7,RAI,raikkonen,Alfa Romeo Racing,alfa,Kimi,Räikkönen,Kimi Räikkönen,10.0,10,0.0,,,+1 Lap,1.0,-10.0,2019,Azerbaijan Grand Prix,Baku
23,ALB,albon,Toro Rosso,toro_rosso,Alexander,Albon,Alexander Albon,11.0,11,11.0,,,+1 Lap,0.0,0.0,2019,Azerbaijan Grand Prix,Baku
99,GIO,giovinazzi,Alfa Romeo Racing,alfa,Antonio,Giovinazzi,Antonio Giovinazzi,12.0,12,17.0,,,+1 Lap,0.0,5.0,2019,Azerbaijan Grand Prix,Baku
20,MAG,kevin_magnussen,Haas F1 Team,haas,Kevin,Magnussen,Kevin Magnussen,13.0,13,12.0,,,+1 Lap,0.0,-1.0,2019,Azerbaijan Grand Prix,Baku
27,HUL,hulkenberg,Renault,renault,Nico,Hulkenberg,Nico Hulkenberg,14.0,14,15.0,,,+1 Lap,0.0,1.0,2019,Azerbaijan Grand Prix,Baku
63,RUS,russell,Williams,williams,George,Russell,George Russell,15.0,15,16.0,,,+2 Laps,0.0,1.0,2019,Azerbaijan Grand Prix,Baku
88,KUB,kubica,Williams,williams,Robert,Kubica,Robert Kubica,16.0,16,0.0,,,+2 Laps,0.0,-16.0,2019,Azerbaijan Grand Prix,Baku
10,GAS,gasly,Red Bull Racing,red_bull,Pierre,Gasly,Pierre Gasly,17.0,R,0.0,,,Transmission,0.0,-17.0,2019,Azerbaijan Grand Prix,Baku
8,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,18.0,R,14.0,,,Brakes,0.0,-4.0,2019,Azerbaijan Grand Prix,Baku
26,KVY,kvyat,Toro Rosso,toro_rosso,Daniil,Kvyat,Daniil Kvyat,19.0,R,6.0,,,Collision,0.0,-13.0,2019,Azerbaijan Grand Prix,Baku
3,RIC,ricciardo,Renault,renault,Daniel,Ricciardo,Daniel Ricciardo,20.0,R,10.0,,,Collision,0.0,-10.0,2019,Azerbaijan Grand Prix,Baku
