DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
6,ROS,rosberg,Mercedes,mercedes,Nico,Rosberg,Nico Rosberg,1.0,1,1.0,,,,0 days 01:32:52.366000,Finished,25.0,0.0,2016,European Grand Prix,Baku
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,2.0,2,3.0,,,,0 days 00:00:16.696000,Finished,18.0,1.0,2016,European Grand Prix,Baku
11,PER,perez,Force India,force_india,Sergio,Pérez,Sergio Pérez,3.0,3,7.0,,,,0 days 00:00:25.241000,Finished,15.0,4.0,2016,European Grand Prix,Baku
7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,4.0,4,4.0,,,,0 days 00:00:33.102000,Finished,12.0,0.0,2016,European Grand Prix,Baku
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,5.0,5,10.0,,,,0 days 00:00:56.335000,Finished,10.0,5.0,2016,European Grand Prix,Baku
77,BOT,bottas,Williams,williams,Valtteri,Bottas,Valtteri Bottas,6.0,6,8.0,,,,0 days 00:01:00.886000,Finished,8.0,2.0,2016,European Grand Prix,Baku
3,RIC,ricciardo,Red Bull,red_bull,Daniel,Ricciardo,Daniel Ricciardo,7.0,7,2.0,,,,0 days 00:01:09.229000,Finished,6.0,-5.0,2016,European Grand Prix,Baku
33,VER,max_verstappen,Red Bull,red_bull,Max,Verstappen,Max Verstappen,8.0,8,9.0,,,,0 days 00:01:10.696000,Finished,4.0,1.0,2016,European Grand Prix,Baku
27,HUL,hulkenberg,Force India,force_india,Nico,Hülkenberg,Nico Hülkenberg,9.0,9,12.0,,,,0 days 00:01:17.708000,Finished,2.0,3.0,2016,European Grand Prix,Baku
19,MAS,massa,Williams,williams,Felipe,Massa,Felipe Massa,10.0,10,5.0,,,,0 days 00:01:25.375000,Finished,1.0,-5.0,2016,European Grand Prix,Baku
22,BUT,button,McLaren,mclaren,Jenson,Button,Jenson Button,11.0,11,19.0,,,,0 days 00:01:44.817000,Finished,0.0,8.0,2016,European Grand Prix,Baku
12,NAS,nasr,Sauber,sauber,Felipe,Nasr,Felipe Nasr,12.0,12,15.0,,,,,+1 Lap,0.0,3.0,2016,European Grand Prix,Baku
8,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,13.0,13,11.0,,,,,+1 Lap,0.0,-2.0,2016,European Grand Prix,Baku
20,MAG,kevin_magnussen,Renault,renault,Kevin,Magnussen,Kevin Magnussen,14.0,14,22.0,,,,,+1 Lap,0.0,8.0,2016,European Grand Prix,Baku
30,PAL,jolyon_palmer,Renault,renault,Jolyon,Palmer,Jolyon Palmer,15.0,15,21.0,,,,,+1 Lap,0.0,6.0,2016,European Grand Prix,Baku
21,GUT,gutierrez,Haas F1 Team,haas,Esteban,Gutiérrez,Esteban Gutiérrez,16.0,16,14.0,,,,,+1 Lap,0.0,-2.0,2016,European Grand Prix,Baku
9,ERI,ericsson,Sauber,sauber,Marcus,Ericsson,Marcus Ericsson,17.0,17,20.0,,,,,+1 Lap,0.0,3.0,2016,European Grand Prix,Baku
88,HAR,haryanto,Manor Marussia,manor,Rio,Haryanto,Rio Haryanto,18.0,18,16.0,,,,,+2 Laps,0.0,-2.0,2016,European Grand Prix,Baku
14,ALO,alonso,McLaren,mclaren,Fernando,Alonso,Fernando Alonso,19.0,R,13.0,,,,,Gearbox,0.0,-6.0,2016,European Grand Prix,Baku
94,WEH,wehrlein,Manor Marussia,manor,Pascal,Wehrlein,Pascal Wehrlein,20.0,R,17.0,,,,,Brakes,0.0,-3.0,2016,European Grand Prix,Baku
55,SAI,sainz,Toro Rosso,toro_rosso,Carlos,Sainz,Carlos Sainz,21.0,R,18.0,,,,,Suspension,0.0,-3.0,2016,European Grand Prix,Baku
26,KVY,kvyat,Toro Rosso,toro_rosso,Daniil,Kvyat,Daniil Kvyat,22.0,R,6.0,,,,,Suspension,0.0,-16.0,2016,European Grand Prix,Baku
