DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,1.0,1,1.0,,0 days 01:33:07.680000,Finished,25.0,0.0,2021,Spanish Grand Prix,Barcelona
33,VER,max_verstappen,Red Bull Racing,red_bull,Max,Verstappen,Max Verstappen,2.0,2,2.0,,0 days 00:00:15.841000,Finished,19.0,0.0,2021,Spanish Grand Prix,Barcelona
77,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,3.0,3,3.0,,0 days 00:00:26.610000,Finished,15.0,0.0,2021,Spanish Grand Prix,Barcelona
16,LEC,leclerc,Ferrari,ferrari,Charles,Leclerc,Charles Leclerc,4.0,4,4.0,,0 days 00:00:54.616000,Finished,12.0,0.0,2021,Spanish Grand Prix,Barcelona
11,PER,perez,Red Bull Racing,red_bull,Sergio,Perez,Sergio Perez,5.0,5,8.0,,0 days 00:01:03.671000,Finished,10.0,3.0,2021,Spanish Grand Prix,Barcelona
3,RIC,ricciardo,McLaren,mclaren,Daniel,Ricciardo,Daniel Ricciardo,6.0,6,7.0,,0 days 00:01:13.768000,Finished,8.0,1.0,2021,Spanish Grand Prix,Barcelona
55,SAI,sainz,Ferrari,ferrari,Carlos,Sainz,Carlos Sainz,7.0,7,6.0,,0 days 00:01:14.670000,Finished,6.0,-1.0,2021,Spanish Grand Prix,Barcelona
4,NOR,norris,McLaren,mclaren,Lando,Norris,Lando Norris,8.0,8,9.0,,,+1 Lap,4.0,1.0,2021,Spanish Grand Prix,Barcelona
31,OCO,ocon,Alpine,alpine,Esteban,Ocon,Esteban Ocon,9.0,9,5.0,,,+1 Lap,2.0,-4.0,2021,Spanish Grand Prix,Barcelona
10,GAS,gasly,AlphaTauri,alphatauri,Pierre,Gasly,Pierre Gasly,10.0,10,12.0,,,+1 Lap,1.0,2.0,2021,Spanish Grand Prix,Barcelona
18,STR,stroll,Aston Martin,aston_martin,Lance,Stroll,Lance Stroll,11.0,11,11.0,,,+1 Lap,0.0,0.0,2021,Spanish Grand Prix,Barcelona
7,RAI,raikkonen,Alfa Romeo Racing,alfa,Kimi,Räikkönen,Kimi Räikkönen,12.0,12,17.0,,,+1 Lap,0.0,5.0,2021,Spanish Grand Prix,Barcelona
5,VET,vettel,Aston Martin,aston_martin,Sebastian,Vettel,Sebastian Vettel,13.0,13,13.0,,,+1 Lap,0.0,0.0,2021,Spanish Grand Prix,Barcelona
63,RUS,russell,Williams,williams,George,Russell,George Russell,14.0,14,15.0,,,+1 Lap,0.0,1.0,2021,Spanish Grand Prix,Barcelona
99,GIO,giovinazzi,Alfa Romeo Racing,alfa,Antonio,Giovinazzi,Antonio Giovinazzi,15.0,15,14.0,,,+1 Lap,0.0,-1.0,2021,Spanish Grand Prix,Barcelona
6,LAT,latifi,Williams,williams,Nicholas,Latifi,Nicholas Latifi,16.0,16,19.0,,,+1 Lap,0.0,3.0,2021,Spanish Grand Prix,Barcelona
14,ALO,alonso,Alpine,alpine,Fernando,Alonso,Fernando Alonso,17.0,17,10.0,,,+1 Lap,0.0,-7.0,2021,Spanish Grand Prix,Barcelona
47,MSC,mick_schumacher,Haas F1 Team,haas,Mick,Schumacher,Mick Schumacher,18.0,18,18.0,,,+2 Laps,0.0,0.0,2021,Spanish Grand Prix,Barcelona
9,MAZ,mazepin,Haas F1 Team,haas,Nikita,Mazepin,Nikita Mazepin,19.0,19,20.0,,,+2 Laps,0.0,1.0,2021,Spanish Grand Prix,Barcelona
22,TSU,tsunoda,AlphaTauri,alphatauri,Yuki,Tsunoda,Yuki Tsunoda,20.0,R,16.0,,,Electrical,0.0,-4.0,2021,Spanish Grand Prix,Barcelona
