DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,1.0,1,2.0,,,,0 days 01:40:30.115000,Finished,25.0,1.0,2016,Hungarian Grand Prix,Budapest
6,ROS,rosberg,Mercedes,mercedes,Nico,Rosberg,Nico Rosberg,2.0,2,1.0,,,,0 days 00:00:01.977000,Finished,18.0,-1.0,2016,Hungarian Grand Prix,Budapest
3,RIC,ricciardo,Red Bull,red_bull,Daniel,Ricciardo,Daniel Ricciardo,3.0,3,3.0,,,,0 days 00:00:27.539000,Finished,15.0,0.0,2016,Hungarian Grand Prix,Budapest
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,4.0,4,5.0,,,,0 days 00:00:28.213000,Finished,12.0,1.0,2016,Hungarian Grand Prix,Budapest
33,VER,max_verstappen,Red Bull,red_bull,Max,Verstappen,Max Verstappen,5.0,5,4.0,,,,0 days 00:00:48.659000,Finished,10.0,-1.0,2016,Hungarian Grand Prix,Budapest
7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,6.0,6,14.0,,,,0 days 00:00:49.044000,Finished,8.0,8.0,2016,Hungarian Grand Prix,Budapest
14,ALO,alonso,McLaren,mclaren,Fernando,Alonso,Fernando Alonso,7.0,7,7.0,,,,,+1 Lap,6.0,0.0,2016,Hungarian Grand Prix,Budapest
55,SAI,sainz,Toro Rosso,toro_rosso,Carlos,Sainz,Carlos Sainz,8.0,8,6.0,,,,,+1 Lap,4.0,-2.0,2016,Hungarian Grand Prix,Budapest
77,BOT,bottas,Williams,williams,Valtteri,Bottas,Valtteri Bottas,9.0,9,10.0,,,,,+1 Lap,2.0,1.0,2016,Hungarian Grand Prix,Budapest
27,HUL,hulkenberg,Force India,force_india,Nico,Hülkenberg,Nico Hülkenberg,10.0,10,9.0,,,,,+1 Lap,1.0,-1.0,2016,Hungarian Grand Prix,Budapest
11,PER,perez,Force India,force_india,Sergio,Pérez,Sergio Pérez,11.0,11,13.0,,,,,+1 Lap,0.0,2.0,2016,Hungarian Grand Prix,Budapest
30,PAL,jolyon_palmer,Renault,renault,Jolyon,Palmer,Jolyon Palmer,12.0,12,17.0,,,,,+1 Lap,0.0,5.0,2016,Hungarian Grand Prix,Budapest
21,GUT,gutierrez,Haas F1 Team,haas,Esteban,Gutiérrez,Esteban Gutiérrez,13.0,13,15.0,,,,,+1 Lap,0.0,2.0,2016,Hungarian Grand Prix,Budapest
8,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,14.0,14,11.0,,,,,+1 Lap,0.0,-3.0,2016,Hungarian Grand Prix,Budapest
20,MAG,kevin_magnussen,Renault,renault,Kevin,Magnussen,Kevin Magnussen,15.0,15,19.0,,,,,+1 Lap,0.0,4.0,2016,Hungarian Grand Prix,Budapest
26,KVY,kvyat,Toro Rosso,toro_rosso,Daniil,Kvyat,Daniil Kvyat,16.0,16,12.0,,,,,+1 Lap,0.0,-4.0,2016,Hungarian Grand Prix,Budapest
12,NAS,nasr,Sauber,sauber,Felipe,Nasr,Felipe Nasr,17.0,17,16.0,,,,,+1 Lap,0.0,-1.0,2016,Hungarian Grand Prix,Budapest
19,MAS,massa,Williams,williams,Felipe,Massa,Felipe Massa,18.0,18,18.0,,,,,+2 Laps,0.0,0.0,2016,Hungarian Grand Prix,Budapest
94,WEH,wehrlein,Manor Marussia,manor,Pascal,Wehrlein,Pascal Wehrlein,19.0,19,20.0,,,,,+2 Laps,0.0,1.0,2016,Hungarian Grand Prix,Budapest
9,ERI,ericsson,Sauber,sauber,Marcus,Ericsson,Marcus Ericsson,20.0,20,22.0,,,,,+2 Laps,0.0,2.0,2016,Hungarian Grand Prix,Budapest
88,HAR,haryanto,Manor Marussia,manor,Rio,Haryanto,Rio Haryanto,21.0,21,21.0,,,,,+2 Laps,0.0,0.0,2016,Hungarian Grand Prix,Budapest
22,BUT,button,McLaren,mclaren,Jenson,Button,Jenson Button,22.0,R,8.0,,,,,Oil leak,0.0,-14.0,2016,Hungarian Grand Prix,Budapest
