DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,1.0,1,2.0,,,,0 days 01:30:44.200000,Finished,25.0,1.0,2016,German Grand Prix,Hockenheim
3,RIC,ricciardo,Red Bull,red_bull,Daniel,Ricciardo,Daniel Ricciardo,2.0,2,3.0,,,,0 days 00:00:06.996000,Finished,18.0,1.0,2016,German Grand Prix,Hockenheim
33,VER,max_verstappen,Red Bull,red_bull,Max,Verstappen,Max Verstappen,3.0,3,4.0,,,,0 days 00:00:13.413000,Finished,15.0,1.0,2016,German Grand Prix,Hockenheim
6,ROS,rosberg,Mercedes,mercedes,Nico,Rosberg,Nico Rosberg,4.0,4,1.0,,,,0 days 00:00:15.845000,Finished,12.0,-3.0,2016,German Grand Prix,Hockenheim
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,5.0,5,6.0,,,,0 days 00:00:32.570000,Finished,10.0,1.0,2016,German Grand Prix,Hockenheim
7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,6.0,6,5.0,,,,0 days 00:00:37.023000,Finished,8.0,-1.0,2016,German Grand Prix,Hockenheim
27,HUL,hulkenberg,Force India,force_india,Nico,Hülkenberg,Nico Hülkenberg,7.0,7,8.0,,,,0 days 00:01:10.049000,Finished,6.0,1.0,2016,German Grand Prix,Hockenheim
22,BUT,button,McLaren,mclaren,Jenson,Button,Jenson Button,8.0,8,12.0,,,,,+1 Lap,4.0,4.0,2016,German Grand Prix,Hockenheim
77,BOT,bottas,Williams,williams,Valtteri,Bottas,Valtteri Bottas,9.0,9,7.0,,,,,+1 Lap,2.0,-2.0,2016,German Grand Prix,Hockenheim
11,PER,perez,Force India,force_india,Sergio,Pérez,Sergio Pérez,10.0,10,9.0,,,,,+1 Lap,1.0,-1.0,2016,German Grand Prix,Hockenheim
21,GUT,gutierrez,Haas F1 Team,haas,Esteban,Gutiérrez,Esteban Gutiérrez,11.0,11,11.0,,,,,+1 Lap,0.0,0.0,2016,German Grand Prix,Hockenheim
14,ALO,alonso,McLaren,mclaren,Fernando,Alonso,Fernando Alonso,12.0,12,13.0,,,,,+1 Lap,0.0,1.0,2016,German Grand Prix,Hockenheim
8,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,13.0,13,20.0,,,,,+1 Lap,0.0,7.0,2016,German Grand Prix,Hockenheim
55,SAI,sainz,Toro Rosso,toro_rosso,Carlos,Sainz,Carlos Sainz,14.0,14,15.0,,,,,+1 Lap,0.0,1.0,2016,German Grand Prix,Hockenheim
26,KVY,kvyat,Toro Rosso,toro_rosso,Daniil,Kvyat,Daniil Kvyat,15.0,15,18.0,,,,,+1 Lap,0.0,3.0,2016,German Grand Prix,Hockenheim
20,MAG,kevin_magnussen,Renault,renault,Kevin,Magnussen,Kevin Magnussen,16.0,16,16.0,,,,,+1 Lap,0.0,0.0,2016,German Grand Prix,Hockenheim
94,WEH,wehrlein,Manor Marussia,manor,Pascal,Wehrlein,Pascal Wehrlein,17.0,17,17.0,,,,,+2 Laps,0.0,0.0,2016,German Grand Prix,Hockenheim
9,ERI,ericsson,Sauber,sauber,Marcus,Ericsson,Marcus Ericsson,18.0,18,22.0,,,,,+2 Laps,0.0,4.0,2016,German Grand Prix,Hockenheim
30,PAL,jolyon_palmer,Renault,renault,Jolyon,Palmer,Jolyon Palmer,19.0,19,14.0,,,,,+2 Laps,0.0,-5.0,2016,German Grand Prix,Hockenheim
88,HAR,haryanto,Manor Marussia,manor,Rio,Haryanto,Rio Haryanto,20.0,20,19.0,,,,,+2 Laps,0.0,-1.0,2016,German Grand Prix,Hockenheim
12,NAS,nasr,Sauber,sauber,Felipe,Nasr,Felipe Nasr,21.0,R,21.0,,,,,Power Unit,0.0,0.0,2016,German Grand Prix,Hockenheim
19,MAS,massa,Williams,williams,Felipe,Massa,Felipe Massa,22.0,R,10.0,,,,,Suspension,0.0,-12.0,2016,German Grand Prix,Hockenheim
