DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,1.0,1,1.0,,,,0 days 01:24:31.198000,Finished,25.0,0.0,2019,French Grand Prix,Le Castellet
77,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,2.0,2,2.0,,,,0 days 00:00:18.056000,Finished,18.0,0.0,2019,French Grand Prix,Le Castellet
16,LEC,leclerc,Ferrari,ferrari,Charles,Leclerc,Charles Leclerc,3.0,3,3.0,,,,0 days 00:00:18.985000,Finished,15.0,0.0,2019,French Grand Prix,Le Castellet
33,VER,max_verstappen,Red Bull Racing,red_bull,Max,Verstappen,Max Verstappen,4.0,4,4.0,,,,0 days 00:00:34.905000,Finished,12.0,0.0,2019,French Grand Prix,Le Castellet
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,5.0,5,7.0,,,,0 days 00:01:02.796000,Finished,11.0,2.0,2019,French Grand Prix,Le Castellet
55,SAI,sainz,McLaren,mclaren,Carlos,Sainz,Carlos Sainz,6.0,6,6.0,,,,0 days 00:01:35.462000,Finished,8.0,0.0,2019,French Grand Prix,Le Castellet
7,RAI,raikkonen,Alfa Romeo Racing,alfa,Kimi,Räikkönen,Kimi Räikkönen,7.0,7,12.0,,,,,+1 Lap,6.0,5.0,2019,French Grand Prix,Le Castellet
27,HUL,hulkenberg,Renault,renault,Nico,Hulkenberg,Nico Hulkenberg,8.0,8,13.0,,,,,+1 Lap,4.0,5.0,2019,French Grand Prix,Le Castellet
4,NOR,norris,McLaren,mclaren,Lando,Norris,Lando Norris,9.0,9,5.0,,,,,+1 Lap,2.0,-4.0,2019,French Grand Prix,Le Castellet
10,GAS,gasly,Red Bull Racing,red_bull,Pierre,Gasly,Pierre Gasly,10.0,10,9.0,,,,,+1 Lap,1.0,-1.0,2019,French Grand Prix,Le Castellet
3,RIC,ricciardo,Renault,renault,Daniel,Ricciardo,Daniel Ricciardo,11.0,11,8.0,,,,,+1 Lap,0.0,-3.0,2019,French Grand Prix,Le Castellet
11,PER,perez,Racing Point,racing_point,Sergio,Perez,Sergio Perez,12.0,12,14.0,,,,,+1 Lap,0.0,2.0,2019,French Grand Prix,Le Castellet
18,STR,stroll,Racing Point,racing_point,Lance,Stroll,Lance Stroll,13.0,13,17.0,,,,,+1 Lap,0.0,4.0,2019,French Grand Prix,Le Castellet
26,KVY,kvyat,Toro Rosso,toro_rosso,Daniil,Kvyat,Daniil Kvyat,14.0,14,19.0,,,,,+1 Lap,0.0,5.0,2019,French Grand Prix,Le Castellet
23,ALB,albon,Toro Rosso,toro_rosso,Alexander,Albon,Alexander Albon,15.0,15,11.0,,,,,+1 Lap,0.0,-4.0,2019,French Grand Prix,Le Castellet
99,GIO,giovinazzi,Alfa Romeo Racing,alfa,Antonio,Giovinazzi,Antonio Giovinazzi,16.0,16,10.0,,,,,+1 Lap,0.0,-6.0,2019,French Grand Prix,Le Castellet
20,MAG,kevin_magnussen,Haas F1 Team,haas,Kevin,Magnussen,Kevin Magnussen,17.0,17,15.0,,,,,+1 Lap,0.0,-2.0,2019,French Grand Prix,Le Castellet
88,KUB,kubica,Williams,williams,Robert,Kubica,Robert Kubica,18.0,18,18.0,,,,,+2 Laps,0.0,0.0,2019,French Grand Prix,Le Castellet
63,RUS,russell,Williams,williams,George,Russell,George Russell,19.0,19,20.0,,,,,+2 Laps,0.0,1.0,2019,French Grand Prix,Le Castellet
8,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,20.0,20,16.0,,,,,Retired,0.0,-4.0,2019,French Grand Prix,Le Castellet
