DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,1.0,1,1.0,,,,0 days 02:01:22.118000,Finished,25.0,0.0,2015,Singapore Grand Prix,Marina Bay
3,RIC,ricciardo,Red Bull,red_bull,Daniel,Ricciardo,Daniel Ricciardo,2.0,2,2.0,,,,0 days 00:00:01.478000,Finished,18.0,0.0,2015,Singapore Grand Prix,Marina Bay
7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,3.0,3,3.0,,,,0 days 00:00:17.154000,Finished,15.0,0.0,2015,Singapore Grand Prix,Marina Bay
6,ROS,rosberg,Mercedes,mercedes,Nico,Rosberg,Nico Rosberg,4.0,4,6.0,,,,0 days 00:00:24.720000,Finished,12.0,2.0,2015,Singapore Grand Prix,Marina Bay
77,BOT,bottas,Williams,williams,Valtteri,Bottas,Valtteri Bottas,5.0,5,7.0,,,,0 days 00:00:34.204000,Finished,10.0,2.0,2015,Singapore Grand Prix,Marina Bay
26,KVY,kvyat,Red Bull,red_bull,Daniil,Kvyat,Daniil Kvyat,6.0,6,4.0,,,,0 days 00:00:35.508000,Finished,8.0,-2.0,2015,Singapore Grand Prix,Marina Bay
11,PER,perez,Force India,force_india,Sergio,Pérez,Sergio Pérez,7.0,7,13.0,,,,0 days 00:00:50.836000,Finished,6.0,6.0,2015,Singapore Grand Prix,Marina Bay
33,VER,max_verstappen,Toro Rosso,toro_rosso,Max,Verstappen,Max Verstappen,8.0,8,8.0,,,,0 days 00:00:51.450000,Finished,4.0,0.0,2015,Singapore Grand Prix,Marina Bay
55,SAI,sainz,Toro Rosso,toro_rosso,Carlos,Sainz,Carlos Sainz,9.0,9,14.0,,,,0 days 00:00:52.860000,Finished,2.0,5.0,2015,Singapore Grand Prix,Marina Bay
12,NAS,nasr,Sauber,sauber,Felipe,Nasr,Felipe Nasr,10.0,10,16.0,,,,0 days 00:01:30.045000,Finished,1.0,6.0,2015,Singapore Grand Prix,Marina Bay
9,ERI,ericsson,Sauber,sauber,Marcus,Ericsson,Marcus Ericsson,11.0,11,17.0,,,,0 days 00:01:37.507000,Finished,0.0,6.0,2015,Singapore Grand Prix,Marina Bay
13,MAL,maldonado,Lotus F1,lotus_f1,Pastor,Maldonado,Pastor Maldonado,12.0,12,18.0,,,,0 days 00:01:37.718000,Finished,0.0,6.0,2015,Singapore Grand Prix,Marina Bay
8,GRO,grosjean,Lotus F1,lotus_f1,Romain,Grosjean,Romain Grosjean,13.0,13,10.0,,,,,Tyre,0.0,-3.0,2015,Singapore Grand Prix,Marina Bay
53,RSS,rossi,Manor Marussia,manor,Alexander,Rossi,Alexander Rossi,14.0,14,20.0,,,,,+2 Laps,0.0,6.0,2015,Singapore Grand Prix,Marina Bay
28,STE,stevens,Manor Marussia,manor,Will,Stevens,Will Stevens,15.0,15,19.0,,,,,+2 Laps,0.0,4.0,2015,Singapore Grand Prix,Marina Bay
22,BUT,button,McLaren,mclaren,Jenson,Button,Jenson Button,16.0,R,15.0,,,,,Gearbox,0.0,-1.0,2015,Singapore Grand Prix,Marina Bay
14,ALO,alonso,McLaren,mclaren,Fernando,Alonso,Fernando Alonso,17.0,R,12.0,,,,,Gearbox,0.0,-5.0,2015,Singapore Grand Prix,Marina Bay
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,18.0,R,5.0,,,,,Throttle,0.0,-13.0,2015,Singapore Grand Prix,Marina Bay
19,MAS,massa,Williams,williams,Felipe,Massa,Felipe Massa,19.0,R,9.0,,,,,Gearbox,0.0,-10.0,2015,Singapore Grand Prix,Marina Bay
27,HUL,hulkenberg,Force India,force_india,Nico,Hülkenberg,Nico Hülkenberg,20.0,R,11.0,,,,,Collision,0.0,-9.0,2015,Singapore Grand Prix,Marina Bay
