DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
77,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,1.0,1,2.0,,0 days 01:25:27.325000,Finished,26.0,1.0,2019,Australian Grand Prix,Melbourne
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,2.0,2,1.0,,0 days 00:00:20.886000,Finished,18.0,-1.0,2019,Australian Grand Prix,Melbourne
33,VER,max_verstappen,Red Bull Racing,red_bull,Max,Verstappen,Max Verstappen,3.0,3,4.0,,0 days 00:00:22.520000,Finished,15.0,1.0,2019,Australian Grand Prix,Melbourne
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,4.0,4,3.0,,0 days 00:00:57.109000,Finished,12.0,-1.0,2019,Australian Grand Prix,Melbourne
16,LEC,leclerc,Ferrari,ferrari,Charles,Leclerc,Charles Leclerc,5.0,5,5.0,,0 days 00:00:58.203000,Finished,10.0,0.0,2019,Australian Grand Prix,Melbourne
20,MAG,kevin_magnussen,Haas F1 Team,haas,Kevin,Magnussen,Kevin Magnussen,6.0,6,7.0,,0 days 00:01:27.156000,Finished,8.0,1.0,2019,Australian Grand Prix,Melbourne
27,HUL,hulkenberg,Renault,renault,Nico,Hulkenberg,Nico Hulkenberg,7.0,7,11.0,,,+1 Lap,6.0,4.0,2019,Australian Grand Prix,Melbourne
7,RAI,raikkonen,Alfa Romeo Racing,alfa,Kimi,Räikkönen,Kimi Räikkönen,8.0,8,9.0,,,+1 Lap,4.0,1.0,2019,Australian Grand Prix,Melbourne
18,STR,stroll,Racing Point,racing_point,Lance,Stroll,Lance Stroll,9.0,9,16.0,,,+1 Lap,2.0,7.0,2019,Australian Grand Prix,Melbourne
26,KVY,kvyat,Toro Rosso,toro_rosso,Daniil,Kvyat,Daniil Kvyat,10.0,10,15.0,,,+1 Lap,1.0,5.0,2019,Australian Grand Prix,Melbourne
10,GAS,gasly,Red Bull Racing,red_bull,Pierre,Gasly,Pierre Gasly,11.0,11,17.0,,,+1 Lap,0.0,6.0,2019,Australian Grand Prix,Melbourne
4,NOR,norris,McLaren,mclaren,Lando,Norris,Lando Norris,12.0,12,8.0,,,+1 Lap,0.0,-4.0,2019,Australian Grand Prix,Melbourne
11,PER,perez,Racing Point,racing_point,Sergio,Perez,Sergio Perez,13.0,13,10.0,,,+1 Lap,0.0,-3.0,2019,Australian Grand Prix,Melbourne
23,ALB,albon,Toro Rosso,toro_rosso,Alexander,Albon,Alexander Albon,14.0,14,13.0,,,+1 Lap,0.0,-1.0,2019,Australian Grand Prix,Melbourne
99,GIO,giovinazzi,Alfa Romeo Racing,alfa,Antonio,Giovinazzi,Antonio Giovinazzi,15.0,15,14.0,,,+1 Lap,0.0,-1.0,2019,Australian Grand Prix,Melbourne
63,RUS,russell,Williams,williams,George,Russell,George Russell,16.0,16,19.0,,,+2 Laps,0.0,3.0,2019,Australian Grand Prix,Melbourne
88,KUB,kubica,Williams,williams,Robert,Kubica,Robert Kubica,17.0,17,20.0,,,+3 Laps,0.0,3.0,2019,Australian Grand Prix,Melbourne
8,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,18.0,R,6.0,,,Wheel,0.0,-12.0,2019,Australian Grand Prix,Melbourne
3,RIC,ricciardo,Renault,renault,Daniel,Ricciardo,Daniel Ricciardo,19.0,R,12.0,,,Damage,0.0,-7.0,2019,Australian Grand Prix,Melbourne
55,SAI,sainz,McLaren,mclaren,Carlos,Sainz,Carlos Sainz,20.0,R,18.0,,,Engine,0.0,-2.0,2019,Australian Grand Prix,Melbourne
