DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
16,LEC,leclerc,Ferrari,ferrari,Charles,Leclerc,Charles Leclerc,1.0,1,1.0,,,,0 days 01:27:46.548000,Finished,26.0,0.0,2022,Australian Grand Prix,Melbourne
11,PER,perez,Red Bull Racing,red_bull,Sergio,Perez,Sergio Perez,2.0,2,3.0,,,,0 days 00:00:20.524000,Finished,18.0,1.0,2022,Australian Grand Prix,Melbourne
63,RUS,russell,Mercedes,mercedes,George,Russell,George Russell,3.0,3,6.0,,,,0 days 00:00:25.593000,Finished,15.0,3.0,2022,Australian Grand Prix,Melbourne
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,4.0,4,5.0,,,,0 days 00:00:28.543000,Finished,12.0,1.0,2022,Australian Grand Prix,Melbourne
4,NOR,norris,McLaren,mclaren,Lando,Norris,Lando Norris,5.0,5,4.0,,,,0 days 00:00:53.303000,Finished,10.0,-1.0,2022,Australian Grand Prix,Melbourne
3,RIC,ricciardo,McLaren,mclaren,Daniel,Ricciardo,Daniel Ricciardo,6.0,6,7.0,,,,0 days 00:00:53.737000,Finished,8.0,1.0,2022,Australian Grand Prix,Melbourne
31,OCO,ocon,Alpine,alpine,Esteban,Ocon,Esteban Ocon,7.0,7,8.0,,,,0 days 00:01:01.683000,Finished,6.0,1.0,2022,Australian Grand Prix,Melbourne
77,BOT,bottas,Alfa Romeo,alfa,Valtteri,Bottas,Valtteri Bottas,8.0,8,12.0,,,,0 days 00:01:08.439000,Finished,4.0,4.0,2022,Australian Grand Prix,Melbourne
10,GAS,gasly,AlphaTauri,alphatauri,Pierre,Gasly,Pierre Gasly,9.0,9,11.0,,,,0 days 00:01:16.221000,Finished,2.0,2.0,2022,Australian Grand Prix,Melbourne
23,ALB,albon,Williams,williams,Alexander,Albon,Alexander Albon,10.0,10,20.0,,,,0 days 00:01:19.382000,Finished,1.0,10.0,2022,Australian Grand Prix,Melbourne
24,ZHO,zhou,Alfa Romeo,alfa,Guanyu,Zhou,Guanyu Zhou,11.0,11,14.0,,,,0 days 00:01:21.695000,Finished,0.0,3.0,2022,Australian Grand Prix,Melbourne
18,STR,stroll,Aston Martin,aston_martin,Lance,Stroll,Lance Stroll,12.0,12,19.0,,,,0 days 00:01:28.598000,Finished,0.0,7.0,2022,Australian Grand Prix,Melbourne
47,MSC,mick_schumacher,Haas F1 Team,haas,Mick,Schumacher,Mick Schumacher,13.0,13,15.0,,,,,+1 Lap,0.0,2.0,2022,Australian Grand Prix,Melbourne
20,MAG,kevin_magnussen,Haas F1 Team,haas,Kevin,Magnussen,Kevin Magnussen,14.0,14,16.0,,,,,+1 Lap,0.0,2.0,2022,Australian Grand Prix,Melbourne
22,TSU,tsunoda,AlphaTauri,alphatauri,Yuki,Tsunoda,Yuki Tsunoda,15.0,15,13.0,,,,,+1 Lap,0.0,-2.0,2022,Australian Grand Prix,Melbourne
6,LAT,latifi,Williams,williams,Nicholas,Latifi,Nicholas Latifi,16.0,16,18.0,,,,,+1 Lap,0.0,2.0,2022,Australian Grand Prix,Melbourne
14,ALO,alonso,Alpine,alpine,Fernando,Alonso,Fernando Alonso,17.0,17,10.0,,,,,+1 Lap,0.0,-7.0,2022,Australian Grand Prix,Melbourne
1,VER,max_verstappen,Red Bull Racing,red_bull,Max,Verstappen,Max Verstappen,18.0,R,2.0,,,,,Fuel leak,0.0,-16.0,2022,Australian Grand Prix,Melbourne
5,VET,vettel,Aston Martin,aston_martin,Sebastian,Vettel,Sebastian Vettel,19.0,R,17.0,,,,,Accident,0.0,-2.0,2022,Australian Grand Prix,Melbourne
55,SAI,sainz,Ferrari,ferrari,Carlos,Sainz,Carlos Sainz,20.0,R,9.0,,,,,Spun off,0.0,-11.0,2022,Australian Grand Prix,Melbourne
