DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,1.0,1,3.0,,,,0 days 01:36:48.904000,Finished,25.0,2.0,2019,Mexican Grand Prix,Mexico City
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,2.0,2,2.0,,,,0 days 00:00:01.766000,Finished,18.0,0.0,2019,Mexican Grand Prix,Mexico City
77,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,3.0,3,6.0,,,,0 days 00:00:03.553000,Finished,15.0,3.0,2019,Mexican Grand Prix,Mexico City
16,LEC,leclerc,Ferrari,ferrari,Charles,Leclerc,Charles Leclerc,4.0,4,1.0,,,,0 days 00:00:06.368000,Finished,13.0,-3.0,2019,Mexican Grand Prix,Mexico City
23,ALB,albon,Red Bull Racing,red_bull,Alexander,Albon,Alexander Albon,5.0,5,5.0,,,,0 days 00:00:21.399000,Finished,10.0,0.0,2019,Mexican Grand Prix,Mexico City
33,VER,max_verstappen,Red Bull Racing,red_bull,Max,Verstappen,Max Verstappen,6.0,6,4.0,,,,0 days 00:01:08.807000,Finished,8.0,-2.0,2019,Mexican Grand Prix,Mexico City
11,PER,perez,Racing Point,racing_point,Sergio,Perez,Sergio Perez,7.0,7,11.0,,,,0 days 00:01:13.819000,Finished,6.0,4.0,2019,Mexican Grand Prix,Mexico City
3,RIC,ricciardo,Renault,renault,Daniel,Ricciardo,Daniel Ricciardo,8.0,8,13.0,,,,0 days 00:01:14.924000,Finished,4.0,5.0,2019,Mexican Grand Prix,Mexico City
10,GAS,gasly,Toro Rosso,toro_rosso,Pierre,Gasly,Pierre Gasly,9.0,9,10.0,,,,,+1 Lap,2.0,1.0,2019,Mexican Grand Prix,Mexico City
27,HUL,hulkenberg,Renault,renault,Nico,Hulkenberg,Nico Hulkenberg,10.0,10,12.0,,,,,+1 Lap,1.0,2.0,2019,Mexican Grand Prix,Mexico City
26,KVY,kvyat,Toro Rosso,toro_rosso,Daniil,Kvyat,Daniil Kvyat,11.0,11,9.0,,,,,+1 Lap,0.0,-2.0,2019,Mexican Grand Prix,Mexico City
18,STR,stroll,Racing Point,racing_point,Lance,Stroll,Lance Stroll,12.0,12,16.0,,,,,+1 Lap,0.0,4.0,2019,Mexican Grand Prix,Mexico City
55,SAI,sainz,McLaren,mclaren,Carlos,Sainz,Carlos Sainz,13.0,13,7.0,,,,,+1 Lap,0.0,-6.0,2019,Mexican Grand Prix,Mexico City
99,GIO,giovinazzi,Alfa Romeo Racing,alfa,Antonio,Giovinazzi,Antonio Giovinazzi,14.0,14,15.0,,,,,+1 Lap,0.0,1.0,2019,Mexican Grand Prix,Mexico City
20,MAG,kevin_magnussen,Haas F1 Team,haas,Kevin,Magnussen,Kevin Magnussen,15.0,15,17.0,,,,,+2 Laps,0.0,2.0,2019,Mexican Grand Prix,Mexico City
63,RUS,russell,Williams,williams,George,Russell,George Russell,16.0,16,19.0,,,,,+2 Laps,0.0,3.0,2019,Mexican Grand Prix,Mexico City
8,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,17.0,17,18.0,,,,,+2 Laps,0.0,1.0,2019,Mexican Grand Prix,Mexico City
88,KUB,kubica,Williams,williams,Robert,Kubica,Robert Kubica,18.0,18,20.0,,,,,+2 Laps,0.0,2.0,2019,Mexican Grand Prix,Mexico City
7,RAI,raikkonen,Alfa Romeo Racing,alfa,Kimi,Räikkönen,Kimi Räikkönen,19.0,R,14.0,,,,,Overheating,0.0,-5.0,2019,Mexican Grand Prix,Mexico City
4,NOR,norris,McLaren,mclaren,Lando,Norris,Lando Norris,20.0,W,8.0,,,,,Withdrew,0.0,-12.0,2019,Mexican Grand Prix,Mexico City
