DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
1,VER,max_verstappen,Red Bull Racing,red_bull,Max,Verstappen,Max Verstappen,1.0,1,3.0,,,,0 days 01:34:24.258000,Finished,26.0,2.0,2022,Miami Grand Prix,Miami
16,LEC,leclerc,Ferrari,ferrari,Charles,Leclerc,Charles Leclerc,2.0,2,1.0,,,,0 days 00:00:03.786000,Finished,18.0,-1.0,2022,Miami Grand Prix,Miami
55,SAI,sainz,Ferrari,ferrari,Carlos,Sainz,Carlos Sainz,3.0,3,2.0,,,,0 days 00:00:08.229000,Finished,15.0,-1.0,2022,Miami Grand Prix,Miami
11,PER,perez,Red Bull Racing,red_bull,Sergio,Perez,Sergio Perez,4.0,4,4.0,,,,0 days 00:00:10.638000,Finished,12.0,0.0,2022,Miami Grand Prix,Miami
63,RUS,russell,Mercedes,mercedes,George,Russell,George Russell,5.0,5,12.0,,,,0 days 00:00:18.582000,Finished,10.0,7.0,2022,Miami Grand Prix,Miami
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,6.0,6,6.0,,,,0 days 00:00:21.368000,Finished,8.0,0.0,2022,Miami Grand Prix,Miami
77,BOT,bottas,Alfa Romeo,alfa,Valtteri,Bottas,Valtteri Bottas,7.0,7,5.0,,,,0 days 00:00:25.073000,Finished,6.0,-2.0,2022,Miami Grand Prix,Miami
31,OCO,ocon,Alpine,alpine,Esteban,Ocon,Esteban Ocon,8.0,8,20.0,,,,0 days 00:00:28.386000,Finished,4.0,12.0,2022,Miami Grand Prix,Miami
23,ALB,albon,Williams,williams,Alexander,Albon,Alexander Albon,9.0,9,18.0,,,,0 days 00:00:32.365000,Finished,2.0,9.0,2022,Miami Grand Prix,Miami
18,STR,stroll,Aston Martin,aston_martin,Lance,Stroll,Lance Stroll,10.0,10,0.0,,,,0 days 00:00:37.026000,Finished,1.0,-10.0,2022,Miami Grand Prix,Miami
14,ALO,alonso,Alpine,alpine,Fernando,Alonso,Fernando Alonso,11.0,11,11.0,,,,0 days 00:00:37.128000,Finished,0.0,0.0,2022,Miami Grand Prix,Miami
22,TSU,tsunoda,AlphaTauri,alphatauri,Yuki,Tsunoda,Yuki Tsunoda,12.0,12,9.0,,,,0 days 00:00:40.146000,Finished,0.0,-3.0,2022,Miami Grand Prix,Miami
3,RIC,ricciardo,McLaren,mclaren,Daniel,Ricciardo,Daniel Ricciardo,13.0,13,14.0,,,,0 days 00:00:40.902000,Finished,0.0,1.0,2022,Miami Grand Prix,Miami
6,LAT,latifi,Williams,williams,Nicholas,Latifi,Nicholas Latifi,14.0,14,19.0,,,,0 days 00:00:49.936000,Finished,0.0,5.0,2022,Miami Grand Prix,Miami
47,MSC,mick_schumacher,Haas F1 Team,haas,Mick,Schumacher,Mick Schumacher,15.0,15,15.0,,,,0 days 00:01:13.305000,Finished,0.0,0.0,2022,Miami Grand Prix,Miami
20,MAG,kevin_magnussen,Haas F1 Team,haas,Kevin,Magnussen,Kevin Magnussen,16.0,16,16.0,,,,,Front wing,0.0,0.0,2022,Miami Grand Prix,Miami
5,VET,vettel,Aston Martin,aston_martin,Sebastian,Vettel,Sebastian Vettel,17.0,17,0.0,,,,,Collision,0.0,-17.0,2022,Miami Grand Prix,Miami
10,GAS,gasly,AlphaTauri,alphatauri,Pierre,Gasly,Pierre Gasly,18.0,R,7.0,,,,,Suspension,0.0,-11.0,2022,Miami Grand Prix,Miami
4,NOR,norris,McLaren,mclaren,Lando,Norris,Lando Norris,19.0,R,8.0,,,,,Collision,0.0,-11.0,2022,Miami Grand Prix,Miami
24,ZHO,zhou,Alfa Romeo,alfa,Guanyu,Zhou,Guanyu Zhou,20.0,R,17.0,,,,,Water leak,0.0,-3.0,2022,Miami Grand Prix,Miami
