DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
33,VER,max_verstappen,Red Bull Racing,red_bull,Max,Verstappen,Max Verstappen,1.0,1,2.0,,0 days 01:38:56.820000,Finished,25.0,1.0,2021,Monaco Grand Prix,Monte Carlo
55,SAI,sainz,Ferrari,ferrari,Carlos,Sainz,Carlos Sainz,2.0,2,4.0,,0 days 00:00:08.968000,Finished,18.0,2.0,2021,Monaco Grand Prix,Monte Carlo
4,NOR,norris,McLaren,mclaren,Lando,Norris,Lando Norris,3.0,3,5.0,,0 days 00:00:19.427000,Finished,15.0,2.0,2021,Monaco Grand Prix,Monte Carlo
11,PER,perez,Red Bull Racing,red_bull,Sergio,Perez,Sergio Perez,4.0,4,9.0,,0 days 00:00:20.490000,Finished,12.0,5.0,2021,Monaco Grand Prix,Monte Carlo
5,VET,vettel,Aston Martin,aston_martin,Sebastian,Vettel,Sebastian Vettel,5.0,5,8.0,,0 days 00:00:52.591000,Finished,10.0,3.0,2021,Monaco Grand Prix,Monte Carlo
10,GAS,gasly,AlphaTauri,alphatauri,Pierre,Gasly,Pierre Gasly,6.0,6,6.0,,0 days 00:00:53.896000,Finished,8.0,0.0,2021,Monaco Grand Prix,Monte Carlo
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,7.0,7,7.0,,0 days 00:01:08.231000,Finished,7.0,0.0,2021,Monaco Grand Prix,Monte Carlo
18,STR,stroll,Aston Martin,aston_martin,Lance,Stroll,Lance Stroll,8.0,8,13.0,,,+1 Lap,4.0,5.0,2021,Monaco Grand Prix,Monte Carlo
31,OCO,ocon,Alpine,alpine,Esteban,Ocon,Esteban Ocon,9.0,9,11.0,,,+1 Lap,2.0,2.0,2021,Monaco Grand Prix,Monte Carlo
99,GIO,giovinazzi,Alfa Romeo Racing,alfa,Antonio,Giovinazzi,Antonio Giovinazzi,10.0,10,10.0,,,+1 Lap,1.0,0.0,2021,Monaco Grand Prix,Monte Carlo
7,RAI,raikkonen,Alfa Romeo Racing,alfa,Kimi,Räikkönen,Kimi Räikkönen,11.0,11,14.0,,,+1 Lap,0.0,3.0,2021,Monaco Grand Prix,Monte Carlo
3,RIC,ricciardo,McLaren,mclaren,Daniel,Ricciardo,Daniel Ricciardo,12.0,12,12.0,,,+1 Lap,0.0,0.0,2021,Monaco Grand Prix,Monte Carlo
14,ALO,alonso,Alpine,alpine,Fernando,Alonso,Fernando Alonso,13.0,13,17.0,,,+1 Lap,0.0,4.0,2021,Monaco Grand Prix,Monte Carlo
63,RUS,russell,Williams,williams,George,Russell,George Russell,14.0,14,15.0,,,+1 Lap,0.0,1.0,2021,Monaco Grand Prix,Monte Carlo
6,LAT,latifi,Williams,williams,Nicholas,Latifi,Nicholas Latifi,15.0,15,18.0,,,+1 Lap,0.0,3.0,2021,Monaco Grand Prix,Monte Carlo
22,TSU,tsunoda,AlphaTauri,alphatauri,Yuki,Tsunoda,Yuki Tsunoda,16.0,16,16.0,,,+1 Lap,0.0,0.0,2021,Monaco Grand Prix,Monte Carlo
9,MAZ,mazepin,Haas F1 Team,haas,Nikita,Mazepin,Nikita Mazepin,17.0,17,19.0,,,+3 Laps,0.0,2.0,2021,Monaco Grand Prix,Monte Carlo
47,MSC,mick_schumacher,Haas F1 Team,haas,Mick,Schumacher,Mick Schumacher,18.0,18,20.0,,,+3 Laps,0.0,2.0,2021,Monaco Grand Prix,Monte Carlo
77,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,19.0,R,3.0,,,Wheel nut,0.0,-16.0,2021,Monaco Grand Prix,Monte Carlo
16,LEC,leclerc,Ferrari,ferrari,Charles,Leclerc,Charles Leclerc,20.0,W,1.0,,,Driveshaft,0.0,-19.0,2021,Monaco Grand Prix,Monte Carlo
