DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,1.0,1,3.0,,,,0 days 01:59:29.133000,Finished,25.0,2.0,2016,Monaco Grand Prix,Monte-Carlo
3,RIC,ricciardo,Red Bull,red_bull,Daniel,Ricciardo,Daniel Ricciardo,2.0,2,1.0,,,,0 days 00:00:07.252000,Finished,18.0,-1.0,2016,Monaco Grand Prix,Monte-Carlo
11,PER,perez,Force India,force_india,Sergio,Pérez,Sergio Pérez,3.0,3,7.0,,,,0 days 00:00:13.825000,Finished,15.0,4.0,2016,Monaco Grand Prix,Monte-Carlo
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,4.0,4,4.0,,,,0 days 00:00:15.846000,Finished,12.0,0.0,2016,Monaco Grand Prix,Monte-Carlo
14,ALO,alonso,McLaren,mclaren,Fernando,Alonso,Fernando Alonso,5.0,5,9.0,,,,0 days 00:01:25.076000,Finished,10.0,4.0,2016,Monaco Grand Prix,Monte-Carlo
27,HUL,hulkenberg,Force India,force_india,Nico,Hülkenberg,Nico Hülkenberg,6.0,6,5.0,,,,0 days 00:01:32.999000,Finished,8.0,-1.0,2016,Monaco Grand Prix,Monte-Carlo
6,ROS,rosberg,Mercedes,mercedes,Nico,Rosberg,Nico Rosberg,7.0,7,2.0,,,,0 days 00:01:33.290000,Finished,6.0,-5.0,2016,Monaco Grand Prix,Monte-Carlo
55,SAI,sainz,Toro Rosso,toro_rosso,Carlos,Sainz,Carlos Sainz,8.0,8,6.0,,,,,+1 Lap,4.0,-2.0,2016,Monaco Grand Prix,Monte-Carlo
22,BUT,button,McLaren,mclaren,Jenson,Button,Jenson Button,9.0,9,13.0,,,,,+1 Lap,2.0,4.0,2016,Monaco Grand Prix,Monte-Carlo
19,MAS,massa,Williams,williams,Felipe,Massa,Felipe Massa,10.0,10,14.0,,,,,+1 Lap,1.0,4.0,2016,Monaco Grand Prix,Monte-Carlo
21,GUT,gutierrez,Haas F1 Team,haas,Esteban,Gutiérrez,Esteban Gutiérrez,11.0,11,12.0,,,,,+1 Lap,0.0,1.0,2016,Monaco Grand Prix,Monte-Carlo
77,BOT,bottas,Williams,williams,Valtteri,Bottas,Valtteri Bottas,12.0,12,10.0,,,,,+1 Lap,0.0,-2.0,2016,Monaco Grand Prix,Monte-Carlo
8,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,13.0,13,15.0,,,,,+2 Laps,0.0,2.0,2016,Monaco Grand Prix,Monte-Carlo
94,WEH,wehrlein,Manor Marussia,manor,Pascal,Wehrlein,Pascal Wehrlein,14.0,14,20.0,,,,,+2 Laps,0.0,6.0,2016,Monaco Grand Prix,Monte-Carlo
88,HAR,haryanto,Manor Marussia,manor,Rio,Haryanto,Rio Haryanto,15.0,15,19.0,,,,,+4 Laps,0.0,4.0,2016,Monaco Grand Prix,Monte-Carlo
9,ERI,ericsson,Sauber,sauber,Marcus,Ericsson,Marcus Ericsson,16.0,R,17.0,,,,,Collision,0.0,1.0,2016,Monaco Grand Prix,Monte-Carlo
12,NAS,nasr,Sauber,sauber,Felipe,Nasr,Felipe Nasr,17.0,R,0.0,,,,,Retired,0.0,-17.0,2016,Monaco Grand Prix,Monte-Carlo
33,VER,max_verstappen,Red Bull,red_bull,Max,Verstappen,Max Verstappen,18.0,R,0.0,,,,,Accident,0.0,-18.0,2016,Monaco Grand Prix,Monte-Carlo
20,MAG,kevin_magnussen,Renault,renault,Kevin,Magnussen,Kevin Magnussen,19.0,R,16.0,,,,,Retired,0.0,-3.0,2016,Monaco Grand Prix,Monte-Carlo
26,KVY,kvyat,Toro Rosso,toro_rosso,Daniil,Kvyat,Daniil Kvyat,20.0,R,8.0,,,,,Accident,0.0,-12.0,2016,Monaco Grand Prix,Monte-Carlo
7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,21.0,R,11.0,,,,,Accident,0.0,-10.0,2016,Monaco Grand Prix,Monte-Carlo
30,PAL,jolyon_palmer,Renault,renault,Jolyon,Palmer,Jolyon Palmer,22.0,R,18.0,,,,,Accident,0.0,-4.0,2016,Monaco Grand Prix,Monte-Carlo
