DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
6,ROS,rosberg,Mercedes,mercedes,Nico,Rosberg,Nico Rosberg,1.0,1,1.0,,0 days 01:41:12.555000,Finished,25.0,0.0,2015,Spanish Grand Prix,Montmeló
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,2.0,2,2.0,,0 days 00:00:17.551000,Finished,18.0,0.0,2015,Spanish Grand Prix,Montmeló
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,3.0,3,3.0,,0 days 00:00:45.342000,Finished,15.0,0.0,2015,Spanish Grand Prix,Montmeló
77,BOT,bottas,Williams,williams,Valtteri,Bottas,Valtteri Bottas,4.0,4,4.0,,0 days 00:00:59.217000,Finished,12.0,0.0,2015,Spanish Grand Prix,Montmeló
7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,5.0,5,7.0,,0 days 00:01:00.002000,Finished,10.0,2.0,2015,Spanish Grand Prix,Montmeló
19,MAS,massa,Williams,williams,Felipe,Massa,Felipe Massa,6.0,6,9.0,,0 days 00:01:21.314000,Finished,8.0,3.0,2015,Spanish Grand Prix,Montmeló
3,RIC,ricciardo,Red Bull,red_bull,Daniel,Ricciardo,Daniel Ricciardo,7.0,7,10.0,,,+1 Lap,6.0,3.0,2015,Spanish Grand Prix,Montmeló
8,GRO,grosjean,Lotus F1,lotus_f1,Romain,Grosjean,Romain Grosjean,8.0,8,11.0,,,+1 Lap,4.0,3.0,2015,Spanish Grand Prix,Montmeló
55,SAI,sainz,Toro Rosso,toro_rosso,Carlos,Sainz,Carlos Sainz,9.0,9,5.0,,,+1 Lap,2.0,-4.0,2015,Spanish Grand Prix,Montmeló
26,KVY,kvyat,Red Bull,red_bull,Daniil,Kvyat,Daniil Kvyat,10.0,10,8.0,,,+1 Lap,1.0,-2.0,2015,Spanish Grand Prix,Montmeló
33,VER,max_verstappen,Toro Rosso,toro_rosso,Max,Verstappen,Max Verstappen,11.0,11,6.0,,,+1 Lap,0.0,-5.0,2015,Spanish Grand Prix,Montmeló
12,NAS,nasr,Sauber,sauber,Felipe,Nasr,Felipe Nasr,12.0,12,15.0,,,+1 Lap,0.0,3.0,2015,Spanish Grand Prix,Montmeló
11,PER,perez,Force India,force_india,Sergio,Pérez,Sergio Pérez,13.0,13,18.0,,,+1 Lap,0.0,5.0,2015,Spanish Grand Prix,Montmeló
9,ERI,ericsson,Sauber,sauber,Marcus,Ericsson,Marcus Ericsson,14.0,14,16.0,,,+1 Lap,0.0,2.0,2015,Spanish Grand Prix,Montmeló
27,HUL,hulkenberg,Force India,force_india,Nico,Hülkenberg,Nico Hülkenberg,15.0,15,17.0,,,+1 Lap,0.0,2.0,2015,Spanish Grand Prix,Montmeló
22,BUT,button,McLaren,mclaren,Jenson,Button,Jenson Button,16.0,16,14.0,,,+1 Lap,0.0,-2.0,2015,Spanish Grand Prix,Montmeló
28,STE,stevens,Manor Marussia,manor,Will,Stevens,Will Stevens,17.0,17,19.0,,,+3 Laps,0.0,2.0,2015,Spanish Grand Prix,Montmeló
98,MER,merhi,Manor Marussia,manor,Roberto,Merhi,Roberto Merhi,18.0,18,20.0,,,+4 Laps,0.0,2.0,2015,Spanish Grand Prix,Montmeló
13,MAL,maldonado,Lotus F1,lotus_f1,Pastor,Maldonado,Pastor Maldonado,19.0,R,12.0,,,Accident,0.0,-7.0,2015,Spanish Grand Prix,Montmeló
14,ALO,alonso,McLaren,mclaren,Fernando,Alonso,Fernando Alonso,20.0,R,13.0,,,Brakes,0.0,-7.0,2015,Spanish Grand Prix,Montmeló
