DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,1.0,1,1.0,,,,0 days 01:35:56.497000,Finished,25.0,0.0,2017,Spanish Grand Prix,Montmeló
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,2.0,2,2.0,,,,0 days 00:00:03.490000,Finished,18.0,0.0,2017,Spanish Grand Prix,Montmeló
3,RIC,ricciardo,Red Bull,red_bull,Daniel,Ricciardo,Daniel Ricciardo,3.0,3,6.0,,,,0 days 00:01:15.820000,Finished,15.0,3.0,2017,Spanish Grand Prix,Montmeló
11,PER,perez,Force India,force_india,Sergio,Pérez,Sergio Pérez,4.0,4,8.0,,,,,+1 Lap,12.0,4.0,2017,Spanish Grand Prix,Montmeló
31,OCO,ocon,Force India,force_india,Esteban,Ocon,Esteban Ocon,5.0,5,10.0,,,,,+1 Lap,10.0,5.0,2017,Spanish Grand Prix,Montmeló
27,HUL,hulkenberg,Renault,renault,Nico,Hülkenberg,Nico Hülkenberg,6.0,6,13.0,,,,,+1 Lap,8.0,7.0,2017,Spanish Grand Prix,Montmeló
55,SAI,sainz,Toro Rosso,toro_rosso,Carlos,Sainz,Carlos Sainz,7.0,7,12.0,,,,,+1 Lap,6.0,5.0,2017,Spanish Grand Prix,Montmeló
94,WEH,wehrlein,Sauber,sauber,Pascal,Wehrlein,Pascal Wehrlein,8.0,8,15.0,,,,,+1 Lap,4.0,7.0,2017,Spanish Grand Prix,Montmeló
26,KVY,kvyat,Toro Rosso,toro_rosso,Daniil,Kvyat,Daniil Kvyat,9.0,9,19.0,,,,,+1 Lap,2.0,10.0,2017,Spanish Grand Prix,Montmeló
8,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,10.0,10,14.0,,,,,+1 Lap,1.0,4.0,2017,Spanish Grand Prix,Montmeló
9,ERI,ericsson,Sauber,sauber,Marcus,Ericsson,Marcus Ericsson,11.0,11,16.0,,,,,+2 Laps,0.0,5.0,2017,Spanish Grand Prix,Montmeló
14,ALO,alonso,McLaren,mclaren,Fernando,Alonso,Fernando Alonso,12.0,12,7.0,,,,,+2 Laps,0.0,-5.0,2017,Spanish Grand Prix,Montmeló
19,MAS,massa,Williams,williams,Felipe,Massa,Felipe Massa,13.0,13,9.0,,,,,+2 Laps,0.0,-4.0,2017,Spanish Grand Prix,Montmeló
20,MAG,kevin_magnussen,Haas F1 Team,haas,Kevin,Magnussen,Kevin Magnussen,14.0,14,11.0,,,,,+2 Laps,0.0,-3.0,2017,Spanish Grand Prix,Montmeló
30,PAL,jolyon_palmer,Renault,renault,Jolyon,Palmer,Jolyon Palmer,15.0,15,17.0,,,,,+2 Laps,0.0,2.0,2017,Spanish Grand Prix,Montmeló
18,STR,stroll,Williams,williams,Lance,Stroll,Lance Stroll,16.0,16,18.0,,,,,+2 Laps,0.0,2.0,2017,Spanish Grand Prix,Montmeló
77,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,17.0,R,3.0,,,,,Power Unit,0.0,-14.0,2017,Spanish Grand Prix,Montmeló
2,VAN,vandoorne,McLaren,mclaren,Stoffel,Vandoorne,Stoffel Vandoorne,18.0,R,20.0,,,,,Collision,0.0,2.0,2017,Spanish Grand Prix,Montmeló
33,VER,max_verstappen,Red Bull,red_bull,Max,Verstappen,Max Verstappen,19.0,R,5.0,,,,,Collision damage,0.0,-14.0,2017,Spanish Grand Prix,Montmeló
7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,20.0,R,4.0,,,,,Collision damage,0.0,-16.0,2017,Spanish Grand Prix,Montmeló
