DriverNumber,DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
3,3,RIC,ricciardo,Red Bull,red_bull,Daniel,Ricciardo,Daniel Ricciardo,1.0,1,6.0,,,,0 days 01:39:12.830000,Finished,25.0,5.0,2014,Canadian Grand Prix,Montreal
6,6,ROS,rosberg,Mercedes,mercedes,Nico,Rosberg,Nico Rosberg,2.0,2,1.0,,,,0 days 00:00:04.236000,Finished,18.0,-1.0,2014,Canadian Grand Prix,Montreal
1,1,VET,vettel,Red Bull,red_bull,Sebastian,Vettel,Sebastian Vettel,3.0,3,3.0,,,,0 days 00:00:05.247000,Finished,15.0,0.0,2014,Canadian Grand Prix,Montreal
22,22,BUT,button,McLaren,mclaren,Jenson,Button,Jenson Button,4.0,4,9.0,,,,0 days 00:00:11.755000,Finished,12.0,5.0,2014,Canadian Grand Prix,Montreal
27,27,HUL,hulkenberg,Force India,force_india,Nico,Hülkenberg,Nico Hülkenberg,5.0,5,11.0,,,,0 days 00:00:12.843000,Finished,10.0,6.0,2014,Canadian Grand Prix,Montreal
14,14,ALO,alonso,Ferrari,ferrari,Fernando,Alonso,Fernando Alonso,6.0,6,7.0,,,,0 days 00:00:14.869000,Finished,8.0,1.0,2014,Canadian Grand Prix,Montreal
77,77,BOT,bottas,Williams,williams,Valtteri,Bottas,Valtteri Bottas,7.0,7,4.0,,,,0 days 00:00:23.578000,Finished,6.0,-3.0,2014,Canadian Grand Prix,Montreal
25,25,VER,vergne,Toro Rosso,toro_rosso,Jean-Éric,Vergne,Jean-Éric Vergne,8.0,8,8.0,,,,0 days 00:00:28.026000,Finished,4.0,0.0,2014,Canadian Grand Prix,Montreal
20,20,MAG,kevin_magnussen,McLaren,mclaren,Kevin,Magnussen,Kevin Magnussen,9.0,9,12.0,,,,0 days 00:00:29.254000,Finished,2.0,3.0,2014,Canadian Grand Prix,Montreal
7,7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,10.0,10,10.0,,,,0 days 00:00:53.678000,Finished,1.0,0.0,2014,Canadian Grand Prix,Montreal
11,11,PER,perez,Force India,force_india,Sergio,Pérez,Sergio Pérez,11.0,11,13.0,,,,,Collision,0.0,2.0,2014,Canadian Grand Prix,Montreal
19,19,MAS,massa,Williams,williams,Felipe,Massa,Felipe Massa,12.0,12,5.0,,,,,Collision,0.0,-7.0,2014,Canadian Grand Prix,Montreal
99,99,SUT,sutil,Sauber,sauber,Adrian,Sutil,Adrian Sutil,13.0,13,16.0,,,,,+1 Lap,0.0,3.0,2014,Canadian Grand Prix,Montreal
21,21,GUT,gutierrez,Sauber,sauber,Esteban,Gutiérrez,Esteban Gutiérrez,14.0,14,22.0,,,,,ERS,0.0,8.0,2014,Canadian Grand Prix,Montreal
8,8,GRO,grosjean,Lotus F1,lotus_f1,Romain,Grosjean,Romain Grosjean,15.0,R,14.0,,,,,Rear wing,0.0,-1.0,2014,Canadian Grand Prix,Montreal
26,26,KVY,kvyat,Toro Rosso,toro_rosso,Daniil,Kvyat,Daniil Kvyat,16.0,R,15.0,,,,,Drivetrain,0.0,-1.0,2014,Canadian Grand Prix,Montreal
44,44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,17.0,R,2.0,,,,,Brakes,0.0,-15.0,2014,Canadian Grand Prix,Montreal
10,10,KOB,kobayashi,Caterham,caterham,Kamui,Kobayashi,Kamui Kobayashi,18.0,R,21.0,,,,,Suspension,0.0,3.0,2014,Canadian Grand Prix,Montreal
13,13,MAL,maldonado,Lotus F1,lotus_f1,Pastor,Maldonado,Pastor Maldonado,19.0,R,17.0,,,,,Power Unit,0.0,-2.0,2014,Canadian Grand Prix,Montreal
9,9,ERI,ericsson,Caterham,caterham,Marcus,Ericsson,Marcus Ericsson,20.0,R,20.0,,,,,Turbo,0.0,0.0,2014,Canadian Grand Prix,Montreal
4,4,CHI,chilton,Marussia,marussia,Max,Chilton,Max Chilton,21.0,R,18.0,,,,,Collision,0.0,-3.0,2014,Canadian Grand Prix,Montreal
17,17,BIA,jules_bianchi,Marussia,marussia,Jules,Bianchi,Jules Bianchi,22.0,R,19.0,,,,,Collision,0.0,-3.0,2014,Canadian Grand Prix,Montreal
