DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,1.0,1,1.0,,,,0 days 01:31:05.296000,Finished,25.0,0.0,2016,Canadian Grand Prix,Montreal
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,2.0,2,3.0,,,,0 days 00:00:05.011000,Finished,18.0,1.0,2016,Canadian Grand Prix,Montreal
77,BOT,bottas,Williams,williams,Valtteri,Bottas,Valtteri Bottas,3.0,3,7.0,,,,0 days 00:00:46.422000,Finished,15.0,4.0,2016,Canadian Grand Prix,Montreal
33,VER,max_verstappen,Red Bull,red_bull,Max,Verstappen,Max Verstappen,4.0,4,5.0,,,,0 days 00:00:53.020000,Finished,12.0,1.0,2016,Canadian Grand Prix,Montreal
6,ROS,rosberg,Mercedes,mercedes,Nico,Rosberg,Nico Rosberg,5.0,5,2.0,,,,0 days 00:01:02.093000,Finished,10.0,-3.0,2016,Canadian Grand Prix,Montreal
7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,6.0,6,6.0,,,,0 days 00:01:03.017000,Finished,8.0,0.0,2016,Canadian Grand Prix,Montreal
3,RIC,ricciardo,Red Bull,red_bull,Daniel,Ricciardo,Daniel Ricciardo,7.0,7,4.0,,,,0 days 00:01:03.634000,Finished,6.0,-3.0,2016,Canadian Grand Prix,Montreal
27,HUL,hulkenberg,Force India,force_india,Nico,Hülkenberg,Nico Hülkenberg,8.0,8,9.0,,,,,+1 Lap,4.0,1.0,2016,Canadian Grand Prix,Montreal
55,SAI,sainz,Toro Rosso,toro_rosso,Carlos,Sainz,Carlos Sainz,9.0,9,20.0,,,,,+1 Lap,2.0,11.0,2016,Canadian Grand Prix,Montreal
11,PER,perez,Force India,force_india,Sergio,Pérez,Sergio Pérez,10.0,10,11.0,,,,,+1 Lap,1.0,1.0,2016,Canadian Grand Prix,Montreal
14,ALO,alonso,McLaren,mclaren,Fernando,Alonso,Fernando Alonso,11.0,11,10.0,,,,,+1 Lap,0.0,-1.0,2016,Canadian Grand Prix,Montreal
26,KVY,kvyat,Toro Rosso,toro_rosso,Daniil,Kvyat,Daniil Kvyat,12.0,12,15.0,,,,,+1 Lap,0.0,3.0,2016,Canadian Grand Prix,Montreal
21,GUT,gutierrez,Haas F1 Team,haas,Esteban,Gutiérrez,Esteban Gutiérrez,13.0,13,13.0,,,,,+2 Laps,0.0,0.0,2016,Canadian Grand Prix,Montreal
8,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,14.0,14,14.0,,,,,+2 Laps,0.0,0.0,2016,Canadian Grand Prix,Montreal
9,ERI,ericsson,Sauber,sauber,Marcus,Ericsson,Marcus Ericsson,15.0,15,21.0,,,,,+2 Laps,0.0,6.0,2016,Canadian Grand Prix,Montreal
20,MAG,kevin_magnussen,Renault,renault,Kevin,Magnussen,Kevin Magnussen,16.0,16,22.0,,,,,+2 Laps,0.0,6.0,2016,Canadian Grand Prix,Montreal
94,WEH,wehrlein,Manor Marussia,manor,Pascal,Wehrlein,Pascal Wehrlein,17.0,17,17.0,,,,,+2 Laps,0.0,0.0,2016,Canadian Grand Prix,Montreal
12,NAS,nasr,Sauber,sauber,Felipe,Nasr,Felipe Nasr,18.0,18,18.0,,,,,+2 Laps,0.0,0.0,2016,Canadian Grand Prix,Montreal
88,HAR,haryanto,Manor Marussia,manor,Rio,Haryanto,Rio Haryanto,19.0,19,19.0,,,,,+2 Laps,0.0,0.0,2016,Canadian Grand Prix,Montreal
19,MAS,massa,Williams,williams,Felipe,Massa,Felipe Massa,20.0,R,8.0,,,,,Retired,0.0,-12.0,2016,Canadian Grand Prix,Montreal
30,PAL,jolyon_palmer,Renault,renault,Jolyon,Palmer,Jolyon Palmer,21.0,R,16.0,,,,,Retired,0.0,-5.0,2016,Canadian Grand Prix,Montreal
22,BUT,button,McLaren,mclaren,Jenson,Button,Jenson Button,22.0,R,12.0,,,,,Power Unit,0.0,-10.0,2016,Canadian Grand Prix,Montreal
