DriverNumber,DriverNumber.1,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
44,44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,1.0,1,1.0,,0 days 01:19:10.236000,Finished,25.0,0.0,2014,Italian Grand Prix,Monza
6,6,ROS,rosberg,Mercedes,mercedes,Nico,Rosberg,Nico Rosberg,2.0,2,2.0,,0 days 00:00:03.175000,Finished,18.0,0.0,2014,Italian Grand Prix,Monza
19,19,MAS,massa,Williams,williams,Felipe,Massa,Felipe Massa,3.0,3,4.0,,0 days 00:00:25.026000,Finished,15.0,1.0,2014,Italian Grand Prix,Monza
77,77,BOT,bottas,Williams,williams,Valtteri,Bottas,Valtteri Bottas,4.0,4,3.0,,0 days 00:00:40.786000,Finished,12.0,-1.0,2014,Italian Grand Prix,Monza
3,3,RIC,ricciardo,Red Bull,red_bull,Daniel,Ricciardo,Daniel Ricciardo,5.0,5,9.0,,0 days 00:00:50.309000,Finished,10.0,4.0,2014,Italian Grand Prix,Monza
1,1,VET,vettel,Red Bull,red_bull,Sebastian,Vettel,Sebastian Vettel,6.0,6,8.0,,0 days 00:00:59.965000,Finished,8.0,2.0,2014,Italian Grand Prix,Monza
11,11,PER,perez,Force India,force_india,Sergio,Pérez,Sergio Pérez,7.0,7,10.0,,0 days 00:01:02.518000,Finished,6.0,3.0,2014,Italian Grand Prix,Monza
22,22,BUT,button,McLaren,mclaren,Jenson,Button,Jenson Button,8.0,8,6.0,,0 days 00:01:03.063000,Finished,4.0,-2.0,2014,Italian Grand Prix,Monza
7,7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,9.0,9,11.0,,0 days 00:01:03.535000,Finished,2.0,2.0,2014,Italian Grand Prix,Monza
20,20,MAG,kevin_magnussen,McLaren,mclaren,Kevin,Magnussen,Kevin Magnussen,10.0,10,5.0,,0 days 00:01:06.171000,Finished,1.0,-5.0,2014,Italian Grand Prix,Monza
26,26,KVY,kvyat,Toro Rosso,toro_rosso,Daniil,Kvyat,Daniil Kvyat,11.0,11,21.0,,0 days 00:01:11.184000,Finished,0.0,10.0,2014,Italian Grand Prix,Monza
27,27,HUL,hulkenberg,Force India,force_india,Nico,Hülkenberg,Nico Hülkenberg,12.0,12,13.0,,0 days 00:01:12.606000,Finished,0.0,1.0,2014,Italian Grand Prix,Monza
25,25,VER,vergne,Toro Rosso,toro_rosso,Jean-Éric,Vergne,Jean-Éric Vergne,13.0,13,12.0,,0 days 00:01:13.093000,Finished,0.0,-1.0,2014,Italian Grand Prix,Monza
13,13,MAL,maldonado,Lotus F1,lotus_f1,Pastor,Maldonado,Pastor Maldonado,14.0,14,16.0,,,+1 Lap,0.0,2.0,2014,Italian Grand Prix,Monza
99,99,SUT,sutil,Sauber,sauber,Adrian,Sutil,Adrian Sutil,15.0,15,14.0,,,+1 Lap,0.0,-1.0,2014,Italian Grand Prix,Monza
8,8,GRO,grosjean,Lotus F1,lotus_f1,Romain,Grosjean,Romain Grosjean,16.0,16,17.0,,,+1 Lap,0.0,1.0,2014,Italian Grand Prix,Monza
10,10,KOB,kobayashi,Caterham,caterham,Kamui,Kobayashi,Kamui Kobayashi,17.0,17,18.0,,,+1 Lap,0.0,1.0,2014,Italian Grand Prix,Monza
17,17,BIA,jules_bianchi,Marussia,marussia,Jules,Bianchi,Jules Bianchi,18.0,18,19.0,,,+1 Lap,0.0,1.0,2014,Italian Grand Prix,Monza
21,21,GUT,gutierrez,Sauber,sauber,Esteban,Gutiérrez,Esteban Gutiérrez,19.0,19,15.0,,,+2 Laps,0.0,-4.0,2014,Italian Grand Prix,Monza
9,9,ERI,ericsson,Caterham,caterham,Marcus,Ericsson,Marcus Ericsson,20.0,20,22.0,,,+2 Laps,0.0,2.0,2014,Italian Grand Prix,Monza
14,14,ALO,alonso,Ferrari,ferrari,Fernando,Alonso,Fernando Alonso,21.0,R,7.0,,,Engine,0.0,-14.0,2014,Italian Grand Prix,Monza
4,4,CHI,chilton,Marussia,marussia,Max,Chilton,Max Chilton,22.0,R,20.0,,,Accident,0.0,-2.0,2014,Italian Grand Prix,Monza
