DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,1.0,1,1.0,,,,0 days 01:29:56.828000,Finished,26.0,0.0,2020,Portuguese Grand Prix,Portimão
77,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,2.0,2,2.0,,,,0 days 00:00:25.592000,Finished,18.0,0.0,2020,Portuguese Grand Prix,Portimão
33,VER,max_verstappen,Red Bull Racing,red_bull,Max,Verstappen,Max Verstappen,3.0,3,3.0,,,,0 days 00:00:34.508000,Finished,15.0,0.0,2020,Portuguese Grand Prix,Portimão
16,LEC,leclerc,Ferrari,ferrari,Charles,Leclerc,Charles Leclerc,4.0,4,4.0,,,,0 days 00:01:05.312000,Finished,12.0,0.0,2020,Portuguese Grand Prix,Portimão
10,GAS,gasly,AlphaTauri,alphatauri,Pierre,Gasly,Pierre Gasly,5.0,5,9.0,,,,,+1 Lap,10.0,4.0,2020,Portuguese Grand Prix,Portimão
55,SAI,sainz,McLaren,mclaren,Carlos,Sainz,Carlos Sainz,6.0,6,7.0,,,,,+1 Lap,8.0,1.0,2020,Portuguese Grand Prix,Portimão
11,PER,perez,Racing Point,racing_point,Sergio,Perez,Sergio Perez,7.0,7,5.0,,,,,+1 Lap,6.0,-2.0,2020,Portuguese Grand Prix,Portimão
31,OCO,ocon,Renault,renault,Esteban,Ocon,Esteban Ocon,8.0,8,11.0,,,,,+1 Lap,4.0,3.0,2020,Portuguese Grand Prix,Portimão
3,RIC,ricciardo,Renault,renault,Daniel,Ricciardo,Daniel Ricciardo,9.0,9,10.0,,,,,+1 Lap,2.0,1.0,2020,Portuguese Grand Prix,Portimão
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,10.0,10,15.0,,,,,+1 Lap,1.0,5.0,2020,Portuguese Grand Prix,Portimão
7,RAI,raikkonen,Alfa Romeo Racing,alfa,Kimi,Räikkönen,Kimi Räikkönen,11.0,11,16.0,,,,,+1 Lap,0.0,5.0,2020,Portuguese Grand Prix,Portimão
23,ALB,albon,Red Bull Racing,red_bull,Alexander,Albon,Alexander Albon,12.0,12,6.0,,,,,+1 Lap,0.0,-6.0,2020,Portuguese Grand Prix,Portimão
4,NOR,norris,McLaren,mclaren,Lando,Norris,Lando Norris,13.0,13,8.0,,,,,+1 Lap,0.0,-5.0,2020,Portuguese Grand Prix,Portimão
63,RUS,russell,Williams,williams,George,Russell,George Russell,14.0,14,14.0,,,,,+1 Lap,0.0,0.0,2020,Portuguese Grand Prix,Portimão
99,GIO,giovinazzi,Alfa Romeo Racing,alfa,Antonio,Giovinazzi,Antonio Giovinazzi,15.0,15,17.0,,,,,+1 Lap,0.0,2.0,2020,Portuguese Grand Prix,Portimão
20,MAG,kevin_magnussen,Haas F1 Team,haas,Kevin,Magnussen,Kevin Magnussen,16.0,16,19.0,,,,,+1 Lap,0.0,3.0,2020,Portuguese Grand Prix,Portimão
8,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,17.0,17,18.0,,,,,+1 Lap,0.0,1.0,2020,Portuguese Grand Prix,Portimão
6,LAT,latifi,Williams,williams,Nicholas,Latifi,Nicholas Latifi,18.0,18,20.0,,,,,+2 Laps,0.0,2.0,2020,Portuguese Grand Prix,Portimão
26,KVY,kvyat,AlphaTauri,alphatauri,Daniil,Kvyat,Daniil Kvyat,19.0,19,13.0,,,,,+2 Laps,0.0,-6.0,2020,Portuguese Grand Prix,Portimão
18,STR,stroll,Racing Point,racing_point,Lance,Stroll,Lance Stroll,20.0,R,12.0,,,,,Collision damage,0.0,-8.0,2020,Portuguese Grand Prix,Portimão
