DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
11,PER,perez,Racing Point,racing_point,Sergio,Perez,Sergio Perez,1.0,1,5.0,,0 days 01:31:15.114000,Finished,25.0,4.0,2020,Sakhir Grand Prix,Sakhir
31,OCO,ocon,Renault,renault,Esteban,Ocon,Esteban Ocon,2.0,2,11.0,,0 days 00:00:10.518000,Finished,18.0,9.0,2020,Sakhir Grand Prix,Sakhir
18,STR,stroll,Racing Point,racing_point,Lance,Stroll,Lance Stroll,3.0,3,10.0,,0 days 00:00:11.869000,Finished,15.0,7.0,2020,Sakhir Grand Prix,Sakhir
55,SAI,sainz,McLaren,mclaren,Carlos,Sainz,Carlos Sainz,4.0,4,8.0,,0 days 00:00:12.580000,Finished,12.0,4.0,2020,Sakhir Grand Prix,Sakhir
3,RIC,ricciardo,Renault,renault,Daniel,Ricciardo,Daniel Ricciardo,5.0,5,7.0,,0 days 00:00:13.330000,Finished,10.0,2.0,2020,Sakhir Grand Prix,Sakhir
23,ALB,albon,Red Bull Racing,red_bull,Alexander,Albon,Alexander Albon,6.0,6,12.0,,0 days 00:00:13.842000,Finished,8.0,6.0,2020,Sakhir Grand Prix,Sakhir
26,KVY,kvyat,AlphaTauri,alphatauri,Daniil,Kvyat,Daniil Kvyat,7.0,7,6.0,,0 days 00:00:14.534000,Finished,6.0,-1.0,2020,Sakhir Grand Prix,Sakhir
77,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,8.0,8,1.0,,0 days 00:00:15.389000,Finished,4.0,-7.0,2020,Sakhir Grand Prix,Sakhir
63,RUS,russell,Mercedes,mercedes,George,Russell,George Russell,9.0,9,2.0,,0 days 00:00:18.556000,Finished,3.0,-7.0,2020,Sakhir Grand Prix,Sakhir
4,NOR,norris,McLaren,mclaren,Lando,Norris,Lando Norris,10.0,10,19.0,,0 days 00:00:19.541000,Finished,1.0,9.0,2020,Sakhir Grand Prix,Sakhir
10,GAS,gasly,AlphaTauri,alphatauri,Pierre,Gasly,Pierre Gasly,11.0,11,9.0,,0 days 00:00:20.527000,Finished,0.0,-2.0,2020,Sakhir Grand Prix,Sakhir
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,12.0,12,13.0,,0 days 00:00:22.611000,Finished,0.0,1.0,2020,Sakhir Grand Prix,Sakhir
99,GIO,giovinazzi,Alfa Romeo Racing,alfa,Antonio,Giovinazzi,Antonio Giovinazzi,13.0,13,14.0,,0 days 00:00:24.111000,Finished,0.0,1.0,2020,Sakhir Grand Prix,Sakhir
7,RAI,raikkonen,Alfa Romeo Racing,alfa,Kimi,Räikkönen,Kimi Räikkönen,14.0,14,18.0,,0 days 00:00:26.153000,Finished,0.0,4.0,2020,Sakhir Grand Prix,Sakhir
20,MAG,kevin_magnussen,Haas F1 Team,haas,Kevin,Magnussen,Kevin Magnussen,15.0,15,15.0,,0 days 00:00:32.370000,Finished,0.0,0.0,2020,Sakhir Grand Prix,Sakhir
89,AIT,aitken,Williams,williams,Jack,Aitken,Jack Aitken,16.0,16,17.0,,0 days 00:00:33.674000,Finished,0.0,1.0,2020,Sakhir Grand Prix,Sakhir
51,FIT,pietro_fittipaldi,Haas F1 Team,haas,Pietro,Fittipaldi,Pietro Fittipaldi,17.0,17,20.0,,0 days 00:00:36.858000,Finished,0.0,3.0,2020,Sakhir Grand Prix,Sakhir
6,LAT,latifi,Williams,williams,Nicholas,Latifi,Nicholas Latifi,18.0,R,16.0,,,Engine,0.0,-2.0,2020,Sakhir Grand Prix,Sakhir
33,VER,max_verstappen,Red Bull Racing,red_bull,Max,Verstappen,Max Verstappen,19.0,R,3.0,,,Accident,0.0,-16.0,2020,Sakhir Grand Prix,Sakhir
16,LEC,leclerc,Ferrari,ferrari,Charles,Leclerc,Charles Leclerc,20.0,R,4.0,,,Collision,0.0,-16.0,2020,Sakhir Grand Prix,Sakhir
