DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,1.0,1,1.0,,,,0 days 01:39:42.008000,Finished,25.0,0.0,2015,Chinese Grand Prix,Shanghai
6,ROS,rosberg,Mercedes,mercedes,Nico,Rosberg,Nico Rosberg,2.0,2,2.0,,,,0 days 00:00:00.714000,Finished,18.0,0.0,2015,Chinese Grand Prix,Shanghai
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,3.0,3,3.0,,,,0 days 00:00:02.988000,Finished,15.0,0.0,2015,Chinese Grand Prix,Shanghai
7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,4.0,4,6.0,,,,0 days 00:00:03.835000,Finished,12.0,2.0,2015,Chinese Grand Prix,Shanghai
19,MAS,massa,Williams,williams,Felipe,Massa,Felipe Massa,5.0,5,4.0,,,,0 days 00:00:08.544000,Finished,10.0,-1.0,2015,Chinese Grand Prix,Shanghai
77,BOT,bottas,Williams,williams,Valtteri,Bottas,Valtteri Bottas,6.0,6,5.0,,,,0 days 00:00:09.885000,Finished,8.0,-1.0,2015,Chinese Grand Prix,Shanghai
8,GRO,grosjean,Lotus F1,lotus_f1,Romain,Grosjean,Romain Grosjean,7.0,7,8.0,,,,0 days 00:00:19.008000,Finished,6.0,1.0,2015,Chinese Grand Prix,Shanghai
12,NAS,nasr,Sauber,sauber,Felipe,Nasr,Felipe Nasr,8.0,8,9.0,,,,0 days 00:00:22.625000,Finished,4.0,1.0,2015,Chinese Grand Prix,Shanghai
3,RIC,ricciardo,Red Bull,red_bull,Daniel,Ricciardo,Daniel Ricciardo,9.0,9,7.0,,,,0 days 00:00:32.117000,Finished,2.0,-2.0,2015,Chinese Grand Prix,Shanghai
9,ERI,ericsson,Sauber,sauber,Marcus,Ericsson,Marcus Ericsson,10.0,10,10.0,,,,,+1 Lap,1.0,0.0,2015,Chinese Grand Prix,Shanghai
11,PER,perez,Force India,force_india,Sergio,Pérez,Sergio Pérez,11.0,11,15.0,,,,,+1 Lap,0.0,4.0,2015,Chinese Grand Prix,Shanghai
14,ALO,alonso,McLaren,mclaren,Fernando,Alonso,Fernando Alonso,12.0,12,18.0,,,,,+1 Lap,0.0,6.0,2015,Chinese Grand Prix,Shanghai
55,SAI,sainz,Toro Rosso,toro_rosso,Carlos,Sainz,Carlos Sainz,13.0,13,14.0,,,,,+1 Lap,0.0,1.0,2015,Chinese Grand Prix,Shanghai
22,BUT,button,McLaren,mclaren,Jenson,Button,Jenson Button,14.0,14,17.0,,,,,+1 Lap,0.0,3.0,2015,Chinese Grand Prix,Shanghai
28,STE,stevens,Manor Marussia,manor,Will,Stevens,Will Stevens,15.0,15,19.0,,,,,+2 Laps,0.0,4.0,2015,Chinese Grand Prix,Shanghai
98,MER,merhi,Manor Marussia,manor,Roberto,Merhi,Roberto Merhi,16.0,16,20.0,,,,,+2 Laps,0.0,4.0,2015,Chinese Grand Prix,Shanghai
33,VER,max_verstappen,Toro Rosso,toro_rosso,Max,Verstappen,Max Verstappen,17.0,17,13.0,,,,,Transmission,0.0,-4.0,2015,Chinese Grand Prix,Shanghai
13,MAL,maldonado,Lotus F1,lotus_f1,Pastor,Maldonado,Pastor Maldonado,18.0,R,11.0,,,,,Brakes,0.0,-7.0,2015,Chinese Grand Prix,Shanghai
26,KVY,kvyat,Red Bull,red_bull,Daniil,Kvyat,Daniil Kvyat,19.0,R,12.0,,,,,Power Unit,0.0,-7.0,2015,Chinese Grand Prix,Shanghai
27,HUL,hulkenberg,Force India,force_india,Nico,Hülkenberg,Nico Hülkenberg,20.0,R,16.0,,,,,Gearbox,0.0,-4.0,2015,Chinese Grand Prix,Shanghai
