DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,1.0,1,1.0,,0 days 01:37:36.158000,Finished,25.0,0.0,2017,Chinese Grand Prix,Shanghai
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,2.0,2,2.0,,0 days 00:00:06.250000,Finished,18.0,0.0,2017,Chinese Grand Prix,Shanghai
33,VER,max_verstappen,Red Bull,red_bull,Max,Verstappen,Max Verstappen,3.0,3,16.0,,0 days 00:00:45.192000,Finished,15.0,13.0,2017,Chinese Grand Prix,Shanghai
3,RIC,ricciardo,Red Bull,red_bull,Daniel,Ricciardo,Daniel Ricciardo,4.0,4,5.0,,0 days 00:00:46.035000,Finished,12.0,1.0,2017,Chinese Grand Prix,Shanghai
7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,5.0,5,4.0,,0 days 00:00:48.076000,Finished,10.0,-1.0,2017,Chinese Grand Prix,Shanghai
77,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,6.0,6,3.0,,0 days 00:00:48.808000,Finished,8.0,-3.0,2017,Chinese Grand Prix,Shanghai
55,SAI,sainz,Toro Rosso,toro_rosso,Carlos,Sainz,Carlos Sainz,7.0,7,11.0,,0 days 00:01:12.893000,Finished,6.0,4.0,2017,Chinese Grand Prix,Shanghai
20,MAG,kevin_magnussen,Haas F1 Team,haas,Kevin,Magnussen,Kevin Magnussen,8.0,8,12.0,,,+1 Lap,4.0,4.0,2017,Chinese Grand Prix,Shanghai
11,PER,perez,Force India,force_india,Sergio,Pérez,Sergio Pérez,9.0,9,8.0,,,+1 Lap,2.0,-1.0,2017,Chinese Grand Prix,Shanghai
31,OCO,ocon,Force India,force_india,Esteban,Ocon,Esteban Ocon,10.0,10,17.0,,,+1 Lap,1.0,7.0,2017,Chinese Grand Prix,Shanghai
8,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,11.0,11,19.0,,,+1 Lap,0.0,8.0,2017,Chinese Grand Prix,Shanghai
27,HUL,hulkenberg,Renault,renault,Nico,Hülkenberg,Nico Hülkenberg,12.0,12,7.0,,,+1 Lap,0.0,-5.0,2017,Chinese Grand Prix,Shanghai
30,PAL,jolyon_palmer,Renault,renault,Jolyon,Palmer,Jolyon Palmer,13.0,13,20.0,,,+1 Lap,0.0,7.0,2017,Chinese Grand Prix,Shanghai
19,MAS,massa,Williams,williams,Felipe,Massa,Felipe Massa,14.0,14,6.0,,,+1 Lap,0.0,-8.0,2017,Chinese Grand Prix,Shanghai
9,ERI,ericsson,Sauber,sauber,Marcus,Ericsson,Marcus Ericsson,15.0,15,14.0,,,+1 Lap,0.0,-1.0,2017,Chinese Grand Prix,Shanghai
14,ALO,alonso,McLaren,mclaren,Fernando,Alonso,Fernando Alonso,16.0,R,13.0,,,Driveshaft,0.0,-3.0,2017,Chinese Grand Prix,Shanghai
26,KVY,kvyat,Toro Rosso,toro_rosso,Daniil,Kvyat,Daniil Kvyat,17.0,R,9.0,,,Hydraulics,0.0,-8.0,2017,Chinese Grand Prix,Shanghai
2,VAN,vandoorne,McLaren,mclaren,Stoffel,Vandoorne,Stoffel Vandoorne,18.0,R,15.0,,,Fuel pressure,0.0,-3.0,2017,Chinese Grand Prix,Shanghai
36,GIO,giovinazzi,Sauber,sauber,Antonio,Giovinazzi,Antonio Giovinazzi,19.0,R,18.0,,,Accident,0.0,-1.0,2017,Chinese Grand Prix,Shanghai
18,STR,stroll,Williams,williams,Lance,Stroll,Lance Stroll,20.0,R,10.0,,,Collision,0.0,-10.0,2017,Chinese Grand Prix,Shanghai
