DriverNumber,DriverNumber.1,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
44,44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,1.0,1,6.0,,0 days 02:26:52.094000,Finished,25.0,5.0,2014,British Grand Prix,Silverstone
77,77,BOT,bottas,Williams,williams,Valtteri,Bottas,Valtteri Bottas,2.0,2,14.0,,0 days 00:00:30.135000,Finished,18.0,12.0,2014,British Grand Prix,Silverstone
3,3,RIC,ricciardo,Red Bull,red_bull,Daniel,Ricciardo,Daniel Ricciardo,3.0,3,8.0,,0 days 00:00:46.495000,Finished,15.0,5.0,2014,British Grand Prix,Silverstone
22,22,BUT,button,McLaren,mclaren,Jenson,Button,Jenson Button,4.0,4,3.0,,0 days 00:00:47.390000,Finished,12.0,-1.0,2014,British Grand Prix,Silverstone
1,1,VET,vettel,Red Bull,red_bull,Sebastian,Vettel,Sebastian Vettel,5.0,5,2.0,,0 days 00:00:53.864000,Finished,10.0,-3.0,2014,British Grand Prix,Silverstone
14,14,ALO,alonso,Ferrari,ferrari,Fernando,Alonso,Fernando Alonso,6.0,6,16.0,,0 days 00:00:59.946000,Finished,8.0,10.0,2014,British Grand Prix,Silverstone
20,20,MAG,kevin_magnussen,McLaren,mclaren,Kevin,Magnussen,Kevin Magnussen,7.0,7,5.0,,0 days 00:01:02.563000,Finished,6.0,-2.0,2014,British Grand Prix,Silverstone
27,27,HUL,hulkenberg,Force India,force_india,Nico,Hülkenberg,Nico Hülkenberg,8.0,8,4.0,,0 days 00:01:28.692000,Finished,4.0,-4.0,2014,British Grand Prix,Silverstone
26,26,KVY,kvyat,Toro Rosso,toro_rosso,Daniil,Kvyat,Daniil Kvyat,9.0,9,9.0,,0 days 00:01:29.340000,Finished,2.0,0.0,2014,British Grand Prix,Silverstone
25,25,VER,vergne,Toro Rosso,toro_rosso,Jean-Éric,Vergne,Jean-Éric Vergne,10.0,10,10.0,,,+1 Lap,1.0,0.0,2014,British Grand Prix,Silverstone
11,11,PER,perez,Force India,force_india,Sergio,Pérez,Sergio Pérez,11.0,11,7.0,,,+1 Lap,0.0,-4.0,2014,British Grand Prix,Silverstone
8,8,GRO,grosjean,Lotus F1,lotus_f1,Romain,Grosjean,Romain Grosjean,12.0,12,11.0,,,+1 Lap,0.0,-1.0,2014,British Grand Prix,Silverstone
99,99,SUT,sutil,Sauber,sauber,Adrian,Sutil,Adrian Sutil,13.0,13,13.0,,,+1 Lap,0.0,0.0,2014,British Grand Prix,Silverstone
17,17,BIA,jules_bianchi,Marussia,marussia,Jules,Bianchi,Jules Bianchi,14.0,14,12.0,,,+1 Lap,0.0,-2.0,2014,British Grand Prix,Silverstone
10,10,KOB,kobayashi,Caterham,caterham,Kamui,Kobayashi,Kamui Kobayashi,15.0,15,22.0,,,+2 Laps,0.0,7.0,2014,British Grand Prix,Silverstone
4,4,CHI,chilton,Marussia,marussia,Max,Chilton,Max Chilton,16.0,16,17.0,,,+2 Laps,0.0,1.0,2014,British Grand Prix,Silverstone
13,13,MAL,maldonado,Lotus F1,lotus_f1,Pastor,Maldonado,Pastor Maldonado,17.0,17,20.0,,,+3 Laps,0.0,3.0,2014,British Grand Prix,Silverstone
6,6,ROS,rosberg,Mercedes,mercedes,Nico,Rosberg,Nico Rosberg,18.0,R,1.0,,,Gearbox,0.0,-17.0,2014,British Grand Prix,Silverstone
9,9,ERI,ericsson,Caterham,caterham,Marcus,Ericsson,Marcus Ericsson,19.0,R,21.0,,,Suspension,0.0,2.0,2014,British Grand Prix,Silverstone
21,21,GUT,gutierrez,Sauber,sauber,Esteban,Gutiérrez,Esteban Gutiérrez,20.0,R,19.0,,,Collision,0.0,-1.0,2014,British Grand Prix,Silverstone
19,19,MAS,massa,Williams,williams,Felipe,Massa,Felipe Massa,21.0,R,15.0,,,Collision,0.0,-6.0,2014,British Grand Prix,Silverstone
7,7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,22.0,R,18.0,,,Collision,0.0,-4.0,2014,British Grand Prix,Silverstone
