DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,1.0,1,1.0,,0 days 01:21:27.430000,Finished,25.0,0.0,2017,British Grand Prix,Silverstone
77,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,2.0,2,9.0,,0 days 00:00:14.063000,Finished,18.0,7.0,2017,British Grand Prix,Silverstone
7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,3.0,3,2.0,,0 days 00:00:36.570000,Finished,15.0,-1.0,2017,British Grand Prix,Silverstone
33,VER,max_verstappen,Red Bull,red_bull,Max,Verstappen,Max Verstappen,4.0,4,4.0,,0 days 00:00:52.125000,Finished,12.0,0.0,2017,British Grand Prix,Silverstone
3,RIC,ricciardo,Red Bull,red_bull,Daniel,Ricciardo,Daniel Ricciardo,5.0,5,19.0,,0 days 00:01:05.955000,Finished,10.0,14.0,2017,British Grand Prix,Silverstone
27,HUL,hulkenberg,Renault,renault,Nico,Hülkenberg,Nico Hülkenberg,6.0,6,5.0,,0 days 00:01:08.109000,Finished,8.0,-1.0,2017,British Grand Prix,Silverstone
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,7.0,7,3.0,,0 days 00:01:33.989000,Finished,6.0,-4.0,2017,British Grand Prix,Silverstone
31,OCO,ocon,Force India,force_india,Esteban,Ocon,Esteban Ocon,8.0,8,7.0,,,+1 Lap,4.0,-1.0,2017,British Grand Prix,Silverstone
11,PER,perez,Force India,force_india,Sergio,Pérez,Sergio Pérez,9.0,9,6.0,,,+1 Lap,2.0,-3.0,2017,British Grand Prix,Silverstone
19,MAS,massa,Williams,williams,Felipe,Massa,Felipe Massa,10.0,10,14.0,,,+1 Lap,1.0,4.0,2017,British Grand Prix,Silverstone
2,VAN,vandoorne,McLaren,mclaren,Stoffel,Vandoorne,Stoffel Vandoorne,11.0,11,8.0,,,+1 Lap,0.0,-3.0,2017,British Grand Prix,Silverstone
20,MAG,kevin_magnussen,Haas F1 Team,haas,Kevin,Magnussen,Kevin Magnussen,12.0,12,16.0,,,+1 Lap,0.0,4.0,2017,British Grand Prix,Silverstone
8,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,13.0,13,10.0,,,+1 Lap,0.0,-3.0,2017,British Grand Prix,Silverstone
9,ERI,ericsson,Sauber,sauber,Marcus,Ericsson,Marcus Ericsson,14.0,14,18.0,,,+1 Lap,0.0,4.0,2017,British Grand Prix,Silverstone
26,KVY,kvyat,Toro Rosso,toro_rosso,Daniil,Kvyat,Daniil Kvyat,15.0,15,12.0,,,+1 Lap,0.0,-3.0,2017,British Grand Prix,Silverstone
18,STR,stroll,Williams,williams,Lance,Stroll,Lance Stroll,16.0,16,15.0,,,+1 Lap,0.0,-1.0,2017,British Grand Prix,Silverstone
94,WEH,wehrlein,Sauber,sauber,Pascal,Wehrlein,Pascal Wehrlein,17.0,17,17.0,,,+1 Lap,0.0,0.0,2017,British Grand Prix,Silverstone
14,ALO,alonso,McLaren,mclaren,Fernando,Alonso,Fernando Alonso,18.0,R,20.0,,,Power Unit,0.0,2.0,2017,British Grand Prix,Silverstone
55,SAI,sainz,Toro Rosso,toro_rosso,Carlos,Sainz,Carlos Sainz,19.0,R,13.0,,,Collision damage,0.0,-6.0,2017,British Grand Prix,Silverstone
30,PAL,jolyon_palmer,Renault,renault,Jolyon,Palmer,Jolyon Palmer,20.0,R,11.0,,,Hydraulics,0.0,-9.0,2017,British Grand Prix,Silverstone
