DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
6,ROS,rosberg,Mercedes,mercedes,Nico,Rosberg,Nico Rosberg,1.0,1,1.0,,,,0 days 01:32:41.997000,Finished,25.0,0.0,2016,Russian Grand Prix,Sochi
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,2.0,2,10.0,,,,0 days 00:00:25.022000,Finished,18.0,8.0,2016,Russian Grand Prix,Sochi
7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,3.0,3,3.0,,,,0 days 00:00:31.998000,Finished,15.0,0.0,2016,Russian Grand Prix,Sochi
77,BOT,bottas,Williams,williams,Valtteri,Bottas,Valtteri Bottas,4.0,4,2.0,,,,0 days 00:00:50.217000,Finished,12.0,-2.0,2016,Russian Grand Prix,Sochi
19,MAS,massa,Williams,williams,Felipe,Massa,Felipe Massa,5.0,5,4.0,,,,0 days 00:01:14.427000,Finished,10.0,-1.0,2016,Russian Grand Prix,Sochi
14,ALO,alonso,McLaren,mclaren,Fernando,Alonso,Fernando Alonso,6.0,6,14.0,,,,,+1 Lap,8.0,8.0,2016,Russian Grand Prix,Sochi
20,MAG,kevin_magnussen,Renault,renault,Kevin,Magnussen,Kevin Magnussen,7.0,7,17.0,,,,,+1 Lap,6.0,10.0,2016,Russian Grand Prix,Sochi
8,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,8.0,8,15.0,,,,,+1 Lap,4.0,7.0,2016,Russian Grand Prix,Sochi
11,PER,perez,Force India,force_india,Sergio,Pérez,Sergio Pérez,9.0,9,6.0,,,,,+1 Lap,2.0,-3.0,2016,Russian Grand Prix,Sochi
22,BUT,button,McLaren,mclaren,Jenson,Button,Jenson Button,10.0,10,12.0,,,,,+1 Lap,1.0,2.0,2016,Russian Grand Prix,Sochi
3,RIC,ricciardo,Red Bull,red_bull,Daniel,Ricciardo,Daniel Ricciardo,11.0,11,5.0,,,,,+1 Lap,0.0,-6.0,2016,Russian Grand Prix,Sochi
55,SAI,sainz,Toro Rosso,toro_rosso,Carlos,Sainz,Carlos Sainz,12.0,12,11.0,,,,,+1 Lap,0.0,-1.0,2016,Russian Grand Prix,Sochi
30,PAL,jolyon_palmer,Renault,renault,Jolyon,Palmer,Jolyon Palmer,13.0,13,18.0,,,,,+1 Lap,0.0,5.0,2016,Russian Grand Prix,Sochi
9,ERI,ericsson,Sauber,sauber,Marcus,Ericsson,Marcus Ericsson,14.0,14,22.0,,,,,+1 Lap,0.0,8.0,2016,Russian Grand Prix,Sochi
26,KVY,kvyat,Red Bull,red_bull,Daniil,Kvyat,Daniil Kvyat,15.0,15,8.0,,,,,+1 Lap,0.0,-7.0,2016,Russian Grand Prix,Sochi
12,NAS,nasr,Sauber,sauber,Felipe,Nasr,Felipe Nasr,16.0,16,19.0,,,,,+1 Lap,0.0,3.0,2016,Russian Grand Prix,Sochi
21,GUT,gutierrez,Haas F1 Team,haas,Esteban,Gutiérrez,Esteban Gutiérrez,17.0,17,16.0,,,,,+1 Lap,0.0,-1.0,2016,Russian Grand Prix,Sochi
94,WEH,wehrlein,Manor Marussia,manor,Pascal,Wehrlein,Pascal Wehrlein,18.0,18,20.0,,,,,+2 Laps,0.0,2.0,2016,Russian Grand Prix,Sochi
33,VER,max_verstappen,Toro Rosso,toro_rosso,Max,Verstappen,Max Verstappen,19.0,R,9.0,,,,,Power Unit,0.0,-10.0,2016,Russian Grand Prix,Sochi
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,20.0,R,7.0,,,,,Collision,0.0,-13.0,2016,Russian Grand Prix,Sochi
27,HUL,hulkenberg,Force India,force_india,Nico,Hülkenberg,Nico Hülkenberg,21.0,R,13.0,,,,,Collision,0.0,-8.0,2016,Russian Grand Prix,Sochi
88,HAR,haryanto,Manor Marussia,manor,Rio,Haryanto,Rio Haryanto,22.0,R,21.0,,,,,Collision,0.0,-1.0,2016,Russian Grand Prix,Sochi
