DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,1.0,1,1.0,,,,0 days 01:24:42.820000,Finished,25.0,0.0,2017,Belgian Grand Prix,Spa
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,2.0,2,2.0,,,,0 days 00:00:02.358000,Finished,18.0,0.0,2017,Belgian Grand Prix,Spa
3,RIC,ricciardo,Red Bull,red_bull,Daniel,Ricciardo,Daniel Ricciardo,3.0,3,6.0,,,,0 days 00:00:10.791000,Finished,15.0,3.0,2017,Belgian Grand Prix,Spa
7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,4.0,4,4.0,,,,0 days 00:00:14.471000,Finished,12.0,0.0,2017,Belgian Grand Prix,Spa
77,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,5.0,5,3.0,,,,0 days 00:00:16.456000,Finished,10.0,-2.0,2017,Belgian Grand Prix,Spa
27,HUL,hulkenberg,Renault,renault,Nico,Hülkenberg,Nico Hülkenberg,6.0,6,7.0,,,,0 days 00:00:28.087000,Finished,8.0,1.0,2017,Belgian Grand Prix,Spa
8,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,7.0,7,11.0,,,,0 days 00:00:31.553000,Finished,6.0,4.0,2017,Belgian Grand Prix,Spa
19,MAS,massa,Williams,williams,Felipe,Massa,Felipe Massa,8.0,8,16.0,,,,0 days 00:00:36.649000,Finished,4.0,8.0,2017,Belgian Grand Prix,Spa
31,OCO,ocon,Force India,force_india,Esteban,Ocon,Esteban Ocon,9.0,9,9.0,,,,0 days 00:00:38.154000,Finished,2.0,0.0,2017,Belgian Grand Prix,Spa
55,SAI,sainz,Toro Rosso,toro_rosso,Carlos,Sainz,Carlos Sainz,10.0,10,13.0,,,,0 days 00:00:39.447000,Finished,1.0,3.0,2017,Belgian Grand Prix,Spa
18,STR,stroll,Williams,williams,Lance,Stroll,Lance Stroll,11.0,11,15.0,,,,0 days 00:00:48.999000,Finished,0.0,4.0,2017,Belgian Grand Prix,Spa
26,KVY,kvyat,Toro Rosso,toro_rosso,Daniil,Kvyat,Daniil Kvyat,12.0,12,19.0,,,,0 days 00:00:49.940000,Finished,0.0,7.0,2017,Belgian Grand Prix,Spa
30,PAL,jolyon_palmer,Renault,renault,Jolyon,Palmer,Jolyon Palmer,13.0,13,14.0,,,,0 days 00:00:53.239000,Finished,0.0,1.0,2017,Belgian Grand Prix,Spa
2,VAN,vandoorne,McLaren,mclaren,Stoffel,Vandoorne,Stoffel Vandoorne,14.0,14,20.0,,,,0 days 00:00:57.078000,Finished,0.0,6.0,2017,Belgian Grand Prix,Spa
20,MAG,kevin_magnussen,Haas F1 Team,haas,Kevin,Magnussen,Kevin Magnussen,15.0,15,12.0,,,,0 days 00:01:07.262000,Finished,0.0,-3.0,2017,Belgian Grand Prix,Spa
9,ERI,ericsson,Sauber,sauber,Marcus,Ericsson,Marcus Ericsson,16.0,16,17.0,,,,0 days 00:01:09.711000,Finished,0.0,1.0,2017,Belgian Grand Prix,Spa
11,PER,perez,Force India,force_india,Sergio,Pérez,Sergio Pérez,17.0,17,8.0,,,,,Gearbox,0.0,-9.0,2017,Belgian Grand Prix,Spa
14,ALO,alonso,McLaren,mclaren,Fernando,Alonso,Fernando Alonso,18.0,R,10.0,,,,,Engine,0.0,-8.0,2017,Belgian Grand Prix,Spa
33,VER,max_verstappen,Red Bull,red_bull,Max,Verstappen,Max Verstappen,19.0,R,5.0,,,,,Engine,0.0,-14.0,2017,Belgian Grand Prix,Spa
94,WEH,wehrlein,Sauber,sauber,Pascal,Wehrlein,Pascal Wehrlein,20.0,R,18.0,,,,,Collision,0.0,-2.0,2017,Belgian Grand Prix,Spa
