DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
33,VER,max_verstappen,Red Bull Racing,red_bull,Max,Verstappen,Max Verstappen,1.0,1,1.0,,0 days 00:03:27.071000,Finished,12.5,0.0,2021,Belgian Grand Prix,Spa-Francorchamps
63,RUS,russell,Williams,williams,George,Russell,George Russell,2.0,2,2.0,,0 days 00:00:01.995000,Finished,9.0,0.0,2021,Belgian Grand Prix,Spa-Francorchamps
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,3.0,3,3.0,,0 days 00:00:02.601000,Finished,7.5,0.0,2021,Belgian Grand Prix,Spa-Francorchamps
3,RIC,ricciardo,McLaren,mclaren,Daniel,Ricciardo,Daniel Ricciardo,4.0,4,4.0,,0 days 00:00:04.496000,Finished,6.0,0.0,2021,Belgian Grand Prix,Spa-Francorchamps
5,VET,vettel,Aston Martin,aston_martin,Sebastian,Vettel,Sebastian Vettel,5.0,5,5.0,,0 days 00:00:07.479000,Finished,5.0,0.0,2021,Belgian Grand Prix,Spa-Francorchamps
10,GAS,gasly,AlphaTauri,alphatauri,Pierre,Gasly,Pierre Gasly,6.0,6,6.0,,0 days 00:00:10.177000,Finished,4.0,0.0,2021,Belgian Grand Prix,Spa-Francorchamps
31,OCO,ocon,Alpine,alpine,Esteban,Ocon,Esteban Ocon,7.0,7,8.0,,0 days 00:00:11.579000,Finished,3.0,1.0,2021,Belgian Grand Prix,Spa-Francorchamps
16,LEC,leclerc,Ferrari,ferrari,Charles,Leclerc,Charles Leclerc,8.0,8,9.0,,0 days 00:00:12.608000,Finished,2.0,1.0,2021,Belgian Grand Prix,Spa-Francorchamps
6,LAT,latifi,Williams,williams,Nicholas,Latifi,Nicholas Latifi,9.0,9,10.0,,0 days 00:00:15.485000,Finished,1.0,1.0,2021,Belgian Grand Prix,Spa-Francorchamps
55,SAI,sainz,Ferrari,ferrari,Carlos,Sainz,Carlos Sainz,10.0,10,11.0,,0 days 00:00:16.166000,Finished,0.5,1.0,2021,Belgian Grand Prix,Spa-Francorchamps
14,ALO,alonso,Alpine,alpine,Fernando,Alonso,Fernando Alonso,11.0,11,12.0,,0 days 00:00:20.590000,Finished,0.0,1.0,2021,Belgian Grand Prix,Spa-Francorchamps
77,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,12.0,12,13.0,,0 days 00:00:22.414000,Finished,0.0,1.0,2021,Belgian Grand Prix,Spa-Francorchamps
99,GIO,giovinazzi,Alfa Romeo Racing,alfa,Antonio,Giovinazzi,Antonio Giovinazzi,13.0,13,14.0,,0 days 00:00:24.163000,Finished,0.0,1.0,2021,Belgian Grand Prix,Spa-Francorchamps
4,NOR,norris,McLaren,mclaren,Lando,Norris,Lando Norris,14.0,14,15.0,,0 days 00:00:27.110000,Finished,0.0,1.0,2021,Belgian Grand Prix,Spa-Francorchamps
22,TSU,tsunoda,AlphaTauri,alphatauri,Yuki,Tsunoda,Yuki Tsunoda,15.0,15,16.0,,0 days 00:00:28.329000,Finished,0.0,1.0,2021,Belgian Grand Prix,Spa-Francorchamps
47,MSC,mick_schumacher,Haas F1 Team,haas,Mick,Schumacher,Mick Schumacher,16.0,16,17.0,,0 days 00:00:29.507000,Finished,0.0,1.0,2021,Belgian Grand Prix,Spa-Francorchamps
9,MAZ,mazepin,Haas F1 Team,haas,Nikita,Mazepin,Nikita Mazepin,17.0,17,18.0,,0 days 00:00:31.993000,Finished,0.0,1.0,2021,Belgian Grand Prix,Spa-Francorchamps
7,RAI,raikkonen,Alfa Romeo Racing,alfa,Kimi,Räikkönen,Kimi Räikkönen,18.0,18,0.0,,0 days 00:00:36.054000,Finished,0.0,-18.0,2021,Belgian Grand Prix,Spa-Francorchamps
11,PER,perez,Red Bull Racing,red_bull,Sergio,Perez,Sergio Perez,19.0,19,0.0,,0 days 00:00:38.205000,Finished,0.0,-19.0,2021,Belgian Grand Prix,Spa-Francorchamps
18,STR,stroll,Aston Martin,aston_martin,Lance,Stroll,Lance Stroll,20.0,20,19.0,,0 days 00:00:44.108000,Finished,0.0,-1.0,2021,Belgian Grand Prix,Spa-Francorchamps
