DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
33,VER,max_verstappen,Red Bull Racing,red_bull,Max,Verstappen,Max Verstappen,1.0,1,1.0,,,,0 days 01:23:54.543000,Finished,26.0,0.0,2021,Austrian Grand Prix,Spielberg
77,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,2.0,2,5.0,,,,0 days 00:00:17.973000,Finished,18.0,3.0,2021,Austrian Grand Prix,Spielberg
4,NOR,norris,McLaren,mclaren,Lando,Norris,Lando Norris,3.0,3,2.0,,,,0 days 00:00:20.019000,Finished,15.0,-1.0,2021,Austrian Grand Prix,Spielberg
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,4.0,4,4.0,,,,0 days 00:00:46.452000,Finished,12.0,0.0,2021,Austrian Grand Prix,Spielberg
55,SAI,sainz,Ferrari,ferrari,Carlos,Sainz,Carlos Sainz,5.0,5,10.0,,,,0 days 00:00:57.144000,Finished,10.0,5.0,2021,Austrian Grand Prix,Spielberg
11,PER,perez,Red Bull Racing,red_bull,Sergio,Perez,Sergio Perez,6.0,6,3.0,,,,0 days 00:00:57.915000,Finished,8.0,-3.0,2021,Austrian Grand Prix,Spielberg
3,RIC,ricciardo,McLaren,mclaren,Daniel,Ricciardo,Daniel Ricciardo,7.0,7,13.0,,,,0 days 00:01:00.395000,Finished,6.0,6.0,2021,Austrian Grand Prix,Spielberg
16,LEC,leclerc,Ferrari,ferrari,Charles,Leclerc,Charles Leclerc,8.0,8,12.0,,,,0 days 00:01:01.195000,Finished,4.0,4.0,2021,Austrian Grand Prix,Spielberg
10,GAS,gasly,AlphaTauri,alphatauri,Pierre,Gasly,Pierre Gasly,9.0,9,6.0,,,,0 days 00:01:01.844000,Finished,2.0,-3.0,2021,Austrian Grand Prix,Spielberg
14,ALO,alonso,Alpine,alpine,Fernando,Alonso,Fernando Alonso,10.0,10,14.0,,,,,+1 Lap,1.0,4.0,2021,Austrian Grand Prix,Spielberg
63,RUS,russell,Williams,williams,George,Russell,George Russell,11.0,11,8.0,,,,,+1 Lap,0.0,-3.0,2021,Austrian Grand Prix,Spielberg
22,TSU,tsunoda,AlphaTauri,alphatauri,Yuki,Tsunoda,Yuki Tsunoda,12.0,12,7.0,,,,,+1 Lap,0.0,-5.0,2021,Austrian Grand Prix,Spielberg
18,STR,stroll,Aston Martin,aston_martin,Lance,Stroll,Lance Stroll,13.0,13,9.0,,,,,+1 Lap,0.0,-4.0,2021,Austrian Grand Prix,Spielberg
99,GIO,giovinazzi,Alfa Romeo Racing,alfa,Antonio,Giovinazzi,Antonio Giovinazzi,14.0,14,15.0,,,,,+1 Lap,0.0,1.0,2021,Austrian Grand Prix,Spielberg
7,RAI,raikkonen,Alfa Romeo Racing,alfa,Kimi,Räikkönen,Kimi Räikkönen,15.0,15,16.0,,,,,+1 Lap,0.0,1.0,2021,Austrian Grand Prix,Spielberg
6,LAT,latifi,Williams,williams,Nicholas,Latifi,Nicholas Latifi,16.0,16,18.0,,,,,+1 Lap,0.0,2.0,2021,Austrian Grand Prix,Spielberg
5,VET,vettel,Aston Martin,aston_martin,Sebastian,Vettel,Sebastian Vettel,17.0,17,11.0,,,,,Collision,0.0,-6.0,2021,Austrian Grand Prix,Spielberg
47,MSC,mick_schumacher,Haas F1 Team,haas,Mick,Schumacher,Mick Schumacher,18.0,18,19.0,,,,,+2 Laps,0.0,1.0,2021,Austrian Grand Prix,Spielberg
9,MAZ,mazepin,Haas F1 Team,haas,Nikita,Mazepin,Nikita Mazepin,19.0,19,20.0,,,,,+2 Laps,0.0,1.0,2021,Austrian Grand Prix,Spielberg
31,OCO,ocon,Alpine,alpine,Esteban,Ocon,Esteban Ocon,20.0,R,17.0,,,,,Collision,0.0,-3.0,2021,Austrian Grand Prix,Spielberg
