DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
33,VER,max_verstappen,Red Bull Racing,red_bull,Max,Verstappen,Max Verstappen,1.0,1,1.0,,,,0 days 01:22:18.925000,Finished,25.0,0.0,2021,Styrian Grand Prix,Spielberg
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,2.0,2,2.0,,,,0 days 00:00:35.743000,Finished,19.0,0.0,2021,Styrian Grand Prix,Spielberg
77,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,3.0,3,5.0,,,,0 days 00:00:46.907000,Finished,15.0,2.0,2021,Styrian Grand Prix,Spielberg
11,PER,perez,Red Bull Racing,red_bull,Sergio,Perez,Sergio Perez,4.0,4,4.0,,,,0 days 00:00:47.434000,Finished,12.0,0.0,2021,Styrian Grand Prix,Spielberg
4,NOR,norris,McLaren,mclaren,Lando,Norris,Lando Norris,5.0,5,3.0,,,,,+1 Lap,10.0,-2.0,2021,Styrian Grand Prix,Spielberg
55,SAI,sainz,Ferrari,ferrari,Carlos,Sainz,Carlos Sainz,6.0,6,12.0,,,,,+1 Lap,8.0,6.0,2021,Styrian Grand Prix,Spielberg
16,LEC,leclerc,Ferrari,ferrari,Charles,Leclerc,Charles Leclerc,7.0,7,7.0,,,,,+1 Lap,6.0,0.0,2021,Styrian Grand Prix,Spielberg
18,STR,stroll,Aston Martin,aston_martin,Lance,Stroll,Lance Stroll,8.0,8,9.0,,,,,+1 Lap,4.0,1.0,2021,Styrian Grand Prix,Spielberg
14,ALO,alonso,Alpine,alpine,Fernando,Alonso,Fernando Alonso,9.0,9,8.0,,,,,+1 Lap,2.0,-1.0,2021,Styrian Grand Prix,Spielberg
22,TSU,tsunoda,AlphaTauri,alphatauri,Yuki,Tsunoda,Yuki Tsunoda,10.0,10,11.0,,,,,+1 Lap,1.0,1.0,2021,Styrian Grand Prix,Spielberg
7,RAI,raikkonen,Alfa Romeo Racing,alfa,Kimi,Räikkönen,Kimi Räikkönen,11.0,11,18.0,,,,,+1 Lap,0.0,7.0,2021,Styrian Grand Prix,Spielberg
5,VET,vettel,Aston Martin,aston_martin,Sebastian,Vettel,Sebastian Vettel,12.0,12,14.0,,,,,+1 Lap,0.0,2.0,2021,Styrian Grand Prix,Spielberg
3,RIC,ricciardo,McLaren,mclaren,Daniel,Ricciardo,Daniel Ricciardo,13.0,13,13.0,,,,,+1 Lap,0.0,0.0,2021,Styrian Grand Prix,Spielberg
31,OCO,ocon,Alpine,alpine,Esteban,Ocon,Esteban Ocon,14.0,14,17.0,,,,,+1 Lap,0.0,3.0,2021,Styrian Grand Prix,Spielberg
99,GIO,giovinazzi,Alfa Romeo Racing,alfa,Antonio,Giovinazzi,Antonio Giovinazzi,15.0,15,15.0,,,,,+1 Lap,0.0,0.0,2021,Styrian Grand Prix,Spielberg
47,MSC,mick_schumacher,Haas F1 Team,haas,Mick,Schumacher,Mick Schumacher,16.0,16,19.0,,,,,+2 Laps,0.0,3.0,2021,Styrian Grand Prix,Spielberg
6,LAT,latifi,Williams,williams,Nicholas,Latifi,Nicholas Latifi,17.0,17,16.0,,,,,+3 Laps,0.0,-1.0,2021,Styrian Grand Prix,Spielberg
9,MAZ,mazepin,Haas F1 Team,haas,Nikita,Mazepin,Nikita Mazepin,18.0,18,20.0,,,,,+3 Laps,0.0,2.0,2021,Styrian Grand Prix,Spielberg
63,RUS,russell,Williams,williams,George,Russell,George Russell,19.0,R,10.0,,,,,Engine,0.0,-9.0,2021,Styrian Grand Prix,Spielberg
10,GAS,gasly,AlphaTauri,alphatauri,Pierre,Gasly,Pierre Gasly,20.0,R,6.0,,,,,Collision,0.0,-14.0,2021,Styrian Grand Prix,Spielberg
