DriverNumber,DriverNumber.1,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
44,44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,1.0,1,2.0,,0 days 01:51:43.021000,Finished,25.0,1.0,2014,Japanese Grand Prix,Suzuka
6,6,ROS,rosberg,Mercedes,mercedes,Nico,Rosberg,Nico Rosberg,2.0,2,1.0,,0 days 00:00:09.180000,Finished,18.0,-1.0,2014,Japanese Grand Prix,Suzuka
1,1,VET,vettel,Red Bull,red_bull,Sebastian,Vettel,Sebastian Vettel,3.0,3,9.0,,0 days 00:00:29.122000,Finished,15.0,6.0,2014,Japanese Grand Prix,Suzuka
3,3,RIC,ricciardo,Red Bull,red_bull,Daniel,Ricciardo,Daniel Ricciardo,4.0,4,6.0,,0 days 00:00:38.818000,Finished,12.0,2.0,2014,Japanese Grand Prix,Suzuka
22,22,BUT,button,McLaren,mclaren,Jenson,Button,Jenson Button,5.0,5,8.0,,0 days 00:01:07.550000,Finished,10.0,3.0,2014,Japanese Grand Prix,Suzuka
77,77,BOT,bottas,Williams,williams,Valtteri,Bottas,Valtteri Bottas,6.0,6,3.0,,0 days 00:01:53.773000,Finished,8.0,-3.0,2014,Japanese Grand Prix,Suzuka
19,19,MAS,massa,Williams,williams,Felipe,Massa,Felipe Massa,7.0,7,4.0,,0 days 00:01:55.126000,Finished,6.0,-3.0,2014,Japanese Grand Prix,Suzuka
27,27,HUL,hulkenberg,Force India,force_india,Nico,Hülkenberg,Nico Hülkenberg,8.0,8,13.0,,0 days 00:01:55.948000,Finished,4.0,5.0,2014,Japanese Grand Prix,Suzuka
25,25,VER,vergne,Toro Rosso,toro_rosso,Jean-Éric,Vergne,Jean-Éric Vergne,9.0,9,20.0,,0 days 00:02:07.638000,Finished,2.0,11.0,2014,Japanese Grand Prix,Suzuka
11,11,PER,perez,Force India,force_india,Sergio,Pérez,Sergio Pérez,10.0,10,11.0,,,+1 Lap,1.0,1.0,2014,Japanese Grand Prix,Suzuka
26,26,KVY,kvyat,Toro Rosso,toro_rosso,Daniil,Kvyat,Daniil Kvyat,11.0,11,12.0,,,+1 Lap,0.0,1.0,2014,Japanese Grand Prix,Suzuka
7,7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,12.0,12,10.0,,,+1 Lap,0.0,-2.0,2014,Japanese Grand Prix,Suzuka
21,21,GUT,gutierrez,Sauber,sauber,Esteban,Gutiérrez,Esteban Gutiérrez,13.0,13,15.0,,,+1 Lap,0.0,2.0,2014,Japanese Grand Prix,Suzuka
20,20,MAG,kevin_magnussen,McLaren,mclaren,Kevin,Magnussen,Kevin Magnussen,14.0,14,7.0,,,+1 Lap,0.0,-7.0,2014,Japanese Grand Prix,Suzuka
8,8,GRO,grosjean,Lotus F1,lotus_f1,Romain,Grosjean,Romain Grosjean,15.0,15,16.0,,,+1 Lap,0.0,1.0,2014,Japanese Grand Prix,Suzuka
13,13,MAL,maldonado,Lotus F1,lotus_f1,Pastor,Maldonado,Pastor Maldonado,16.0,16,22.0,,,+1 Lap,0.0,6.0,2014,Japanese Grand Prix,Suzuka
9,9,ERI,ericsson,Caterham,caterham,Marcus,Ericsson,Marcus Ericsson,17.0,17,17.0,,,+1 Lap,0.0,0.0,2014,Japanese Grand Prix,Suzuka
4,4,CHI,chilton,Marussia,marussia,Max,Chilton,Max Chilton,18.0,18,21.0,,,+1 Lap,0.0,3.0,2014,Japanese Grand Prix,Suzuka
10,10,KOB,kobayashi,Caterham,caterham,Kamui,Kobayashi,Kamui Kobayashi,19.0,19,19.0,,,+1 Lap,0.0,0.0,2014,Japanese Grand Prix,Suzuka
17,17,BIA,jules_bianchi,Marussia,marussia,Jules,Bianchi,Jules Bianchi,20.0,20,18.0,,,Accident,0.0,-2.0,2014,Japanese Grand Prix,Suzuka
99,99,SUT,sutil,Sauber,sauber,Adrian,Sutil,Adrian Sutil,21.0,21,14.0,,,Accident,0.0,-7.0,2014,Japanese Grand Prix,Suzuka
14,14,ALO,alonso,Ferrari,ferrari,Fernando,Alonso,Fernando Alonso,22.0,R,5.0,,,Electronics,0.0,-17.0,2014,Japanese Grand Prix,Suzuka
