DriverNumber,DriverNumber.1,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
6,6,ROS,rosberg,Mercedes,mercedes,Nico,Rosberg,Nico Rosberg,1.0,1,1.0,,0 days 01:30:02.555000,Finished,25.0,0.0,2014,Brazilian Grand Prix,São Paulo
44,44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,2.0,2,2.0,,0 days 00:00:01.457000,Finished,18.0,0.0,2014,Brazilian Grand Prix,São Paulo
19,19,MAS,massa,Williams,williams,Felipe,Massa,Felipe Massa,3.0,3,3.0,,0 days 00:00:41.031000,Finished,15.0,0.0,2014,Brazilian Grand Prix,São Paulo
22,22,BUT,button,McLaren,mclaren,Jenson,Button,Jenson Button,4.0,4,5.0,,0 days 00:00:48.658000,Finished,12.0,1.0,2014,Brazilian Grand Prix,São Paulo
1,1,VET,vettel,Red Bull,red_bull,Sebastian,Vettel,Sebastian Vettel,5.0,5,6.0,,0 days 00:00:51.420000,Finished,10.0,1.0,2014,Brazilian Grand Prix,São Paulo
14,14,ALO,alonso,Ferrari,ferrari,Fernando,Alonso,Fernando Alonso,6.0,6,8.0,,0 days 00:01:01.906000,Finished,8.0,2.0,2014,Brazilian Grand Prix,São Paulo
7,7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,7.0,7,10.0,,0 days 00:01:03.730000,Finished,6.0,3.0,2014,Brazilian Grand Prix,São Paulo
27,27,HUL,hulkenberg,Force India,force_india,Nico,Hülkenberg,Nico Hülkenberg,8.0,8,12.0,,0 days 00:01:03.934000,Finished,4.0,4.0,2014,Brazilian Grand Prix,São Paulo
20,20,MAG,kevin_magnussen,McLaren,mclaren,Kevin,Magnussen,Kevin Magnussen,9.0,9,7.0,,0 days 00:01:10.085000,Finished,2.0,-2.0,2014,Brazilian Grand Prix,São Paulo
77,77,BOT,bottas,Williams,williams,Valtteri,Bottas,Valtteri Bottas,10.0,10,4.0,,,+1 Lap,1.0,-6.0,2014,Brazilian Grand Prix,São Paulo
26,26,KVY,kvyat,Toro Rosso,toro_rosso,Daniil,Kvyat,Daniil Kvyat,11.0,11,17.0,,,+1 Lap,0.0,6.0,2014,Brazilian Grand Prix,São Paulo
13,13,MAL,maldonado,Lotus F1,lotus_f1,Pastor,Maldonado,Pastor Maldonado,12.0,12,16.0,,,+1 Lap,0.0,4.0,2014,Brazilian Grand Prix,São Paulo
25,25,VER,vergne,Toro Rosso,toro_rosso,Jean-Éric,Vergne,Jean-Éric Vergne,13.0,13,15.0,,,+1 Lap,0.0,2.0,2014,Brazilian Grand Prix,São Paulo
21,21,GUT,gutierrez,Sauber,sauber,Esteban,Gutiérrez,Esteban Gutiérrez,14.0,14,11.0,,,+1 Lap,0.0,-3.0,2014,Brazilian Grand Prix,São Paulo
11,11,PER,perez,Force India,force_india,Sergio,Pérez,Sergio Pérez,15.0,15,18.0,,,+1 Lap,0.0,3.0,2014,Brazilian Grand Prix,São Paulo
99,99,SUT,sutil,Sauber,sauber,Adrian,Sutil,Adrian Sutil,16.0,16,13.0,,,+1 Lap,0.0,-3.0,2014,Brazilian Grand Prix,São Paulo
8,8,GRO,grosjean,Lotus F1,lotus_f1,Romain,Grosjean,Romain Grosjean,17.0,17,14.0,,,+8 Laps,0.0,-3.0,2014,Brazilian Grand Prix,São Paulo
3,3,RIC,ricciardo,Red Bull,red_bull,Daniel,Ricciardo,Daniel Ricciardo,18.0,R,9.0,,,Suspension,0.0,-9.0,2014,Brazilian Grand Prix,São Paulo
