DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
33,VER,max_verstappen,Red Bull Racing,red_bull,Max,Verstappen,Max Verstappen,1.0,1,1.0,,0 days 01:33:14.678000,Finished,25.0,0.0,2019,Brazilian Grand Prix,São Paulo
10,GAS,gasly,Toro Rosso,toro_rosso,Pierre,Gasly,Pierre Gasly,2.0,2,6.0,,0 days 00:00:06.077000,Finished,18.0,4.0,2019,Brazilian Grand Prix,São Paulo
55,SAI,sainz,McLaren,mclaren,Carlos,Sainz,Carlos Sainz,3.0,3,20.0,,0 days 00:00:08.896000,Finished,15.0,17.0,2019,Brazilian Grand Prix,São Paulo
7,RAI,raikkonen,Alfa Romeo Racing,alfa,Kimi,Räikkönen,Kimi Räikkönen,4.0,4,8.0,,0 days 00:00:09.452000,Finished,12.0,4.0,2019,Brazilian Grand Prix,São Paulo
99,GIO,giovinazzi,Alfa Romeo Racing,alfa,Antonio,Giovinazzi,Antonio Giovinazzi,5.0,5,12.0,,0 days 00:00:10.201000,Finished,10.0,7.0,2019,Brazilian Grand Prix,São Paulo
3,RIC,ricciardo,Renault,renault,Daniel,Ricciardo,Daniel Ricciardo,6.0,6,11.0,,0 days 00:00:10.541000,Finished,8.0,5.0,2019,Brazilian Grand Prix,São Paulo
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,7.0,7,3.0,,0 days 00:00:11.139000,Finished,6.0,-4.0,2019,Brazilian Grand Prix,São Paulo
4,NOR,norris,McLaren,mclaren,Lando,Norris,Lando Norris,8.0,8,10.0,,0 days 00:00:11.204000,Finished,4.0,2.0,2019,Brazilian Grand Prix,São Paulo
11,PER,perez,Racing Point,racing_point,Sergio,Perez,Sergio Perez,9.0,9,15.0,,0 days 00:00:11.529000,Finished,2.0,6.0,2019,Brazilian Grand Prix,São Paulo
26,KVY,kvyat,Toro Rosso,toro_rosso,Daniil,Kvyat,Daniil Kvyat,10.0,10,16.0,,0 days 00:00:11.931000,Finished,1.0,6.0,2019,Brazilian Grand Prix,São Paulo
20,MAG,kevin_magnussen,Haas F1 Team,haas,Kevin,Magnussen,Kevin Magnussen,11.0,11,9.0,,0 days 00:00:12.732000,Finished,0.0,-2.0,2019,Brazilian Grand Prix,São Paulo
63,RUS,russell,Williams,williams,George,Russell,George Russell,12.0,12,18.0,,0 days 00:00:13.599000,Finished,0.0,6.0,2019,Brazilian Grand Prix,São Paulo
8,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,13.0,13,7.0,,0 days 00:00:14.247000,Finished,0.0,-6.0,2019,Brazilian Grand Prix,São Paulo
23,ALB,albon,Red Bull Racing,red_bull,Alexander,Albon,Alexander Albon,14.0,14,5.0,,0 days 00:00:14.927000,Finished,0.0,-9.0,2019,Brazilian Grand Prix,São Paulo
27,HUL,hulkenberg,Renault,renault,Nico,Hulkenberg,Nico Hulkenberg,15.0,15,13.0,,0 days 00:00:18.059000,Finished,0.0,-2.0,2019,Brazilian Grand Prix,São Paulo
88,KUB,kubica,Williams,williams,Robert,Kubica,Robert Kubica,16.0,16,19.0,,,+1 Lap,0.0,3.0,2019,Brazilian Grand Prix,São Paulo
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,17.0,17,2.0,,,Collision,0.0,-15.0,2019,Brazilian Grand Prix,São Paulo
16,LEC,leclerc,Ferrari,ferrari,Charles,Leclerc,Charles Leclerc,18.0,18,14.0,,,Collision,0.0,-4.0,2019,Brazilian Grand Prix,São Paulo
18,STR,stroll,Racing Point,racing_point,Lance,Stroll,Lance Stroll,19.0,19,17.0,,,Suspension,0.0,-2.0,2019,Brazilian Grand Prix,São Paulo
77,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,20.0,R,4.0,,,Power Unit,0.0,-16.0,2019,Brazilian Grand Prix,São Paulo
