DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,1.0,1,1.0,,0 days 01:39:40.382000,Finished,25.0,0.0,2018,Abu Dhabi Grand Prix,Yas Marina
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,2.0,2,3.0,,0 days 00:00:02.581000,Finished,18.0,1.0,2018,Abu Dhabi Grand Prix,Yas Marina
33,VER,max_verstappen,Red Bull Racing,red_bull,Max,Verstappen,Max Verstappen,3.0,3,6.0,,0 days 00:00:12.706000,Finished,15.0,3.0,2018,Abu Dhabi Grand Prix,Yas Marina
3,RIC,ricciardo,Red Bull Racing,red_bull,Daniel,Ricciardo,Daniel Ricciardo,4.0,4,5.0,,0 days 00:00:15.379000,Finished,12.0,1.0,2018,Abu Dhabi Grand Prix,Yas Marina
77,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,5.0,5,2.0,,0 days 00:00:47.957000,Finished,10.0,-3.0,2018,Abu Dhabi Grand Prix,Yas Marina
55,SAI,sainz,Renault,renault,Carlos,Sainz,Carlos Sainz,6.0,6,11.0,,0 days 00:01:12.548000,Finished,8.0,5.0,2018,Abu Dhabi Grand Prix,Yas Marina
16,LEC,leclerc,Sauber,sauber,Charles,Leclerc,Charles Leclerc,7.0,7,8.0,,0 days 00:01:30.789000,Finished,6.0,1.0,2018,Abu Dhabi Grand Prix,Yas Marina
11,PER,perez,Racing Point,force_india,Sergio,Perez,Sergio Perez,8.0,8,14.0,,0 days 00:01:31.275000,Finished,4.0,6.0,2018,Abu Dhabi Grand Prix,Yas Marina
8,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,9.0,9,7.0,,,+1 Lap,2.0,-2.0,2018,Abu Dhabi Grand Prix,Yas Marina
20,MAG,kevin_magnussen,Haas F1 Team,haas,Kevin,Magnussen,Kevin Magnussen,10.0,10,13.0,,,+1 Lap,1.0,3.0,2018,Abu Dhabi Grand Prix,Yas Marina
14,ALO,alonso,McLaren,mclaren,Fernando,Alonso,Fernando Alonso,11.0,11,15.0,,,+1 Lap,0.0,4.0,2018,Abu Dhabi Grand Prix,Yas Marina
28,HAR,brendon_hartley,Toro Rosso,toro_rosso,Brendon,Hartley,Brendon Hartley,12.0,12,16.0,,,+1 Lap,0.0,4.0,2018,Abu Dhabi Grand Prix,Yas Marina
18,STR,stroll,Williams,williams,Lance,Stroll,Lance Stroll,13.0,13,20.0,,,+1 Lap,0.0,7.0,2018,Abu Dhabi Grand Prix,Yas Marina
2,VAN,vandoorne,McLaren,mclaren,Stoffel,Vandoorne,Stoffel Vandoorne,14.0,14,18.0,,,+1 Lap,0.0,4.0,2018,Abu Dhabi Grand Prix,Yas Marina
35,SIR,sirotkin,Williams,williams,Sergey,Sirotkin,Sergey Sirotkin,15.0,15,19.0,,,+1 Lap,0.0,4.0,2018,Abu Dhabi Grand Prix,Yas Marina
10,GAS,gasly,Toro Rosso,toro_rosso,Pierre,Gasly,Pierre Gasly,16.0,R,17.0,,,Engine,0.0,1.0,2018,Abu Dhabi Grand Prix,Yas Marina
31,OCO,ocon,Racing Point,force_india,Esteban,Ocon,Esteban Ocon,17.0,R,9.0,,,Engine,0.0,-8.0,2018,Abu Dhabi Grand Prix,Yas Marina
9,ERI,ericsson,Sauber,sauber,Marcus,Ericsson,Marcus Ericsson,18.0,R,12.0,,,Power loss,0.0,-6.0,2018,Abu Dhabi Grand Prix,Yas Marina
7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,19.0,R,4.0,,,Power loss,0.0,-15.0,2018,Abu Dhabi Grand Prix,Yas Marina
27,HUL,hulkenberg,Renault,renault,Nico,Hulkenberg,Nico Hulkenberg,20.0,R,10.0,,,Collision,0.0,-10.0,2018,Abu Dhabi Grand Prix,Yas Marina
