DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
6,ROS,rosberg,Mercedes,mercedes,Nico,Rosberg,Nico Rosberg,1.0,1,2.0,,0 days 01:48:15.565000,Finished,25.0,1.0,2016,Australian Grand Prix,Melbourne
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,2.0,2,1.0,,0 days 00:00:08.060000,Finished,18.0,-1.0,2016,Australian Grand Prix,Melbourne
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,3.0,3,3.0,,0 days 00:00:09.643000,Finished,15.0,0.0,2016,Australian Grand Prix,Melbourne
3,RIC,ricciardo,Red Bull,red_bull,Daniel,Ricciardo,Daniel Ricciardo,4.0,4,8.0,,0 days 00:00:24.330000,Finished,12.0,4.0,2016,Australian Grand Prix,Melbourne
19,MAS,massa,Williams,williams,Felipe,Massa,Felipe Massa,5.0,5,6.0,,0 days 00:00:58.979000,Finished,10.0,1.0,2016,Australian Grand Prix,Melbourne
8,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,6.0,6,19.0,,0 days 00:01:12.081000,Finished,8.0,13.0,2016,Australian Grand Prix,Melbourne
27,HUL,hulkenberg,Force India,force_india,Nico,Hülkenberg,Nico Hülkenberg,7.0,7,10.0,,0 days 00:01:14.199000,Finished,6.0,3.0,2016,Australian Grand Prix,Melbourne
77,BOT,bottas,Williams,williams,Valtteri,Bottas,Valtteri Bottas,8.0,8,16.0,,0 days 00:01:15.153000,Finished,4.0,8.0,2016,Australian Grand Prix,Melbourne
55,SAI,sainz,Toro Rosso,toro_rosso,Carlos,Sainz,Carlos Sainz,9.0,9,7.0,,0 days 00:01:15.680000,Finished,2.0,-2.0,2016,Australian Grand Prix,Melbourne
33,VER,max_verstappen,Toro Rosso,toro_rosso,Max,Verstappen,Max Verstappen,10.0,10,5.0,,0 days 00:01:16.833000,Finished,1.0,-5.0,2016,Australian Grand Prix,Melbourne
30,PAL,jolyon_palmer,Renault,renault,Jolyon,Palmer,Jolyon Palmer,11.0,11,13.0,,0 days 00:01:23.399000,Finished,0.0,2.0,2016,Australian Grand Prix,Melbourne
20,MAG,kevin_magnussen,Renault,renault,Kevin,Magnussen,Kevin Magnussen,12.0,12,14.0,,0 days 00:01:25.606000,Finished,0.0,2.0,2016,Australian Grand Prix,Melbourne
11,PER,perez,Force India,force_india,Sergio,Pérez,Sergio Pérez,13.0,13,9.0,,0 days 00:01:31.699000,Finished,0.0,-4.0,2016,Australian Grand Prix,Melbourne
22,BUT,button,McLaren,mclaren,Jenson,Button,Jenson Button,14.0,14,12.0,,,+1 Lap,0.0,-2.0,2016,Australian Grand Prix,Melbourne
12,NAS,nasr,Sauber,sauber,Felipe,Nasr,Felipe Nasr,15.0,15,17.0,,,+1 Lap,0.0,2.0,2016,Australian Grand Prix,Melbourne
94,WEH,wehrlein,Manor Marussia,manor,Pascal,Wehrlein,Pascal Wehrlein,16.0,16,21.0,,,+1 Lap,0.0,5.0,2016,Australian Grand Prix,Melbourne
9,ERI,ericsson,Sauber,sauber,Marcus,Ericsson,Marcus Ericsson,17.0,R,15.0,,,Engine,0.0,-2.0,2016,Australian Grand Prix,Melbourne
7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,18.0,R,4.0,,,Engine,0.0,-14.0,2016,Australian Grand Prix,Melbourne
88,HAR,haryanto,Manor Marussia,manor,Rio,Haryanto,Rio Haryanto,19.0,R,22.0,,,Mechanical,0.0,3.0,2016,Australian Grand Prix,Melbourne
21,GUT,gutierrez,Haas F1 Team,haas,Esteban,Gutiérrez,Esteban Gutiérrez,20.0,R,20.0,,,Collision,0.0,0.0,2016,Australian Grand Prix,Melbourne
14,ALO,alonso,McLaren,mclaren,Fernando,Alonso,Fernando Alonso,21.0,R,11.0,,,Collision,0.0,-10.0,2016,Australian Grand Prix,Melbourne
26,KVY,kvyat,Red Bull,red_bull,Daniil,Kvyat,Daniil Kvyat,22.0,W,18.0,,,Retired,0.0,-4.0,2016,Australian Grand Prix,Melbourne
