DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,1.0,1,1.0,,0 days 01:22:50.683000,Finished,25.0,0.0,2020,Styrian Grand Prix,Spielberg
77,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,2.0,2,4.0,,0 days 00:00:13.719000,Finished,18.0,2.0,2020,Styrian Grand Prix,Spielberg
33,VER,max_verstappen,Red Bull Racing,red_bull,Max,Verstappen,Max Verstappen,3.0,3,2.0,,0 days 00:00:33.698000,Finished,15.0,-1.0,2020,Styrian Grand Prix,Spielberg
23,ALB,albon,Red Bull Racing,red_bull,Alexander,Albon,Alexander Albon,4.0,4,6.0,,0 days 00:00:44.400000,Finished,12.0,2.0,2020,Styrian Grand Prix,Spielberg
4,NOR,norris,McLaren,mclaren,Lando,Norris,Lando Norris,5.0,5,9.0,,0 days 00:01:01.470000,Finished,10.0,4.0,2020,Styrian Grand Prix,Spielberg
11,PER,perez,Racing Point,racing_point,Sergio,Perez,Sergio Perez,6.0,6,17.0,,0 days 00:01:02.387000,Finished,8.0,11.0,2020,Styrian Grand Prix,Spielberg
18,STR,stroll,Racing Point,racing_point,Lance,Stroll,Lance Stroll,7.0,7,12.0,,0 days 00:01:02.453000,Finished,6.0,5.0,2020,Styrian Grand Prix,Spielberg
3,RIC,ricciardo,Renault,renault,Daniel,Ricciardo,Daniel Ricciardo,8.0,8,8.0,,0 days 00:01:02.591000,Finished,4.0,0.0,2020,Styrian Grand Prix,Spielberg
55,SAI,sainz,McLaren,mclaren,Carlos,Sainz,Carlos Sainz,9.0,9,3.0,,,+1 Lap,3.0,-6.0,2020,Styrian Grand Prix,Spielberg
26,KVY,kvyat,AlphaTauri,alphatauri,Daniil,Kvyat,Daniil Kvyat,10.0,10,13.0,,,+1 Lap,1.0,3.0,2020,Styrian Grand Prix,Spielberg
7,RAI,raikkonen,Alfa Romeo Racing,alfa,Kimi,Räikkönen,Kimi Räikkönen,11.0,11,16.0,,,+1 Lap,0.0,5.0,2020,Styrian Grand Prix,Spielberg
20,MAG,kevin_magnussen,Haas F1 Team,haas,Kevin,Magnussen,Kevin Magnussen,12.0,12,15.0,,,+1 Lap,0.0,3.0,2020,Styrian Grand Prix,Spielberg
8,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,13.0,13,0.0,,,+1 Lap,0.0,-13.0,2020,Styrian Grand Prix,Spielberg
99,GIO,giovinazzi,Alfa Romeo Racing,alfa,Antonio,Giovinazzi,Antonio Giovinazzi,14.0,14,19.0,,,+1 Lap,0.0,5.0,2020,Styrian Grand Prix,Spielberg
10,GAS,gasly,AlphaTauri,alphatauri,Pierre,Gasly,Pierre Gasly,15.0,15,7.0,,,+1 Lap,0.0,-8.0,2020,Styrian Grand Prix,Spielberg
63,RUS,russell,Williams,williams,George,Russell,George Russell,16.0,16,11.0,,,+2 Laps,0.0,-5.0,2020,Styrian Grand Prix,Spielberg
6,LAT,latifi,Williams,williams,Nicholas,Latifi,Nicholas Latifi,17.0,17,18.0,,,+2 Laps,0.0,1.0,2020,Styrian Grand Prix,Spielberg
31,OCO,ocon,Renault,renault,Esteban,Ocon,Esteban Ocon,18.0,R,5.0,,,Overheating,0.0,-13.0,2020,Styrian Grand Prix,Spielberg
16,LEC,leclerc,Ferrari,ferrari,Charles,Leclerc,Charles Leclerc,19.0,R,14.0,,,Collision damage,0.0,-5.0,2020,Styrian Grand Prix,Spielberg
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,20.0,R,10.0,,,Collision damage,0.0,-10.0,2020,Styrian Grand Prix,Spielberg
