DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
6,ROS,rosberg,Mercedes,mercedes,Nico,Rosberg,Nico Rosberg,1.0,1,2.0,,0 days 01:33:34.696000,Finished,25.0,1.0,2016,Bahrain Grand Prix,Sakhir
7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,2.0,2,4.0,,0 days 00:00:10.282000,Finished,18.0,2.0,2016,Bahrain Grand Prix,Sakhir
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,3.0,3,1.0,,0 days 00:00:30.148000,Finished,15.0,-2.0,2016,Bahrain Grand Prix,Sakhir
3,RIC,ricciardo,Red Bull,red_bull,Daniel,Ricciardo,Daniel Ricciardo,4.0,4,5.0,,0 days 00:01:02.494000,Finished,12.0,1.0,2016,Bahrain Grand Prix,Sakhir
8,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,5.0,5,9.0,,0 days 00:01:18.299000,Finished,10.0,4.0,2016,Bahrain Grand Prix,Sakhir
33,VER,max_verstappen,Toro Rosso,toro_rosso,Max,Verstappen,Max Verstappen,6.0,6,10.0,,0 days 00:01:20.929000,Finished,8.0,4.0,2016,Bahrain Grand Prix,Sakhir
26,KVY,kvyat,Red Bull,red_bull,Daniil,Kvyat,Daniil Kvyat,7.0,7,15.0,,,+1 Lap,6.0,8.0,2016,Bahrain Grand Prix,Sakhir
19,MAS,massa,Williams,williams,Felipe,Massa,Felipe Massa,8.0,8,7.0,,,+1 Lap,4.0,-1.0,2016,Bahrain Grand Prix,Sakhir
77,BOT,bottas,Williams,williams,Valtteri,Bottas,Valtteri Bottas,9.0,9,6.0,,,+1 Lap,2.0,-3.0,2016,Bahrain Grand Prix,Sakhir
47,VAN,vandoorne,McLaren,mclaren,Stoffel,Vandoorne,Stoffel Vandoorne,10.0,10,12.0,,,+1 Lap,1.0,2.0,2016,Bahrain Grand Prix,Sakhir
20,MAG,kevin_magnussen,Renault,renault,Kevin,Magnussen,Kevin Magnussen,11.0,11,22.0,,,+1 Lap,0.0,11.0,2016,Bahrain Grand Prix,Sakhir
9,ERI,ericsson,Sauber,sauber,Marcus,Ericsson,Marcus Ericsson,12.0,12,17.0,,,+1 Lap,0.0,5.0,2016,Bahrain Grand Prix,Sakhir
94,WEH,wehrlein,Manor Marussia,manor,Pascal,Wehrlein,Pascal Wehrlein,13.0,13,16.0,,,+1 Lap,0.0,3.0,2016,Bahrain Grand Prix,Sakhir
12,NAS,nasr,Sauber,sauber,Felipe,Nasr,Felipe Nasr,14.0,14,21.0,,,+1 Lap,0.0,7.0,2016,Bahrain Grand Prix,Sakhir
27,HUL,hulkenberg,Force India,force_india,Nico,Hülkenberg,Nico Hülkenberg,15.0,15,8.0,,,+1 Lap,0.0,-7.0,2016,Bahrain Grand Prix,Sakhir
11,PER,perez,Force India,force_india,Sergio,Pérez,Sergio Pérez,16.0,16,18.0,,,+1 Lap,0.0,2.0,2016,Bahrain Grand Prix,Sakhir
88,HAR,haryanto,Manor Marussia,manor,Rio,Haryanto,Rio Haryanto,17.0,17,20.0,,,+1 Lap,0.0,3.0,2016,Bahrain Grand Prix,Sakhir
55,SAI,sainz,Toro Rosso,toro_rosso,Carlos,Sainz,Carlos Sainz,18.0,R,11.0,,,Retired,0.0,-7.0,2016,Bahrain Grand Prix,Sakhir
21,GUT,gutierrez,Haas F1 Team,haas,Esteban,Gutiérrez,Esteban Gutiérrez,19.0,R,13.0,,,Retired,0.0,-6.0,2016,Bahrain Grand Prix,Sakhir
22,BUT,button,McLaren,mclaren,Jenson,Button,Jenson Button,20.0,R,14.0,,,Power Unit,0.0,-6.0,2016,Bahrain Grand Prix,Sakhir
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,21.0,W,3.0,,,Engine,0.0,-18.0,2016,Bahrain Grand Prix,Sakhir
30,PAL,jolyon_palmer,Renault,renault,Jolyon,Palmer,Jolyon Palmer,22.0,W,19.0,,,Hydraulics,0.0,-3.0,2016,Bahrain Grand Prix,Sakhir
