DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
11,PER,perez,Red Bull Racing,red_bull,Sergio,Perez,Sergio Perez,1.0,1,6.0,,0 days 02:13:36.410000,Finished,25.0,5.0,2021,Azerbaijan Grand Prix,Baku
5,VET,vettel,Aston Martin,aston_martin,Sebastian,Vettel,Sebastian Vettel,2.0,2,11.0,,0 days 00:00:01.385000,Finished,18.0,9.0,2021,Azerbaijan Grand Prix,Baku
10,GAS,gasly,AlphaTauri,alphatauri,Pierre,Gasly,Pierre Gasly,3.0,3,4.0,,0 days 00:00:02.762000,Finished,15.0,1.0,2021,Azerbaijan Grand Prix,Baku
16,LEC,leclerc,Ferrari,ferrari,Charles,Leclerc,Charles Leclerc,4.0,4,1.0,,0 days 00:00:03.828000,Finished,12.0,-3.0,2021,Azerbaijan Grand Prix,Baku
4,NOR,norris,McLaren,mclaren,Lando,Norris,Lando Norris,5.0,5,9.0,,0 days 00:00:04.754000,Finished,10.0,4.0,2021,Azerbaijan Grand Prix,Baku
14,ALO,alonso,Alpine,alpine,Fernando,Alonso,Fernando Alonso,6.0,6,8.0,,0 days 00:00:06.382000,Finished,8.0,2.0,2021,Azerbaijan Grand Prix,Baku
22,TSU,tsunoda,AlphaTauri,alphatauri,Yuki,Tsunoda,Yuki Tsunoda,7.0,7,7.0,,0 days 00:00:06.624000,Finished,6.0,0.0,2021,Azerbaijan Grand Prix,Baku
55,SAI,sainz,Ferrari,ferrari,Carlos,Sainz,Carlos Sainz,8.0,8,5.0,,0 days 00:00:07.709000,Finished,4.0,-3.0,2021,Azerbaijan Grand Prix,Baku
3,RIC,ricciardo,McLaren,mclaren,Daniel,Ricciardo,Daniel Ricciardo,9.0,9,13.0,,0 days 00:00:08.874000,Finished,2.0,4.0,2021,Azerbaijan Grand Prix,Baku
7,RAI,raikkonen,Alfa Romeo Racing,alfa,Kimi,Räikkönen,Kimi Räikkönen,10.0,10,14.0,,0 days 00:00:09.576000,Finished,1.0,4.0,2021,Azerbaijan Grand Prix,Baku
99,GIO,giovinazzi,Alfa Romeo Racing,alfa,Antonio,Giovinazzi,Antonio Giovinazzi,11.0,11,20.0,,0 days 00:00:10.254000,Finished,0.0,9.0,2021,Azerbaijan Grand Prix,Baku
77,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,12.0,12,10.0,,0 days 00:00:11.264000,Finished,0.0,-2.0,2021,Azerbaijan Grand Prix,Baku
47,MSC,mick_schumacher,Haas F1 Team,haas,Mick,Schumacher,Mick Schumacher,13.0,13,17.0,,0 days 00:00:14.241000,Finished,0.0,4.0,2021,Azerbaijan Grand Prix,Baku
9,MAZ,mazepin,Haas F1 Team,haas,Nikita,Mazepin,Nikita Mazepin,14.0,14,18.0,,0 days 00:00:14.315000,Finished,0.0,4.0,2021,Azerbaijan Grand Prix,Baku
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,15.0,15,2.0,,0 days 00:00:17.668000,Finished,0.0,-13.0,2021,Azerbaijan Grand Prix,Baku
6,LAT,latifi,Williams,williams,Nicholas,Latifi,Nicholas Latifi,16.0,16,16.0,,0 days 00:00:43.379000,Finished,0.0,0.0,2021,Azerbaijan Grand Prix,Baku
63,RUS,russell,Williams,williams,George,Russell,George Russell,17.0,R,15.0,,,Gearbox,0.0,-2.0,2021,Azerbaijan Grand Prix,Baku
33,VER,max_verstappen,Red Bull Racing,red_bull,Max,Verstappen,Max Verstappen,18.0,R,3.0,,,Accident,0.0,-15.0,2021,Azerbaijan Grand Prix,Baku
18,STR,stroll,Aston Martin,aston_martin,Lance,Stroll,Lance Stroll,19.0,R,19.0,,,Accident,0.0,0.0,2021,Azerbaijan Grand Prix,Baku
31,OCO,ocon,Alpine,alpine,Esteban,Ocon,Esteban Ocon,20.0,R,12.0,,,Turbo,0.0,-8.0,2021,Azerbaijan Grand Prix,Baku
