DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
6,ROS,rosberg,Mercedes,mercedes,Nico,Rosberg,Nico Rosberg,1.0,1,1.0,,0 days 01:31:09.090000,Finished,25.0,0.0,2015,Brazilian Grand Prix,São Paulo
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,2.0,2,2.0,,0 days 00:00:07.756000,Finished,18.0,0.0,2015,Brazilian Grand Prix,São Paulo
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,3.0,3,3.0,,0 days 00:00:14.244000,Finished,15.0,0.0,2015,Brazilian Grand Prix,São Paulo
7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,4.0,4,4.0,,0 days 00:00:47.543000,Finished,12.0,0.0,2015,Brazilian Grand Prix,São Paulo
77,BOT,bottas,Williams,williams,Valtteri,Bottas,Valtteri Bottas,5.0,5,7.0,,,+1 Lap,10.0,2.0,2015,Brazilian Grand Prix,São Paulo
27,HUL,hulkenberg,Force India,force_india,Nico,Hülkenberg,Nico Hülkenberg,6.0,6,5.0,,,+1 Lap,8.0,-1.0,2015,Brazilian Grand Prix,São Paulo
26,KVY,kvyat,Red Bull,red_bull,Daniil,Kvyat,Daniil Kvyat,7.0,7,6.0,,,+1 Lap,6.0,-1.0,2015,Brazilian Grand Prix,São Paulo
8,GRO,grosjean,Lotus F1,lotus_f1,Romain,Grosjean,Romain Grosjean,8.0,8,14.0,,,+1 Lap,4.0,6.0,2015,Brazilian Grand Prix,São Paulo
33,VER,max_verstappen,Toro Rosso,toro_rosso,Max,Verstappen,Max Verstappen,9.0,9,9.0,,,+1 Lap,2.0,0.0,2015,Brazilian Grand Prix,São Paulo
13,MAL,maldonado,Lotus F1,lotus_f1,Pastor,Maldonado,Pastor Maldonado,10.0,10,15.0,,,+1 Lap,1.0,5.0,2015,Brazilian Grand Prix,São Paulo
3,RIC,ricciardo,Red Bull,red_bull,Daniel,Ricciardo,Daniel Ricciardo,11.0,11,19.0,,,+1 Lap,0.0,8.0,2015,Brazilian Grand Prix,São Paulo
11,PER,perez,Force India,force_india,Sergio,Pérez,Sergio Pérez,12.0,12,11.0,,,+1 Lap,0.0,-1.0,2015,Brazilian Grand Prix,São Paulo
12,NAS,nasr,Sauber,sauber,Felipe,Nasr,Felipe Nasr,13.0,13,13.0,,,+1 Lap,0.0,0.0,2015,Brazilian Grand Prix,São Paulo
22,BUT,button,McLaren,mclaren,Jenson,Button,Jenson Button,14.0,14,16.0,,,+1 Lap,0.0,2.0,2015,Brazilian Grand Prix,São Paulo
14,ALO,alonso,McLaren,mclaren,Fernando,Alonso,Fernando Alonso,15.0,15,20.0,,,+1 Lap,0.0,5.0,2015,Brazilian Grand Prix,São Paulo
9,ERI,ericsson,Sauber,sauber,Marcus,Ericsson,Marcus Ericsson,16.0,16,12.0,,,+2 Laps,0.0,-4.0,2015,Brazilian Grand Prix,São Paulo
28,STE,stevens,Manor Marussia,manor,Will,Stevens,Will Stevens,17.0,17,18.0,,,+4 Laps,0.0,1.0,2015,Brazilian Grand Prix,São Paulo
53,RSS,rossi,Manor Marussia,manor,Alexander,Rossi,Alexander Rossi,18.0,18,17.0,,,+4 Laps,0.0,-1.0,2015,Brazilian Grand Prix,São Paulo
55,SAI,sainz,Toro Rosso,toro_rosso,Carlos,Sainz,Carlos Sainz,19.0,R,10.0,,,Retired,0.0,-9.0,2015,Brazilian Grand Prix,São Paulo
19,MAS,massa,Williams,williams,Felipe,Massa,Felipe Massa,20.0,D,8.0,,,Excluded,0.0,-12.0,2015,Brazilian Grand Prix,São Paulo
