DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
3,RIC,ricciardo,Red Bull Racing,red_bull,Daniel,Ricciardo,Daniel Ricciardo,1.0,1,6.0,,0 days 01:35:36.380000,Finished,25.0,5.0,2018,Chinese Grand Prix,Shanghai
77,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,2.0,2,3.0,,0 days 00:00:08.894000,Finished,18.0,1.0,2018,Chinese Grand Prix,Shanghai
7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,3.0,3,2.0,,0 days 00:00:09.637000,Finished,15.0,-1.0,2018,Chinese Grand Prix,Shanghai
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,4.0,4,4.0,,0 days 00:00:16.985000,Finished,12.0,0.0,2018,Chinese Grand Prix,Shanghai
33,VER,max_verstappen,Red Bull Racing,red_bull,Max,Verstappen,Max Verstappen,5.0,5,5.0,,0 days 00:00:20.436000,Finished,10.0,0.0,2018,Chinese Grand Prix,Shanghai
27,HUL,hulkenberg,Renault,renault,Nico,Hulkenberg,Nico Hulkenberg,6.0,6,7.0,,0 days 00:00:21.052000,Finished,8.0,1.0,2018,Chinese Grand Prix,Shanghai
14,ALO,alonso,McLaren,mclaren,Fernando,Alonso,Fernando Alonso,7.0,7,13.0,,0 days 00:00:30.639000,Finished,6.0,6.0,2018,Chinese Grand Prix,Shanghai
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,8.0,8,1.0,,0 days 00:00:35.286000,Finished,4.0,-7.0,2018,Chinese Grand Prix,Shanghai
55,SAI,sainz,Renault,renault,Carlos,Sainz,Carlos Sainz,9.0,9,9.0,,0 days 00:00:35.763000,Finished,2.0,0.0,2018,Chinese Grand Prix,Shanghai
20,MAG,kevin_magnussen,Haas F1 Team,haas,Kevin,Magnussen,Kevin Magnussen,10.0,10,11.0,,0 days 00:00:39.594000,Finished,1.0,1.0,2018,Chinese Grand Prix,Shanghai
31,OCO,ocon,Force India,force_india,Esteban,Ocon,Esteban Ocon,11.0,11,12.0,,0 days 00:00:44.050000,Finished,0.0,1.0,2018,Chinese Grand Prix,Shanghai
11,PER,perez,Force India,force_india,Sergio,Perez,Sergio Perez,12.0,12,8.0,,0 days 00:00:44.725000,Finished,0.0,-4.0,2018,Chinese Grand Prix,Shanghai
2,VAN,vandoorne,McLaren,mclaren,Stoffel,Vandoorne,Stoffel Vandoorne,13.0,13,14.0,,0 days 00:00:49.373000,Finished,0.0,1.0,2018,Chinese Grand Prix,Shanghai
18,STR,stroll,Williams,williams,Lance,Stroll,Lance Stroll,14.0,14,18.0,,0 days 00:00:55.490000,Finished,0.0,4.0,2018,Chinese Grand Prix,Shanghai
35,SIR,sirotkin,Williams,williams,Sergey,Sirotkin,Sergey Sirotkin,15.0,15,16.0,,0 days 00:00:58.241000,Finished,0.0,1.0,2018,Chinese Grand Prix,Shanghai
9,ERI,ericsson,Sauber,sauber,Marcus,Ericsson,Marcus Ericsson,16.0,16,20.0,,0 days 00:01:02.604000,Finished,0.0,4.0,2018,Chinese Grand Prix,Shanghai
8,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,17.0,17,10.0,,0 days 00:01:05.296000,Finished,0.0,-7.0,2018,Chinese Grand Prix,Shanghai
10,GAS,gasly,Toro Rosso,toro_rosso,Pierre,Gasly,Pierre Gasly,18.0,18,17.0,,0 days 00:01:06.330000,Finished,0.0,-1.0,2018,Chinese Grand Prix,Shanghai
16,LEC,leclerc,Sauber,sauber,Charles,Leclerc,Charles Leclerc,19.0,19,19.0,,0 days 00:01:22.575000,Finished,0.0,0.0,2018,Chinese Grand Prix,Shanghai
28,HAR,brendon_hartley,Toro Rosso,toro_rosso,Brendon,Hartley,Brendon Hartley,20.0,20,15.0,,,Collision damage,0.0,-5.0,2018,Chinese Grand Prix,Shanghai
