DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
33,VER,max_verstappen,Red Bull Racing,red_bull,Max,Verstappen,Max Verstappen,1.0,1,1.0,,0 days 01:34:36.552000,Finished,25.0,0.0,2021,United States Grand Prix,Austin
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,2.0,2,2.0,,0 days 00:00:01.333000,Finished,19.0,0.0,2021,United States Grand Prix,Austin
11,PER,perez,Red Bull Racing,red_bull,Sergio,Perez,Sergio Perez,3.0,3,3.0,,0 days 00:00:42.223000,Finished,15.0,0.0,2021,United States Grand Prix,Austin
16,LEC,leclerc,Ferrari,ferrari,Charles,Leclerc,Charles Leclerc,4.0,4,4.0,,0 days 00:00:52.246000,Finished,12.0,0.0,2021,United States Grand Prix,Austin
3,RIC,ricciardo,McLaren,mclaren,Daniel,Ricciardo,Daniel Ricciardo,5.0,5,6.0,,0 days 00:01:16.854000,Finished,10.0,1.0,2021,United States Grand Prix,Austin
77,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,6.0,6,9.0,,0 days 00:01:20.128000,Finished,8.0,3.0,2021,United States Grand Prix,Austin
55,SAI,sainz,Ferrari,ferrari,Carlos,Sainz,Carlos Sainz,7.0,7,5.0,,0 days 00:01:23.545000,Finished,6.0,-2.0,2021,United States Grand Prix,Austin
4,NOR,norris,McLaren,mclaren,Lando,Norris,Lando Norris,8.0,8,7.0,,0 days 00:01:24.395000,Finished,4.0,-1.0,2021,United States Grand Prix,Austin
22,TSU,tsunoda,AlphaTauri,alphatauri,Yuki,Tsunoda,Yuki Tsunoda,9.0,9,10.0,,,+1 Lap,2.0,1.0,2021,United States Grand Prix,Austin
5,VET,vettel,Aston Martin,aston_martin,Sebastian,Vettel,Sebastian Vettel,10.0,10,18.0,,,+1 Lap,1.0,8.0,2021,United States Grand Prix,Austin
99,GIO,giovinazzi,Alfa Romeo Racing,alfa,Antonio,Giovinazzi,Antonio Giovinazzi,11.0,11,12.0,,,+1 Lap,0.0,1.0,2021,United States Grand Prix,Austin
18,STR,stroll,Aston Martin,aston_martin,Lance,Stroll,Lance Stroll,12.0,12,13.0,,,+1 Lap,0.0,1.0,2021,United States Grand Prix,Austin
7,RAI,raikkonen,Alfa Romeo Racing,alfa,Kimi,Räikkönen,Kimi Räikkönen,13.0,13,15.0,,,+1 Lap,0.0,2.0,2021,United States Grand Prix,Austin
63,RUS,russell,Williams,williams,George,Russell,George Russell,14.0,14,20.0,,,+1 Lap,0.0,6.0,2021,United States Grand Prix,Austin
6,LAT,latifi,Williams,williams,Nicholas,Latifi,Nicholas Latifi,15.0,15,14.0,,,+1 Lap,0.0,-1.0,2021,United States Grand Prix,Austin
47,MSC,mick_schumacher,Haas F1 Team,haas,Mick,Schumacher,Mick Schumacher,16.0,16,16.0,,,+2 Laps,0.0,0.0,2021,United States Grand Prix,Austin
9,MAZ,mazepin,Haas F1 Team,haas,Nikita,Mazepin,Nikita Mazepin,17.0,17,17.0,,,+2 Laps,0.0,0.0,2021,United States Grand Prix,Austin
14,ALO,alonso,Alpine,alpine,Fernando,Alonso,Fernando Alonso,18.0,R,19.0,,,Rear wing,0.0,1.0,2021,United States Grand Prix,Austin
31,OCO,ocon,Alpine,alpine,Esteban,Ocon,Esteban Ocon,19.0,R,11.0,,,Mechanical,0.0,-8.0,2021,United States Grand Prix,Austin
10,GAS,gasly,AlphaTauri,alphatauri,Pierre,Gasly,Pierre Gasly,20.0,R,8.0,,,Suspension,0.0,-12.0,2021,United States Grand Prix,Austin
