DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,1.0,1,6.0,,0 days 01:42:19.313000,Finished,25.0,5.0,2020,Turkish Grand Prix,Istanbul
11,PER,perez,Racing Point,racing_point,Sergio,Perez,Sergio Perez,2.0,2,3.0,,0 days 00:00:31.633000,Finished,18.0,1.0,2020,Turkish Grand Prix,Istanbul
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,3.0,3,11.0,,0 days 00:00:31.960000,Finished,15.0,8.0,2020,Turkish Grand Prix,Istanbul
16,LEC,leclerc,Ferrari,ferrari,Charles,Leclerc,Charles Leclerc,4.0,4,12.0,,0 days 00:00:33.858000,Finished,12.0,8.0,2020,Turkish Grand Prix,Istanbul
55,SAI,sainz,McLaren,mclaren,Carlos,Sainz,Carlos Sainz,5.0,5,15.0,,0 days 00:00:34.363000,Finished,10.0,10.0,2020,Turkish Grand Prix,Istanbul
33,VER,max_verstappen,Red Bull Racing,red_bull,Max,Verstappen,Max Verstappen,6.0,6,2.0,,0 days 00:00:44.873000,Finished,8.0,-4.0,2020,Turkish Grand Prix,Istanbul
23,ALB,albon,Red Bull Racing,red_bull,Alexander,Albon,Alexander Albon,7.0,7,4.0,,0 days 00:00:46.484000,Finished,6.0,-3.0,2020,Turkish Grand Prix,Istanbul
4,NOR,norris,McLaren,mclaren,Lando,Norris,Lando Norris,8.0,8,14.0,,0 days 00:01:01.259000,Finished,5.0,6.0,2020,Turkish Grand Prix,Istanbul
18,STR,stroll,Racing Point,racing_point,Lance,Stroll,Lance Stroll,9.0,9,1.0,,0 days 00:01:12.353000,Finished,2.0,-8.0,2020,Turkish Grand Prix,Istanbul
3,RIC,ricciardo,Renault,renault,Daniel,Ricciardo,Daniel Ricciardo,10.0,10,5.0,,0 days 00:01:35.460000,Finished,1.0,-5.0,2020,Turkish Grand Prix,Istanbul
31,OCO,ocon,Renault,renault,Esteban,Ocon,Esteban Ocon,11.0,11,7.0,,,+1 Lap,0.0,-4.0,2020,Turkish Grand Prix,Istanbul
26,KVY,kvyat,AlphaTauri,alphatauri,Daniil,Kvyat,Daniil Kvyat,12.0,12,16.0,,,+1 Lap,0.0,4.0,2020,Turkish Grand Prix,Istanbul
10,GAS,gasly,AlphaTauri,alphatauri,Pierre,Gasly,Pierre Gasly,13.0,13,19.0,,,+1 Lap,0.0,6.0,2020,Turkish Grand Prix,Istanbul
77,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,14.0,14,9.0,,,+1 Lap,0.0,-5.0,2020,Turkish Grand Prix,Istanbul
7,RAI,raikkonen,Alfa Romeo Racing,alfa,Kimi,Räikkönen,Kimi Räikkönen,15.0,15,8.0,,,+1 Lap,0.0,-7.0,2020,Turkish Grand Prix,Istanbul
63,RUS,russell,Williams,williams,George,Russell,George Russell,16.0,16,0.0,,,+1 Lap,0.0,-16.0,2020,Turkish Grand Prix,Istanbul
20,MAG,kevin_magnussen,Haas F1 Team,haas,Kevin,Magnussen,Kevin Magnussen,17.0,17,13.0,,,Withdrew,0.0,-4.0,2020,Turkish Grand Prix,Istanbul
8,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,18.0,R,17.0,,,Collision damage,0.0,-1.0,2020,Turkish Grand Prix,Istanbul
6,LAT,latifi,Williams,williams,Nicholas,Latifi,Nicholas Latifi,19.0,R,0.0,,,Collision damage,0.0,-19.0,2020,Turkish Grand Prix,Istanbul
99,GIO,giovinazzi,Alfa Romeo Racing,alfa,Antonio,Giovinazzi,Antonio Giovinazzi,20.0,R,10.0,,,Gearbox,0.0,-10.0,2020,Turkish Grand Prix,Istanbul
