DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
3,RIC,ricciardo,Red Bull,red_bull,Daniel,Ricciardo,Daniel Ricciardo,1.0,1,4.0,,0 days 01:37:12.776000,Finished,25.0,3.0,2016,Malaysian Grand Prix,Kuala Lumpur
33,VER,max_verstappen,Red Bull,red_bull,Max,Verstappen,Max Verstappen,2.0,2,3.0,,0 days 00:00:02.443000,Finished,18.0,1.0,2016,Malaysian Grand Prix,Kuala Lumpur
6,ROS,rosberg,Mercedes,mercedes,Nico,Rosberg,Nico Rosberg,3.0,3,2.0,,0 days 00:00:25.516000,Finished,15.0,-1.0,2016,Malaysian Grand Prix,Kuala Lumpur
7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,4.0,4,6.0,,0 days 00:00:28.785000,Finished,12.0,2.0,2016,Malaysian Grand Prix,Kuala Lumpur
77,BOT,bottas,Williams,williams,Valtteri,Bottas,Valtteri Bottas,5.0,5,11.0,,0 days 00:01:01.582000,Finished,10.0,6.0,2016,Malaysian Grand Prix,Kuala Lumpur
11,PER,perez,Force India,force_india,Sergio,Pérez,Sergio Pérez,6.0,6,7.0,,0 days 00:01:03.794000,Finished,8.0,1.0,2016,Malaysian Grand Prix,Kuala Lumpur
14,ALO,alonso,McLaren,mclaren,Fernando,Alonso,Fernando Alonso,7.0,7,22.0,,0 days 00:01:05.205000,Finished,6.0,15.0,2016,Malaysian Grand Prix,Kuala Lumpur
27,HUL,hulkenberg,Force India,force_india,Nico,Hülkenberg,Nico Hülkenberg,8.0,8,8.0,,0 days 00:01:14.062000,Finished,4.0,0.0,2016,Malaysian Grand Prix,Kuala Lumpur
22,BUT,button,McLaren,mclaren,Jenson,Button,Jenson Button,9.0,9,9.0,,0 days 00:01:21.816000,Finished,2.0,0.0,2016,Malaysian Grand Prix,Kuala Lumpur
30,PAL,jolyon_palmer,Renault,renault,Jolyon,Palmer,Jolyon Palmer,10.0,10,19.0,,0 days 00:01:35.466000,Finished,1.0,9.0,2016,Malaysian Grand Prix,Kuala Lumpur
55,SAI,sainz,Toro Rosso,toro_rosso,Carlos,Sainz,Carlos Sainz,11.0,11,16.0,,0 days 00:01:38.878000,Finished,0.0,5.0,2016,Malaysian Grand Prix,Kuala Lumpur
9,ERI,ericsson,Sauber,sauber,Marcus,Ericsson,Marcus Ericsson,12.0,12,17.0,,,+1 Lap,0.0,5.0,2016,Malaysian Grand Prix,Kuala Lumpur
19,MAS,massa,Williams,williams,Felipe,Massa,Felipe Massa,13.0,13,10.0,,,+1 Lap,0.0,-3.0,2016,Malaysian Grand Prix,Kuala Lumpur
26,KVY,kvyat,Toro Rosso,toro_rosso,Daniil,Kvyat,Daniil Kvyat,14.0,14,15.0,,,+1 Lap,0.0,1.0,2016,Malaysian Grand Prix,Kuala Lumpur
94,WEH,wehrlein,Manor Marussia,manor,Pascal,Wehrlein,Pascal Wehrlein,15.0,15,21.0,,,+1 Lap,0.0,6.0,2016,Malaysian Grand Prix,Kuala Lumpur
31,OCO,ocon,Manor Marussia,manor,Esteban,Ocon,Esteban Ocon,16.0,16,20.0,,,+1 Lap,0.0,4.0,2016,Malaysian Grand Prix,Kuala Lumpur
12,NAS,nasr,Sauber,sauber,Felipe,Nasr,Felipe Nasr,17.0,R,18.0,,,Brakes,0.0,1.0,2016,Malaysian Grand Prix,Kuala Lumpur
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,18.0,R,1.0,,,Engine,0.0,-17.0,2016,Malaysian Grand Prix,Kuala Lumpur
21,GUT,gutierrez,Haas F1 Team,haas,Esteban,Gutiérrez,Esteban Gutiérrez,19.0,R,13.0,,,Wheel nut,0.0,-6.0,2016,Malaysian Grand Prix,Kuala Lumpur
20,MAG,kevin_magnussen,Renault,renault,Kevin,Magnussen,Kevin Magnussen,20.0,R,14.0,,,Power loss,0.0,-6.0,2016,Malaysian Grand Prix,Kuala Lumpur
8,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,21.0,R,12.0,,,Brakes,0.0,-9.0,2016,Malaysian Grand Prix,Kuala Lumpur
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,22.0,R,5.0,,,Collision,0.0,-17.0,2016,Malaysian Grand Prix,Kuala Lumpur
