DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
77,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,1.0,1,3.0,,0 days 01:34:00.364000,Finished,26.0,2.0,2020,Russian Grand Prix,Sochi
33,VER,max_verstappen,Red Bull Racing,red_bull,Max,Verstappen,Max Verstappen,2.0,2,2.0,,0 days 00:00:07.729000,Finished,18.0,0.0,2020,Russian Grand Prix,Sochi
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,3.0,3,1.0,,0 days 00:00:22.729000,Finished,15.0,-2.0,2020,Russian Grand Prix,Sochi
11,PER,perez,Racing Point,racing_point,Sergio,Perez,Sergio Perez,4.0,4,4.0,,0 days 00:00:30.558000,Finished,12.0,0.0,2020,Russian Grand Prix,Sochi
3,RIC,ricciardo,Renault,renault,Daniel,Ricciardo,Daniel Ricciardo,5.0,5,5.0,,0 days 00:00:52.065000,Finished,10.0,0.0,2020,Russian Grand Prix,Sochi
16,LEC,leclerc,Ferrari,ferrari,Charles,Leclerc,Charles Leclerc,6.0,6,10.0,,0 days 00:01:02.186000,Finished,8.0,4.0,2020,Russian Grand Prix,Sochi
31,OCO,ocon,Renault,renault,Esteban,Ocon,Esteban Ocon,7.0,7,7.0,,0 days 00:01:08.006000,Finished,6.0,0.0,2020,Russian Grand Prix,Sochi
26,KVY,kvyat,AlphaTauri,alphatauri,Daniil,Kvyat,Daniil Kvyat,8.0,8,11.0,,0 days 00:01:08.740000,Finished,4.0,3.0,2020,Russian Grand Prix,Sochi
10,GAS,gasly,AlphaTauri,alphatauri,Pierre,Gasly,Pierre Gasly,9.0,9,9.0,,0 days 00:01:29.766000,Finished,2.0,0.0,2020,Russian Grand Prix,Sochi
23,ALB,albon,Red Bull Racing,red_bull,Alexander,Albon,Alexander Albon,10.0,10,15.0,,0 days 00:01:37.860000,Finished,1.0,5.0,2020,Russian Grand Prix,Sochi
99,GIO,giovinazzi,Alfa Romeo Racing,alfa,Antonio,Giovinazzi,Antonio Giovinazzi,11.0,11,17.0,,,+1 Lap,0.0,6.0,2020,Russian Grand Prix,Sochi
20,MAG,kevin_magnussen,Haas F1 Team,haas,Kevin,Magnussen,Kevin Magnussen,12.0,12,18.0,,,+1 Lap,0.0,6.0,2020,Russian Grand Prix,Sochi
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,13.0,13,14.0,,,+1 Lap,0.0,1.0,2020,Russian Grand Prix,Sochi
7,RAI,raikkonen,Alfa Romeo Racing,alfa,Kimi,Räikkönen,Kimi Räikkönen,14.0,14,19.0,,,+1 Lap,0.0,5.0,2020,Russian Grand Prix,Sochi
4,NOR,norris,McLaren,mclaren,Lando,Norris,Lando Norris,15.0,15,8.0,,,+1 Lap,0.0,-7.0,2020,Russian Grand Prix,Sochi
6,LAT,latifi,Williams,williams,Nicholas,Latifi,Nicholas Latifi,16.0,16,20.0,,,+1 Lap,0.0,4.0,2020,Russian Grand Prix,Sochi
8,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,17.0,17,16.0,,,+1 Lap,0.0,-1.0,2020,Russian Grand Prix,Sochi
63,RUS,russell,Williams,williams,George,Russell,George Russell,18.0,18,13.0,,,+1 Lap,0.0,-5.0,2020,Russian Grand Prix,Sochi
55,SAI,sainz,McLaren,mclaren,Carlos,Sainz,Carlos Sainz,19.0,R,6.0,,,Accident,0.0,-13.0,2020,Russian Grand Prix,Sochi
18,STR,stroll,Racing Point,racing_point,Lance,Stroll,Lance Stroll,20.0,R,12.0,,,Collision,0.0,-8.0,2020,Russian Grand Prix,Sochi
