DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,1.0,1,1.0,,0 days 01:23:40.387000,Finished,25.0,0.0,2015,Belgian Grand Prix,Spa
6,ROS,rosberg,Mercedes,mercedes,Nico,Rosberg,Nico Rosberg,2.0,2,2.0,,0 days 00:00:02.058000,Finished,18.0,0.0,2015,Belgian Grand Prix,Spa
8,GRO,grosjean,Lotus F1,lotus_f1,Romain,Grosjean,Romain Grosjean,3.0,3,9.0,,0 days 00:00:37.988000,Finished,15.0,6.0,2015,Belgian Grand Prix,Spa
26,KVY,kvyat,Red Bull,red_bull,Daniil,Kvyat,Daniil Kvyat,4.0,4,12.0,,0 days 00:00:45.692000,Finished,12.0,8.0,2015,Belgian Grand Prix,Spa
11,PER,perez,Force India,force_india,Sergio,Pérez,Sergio Pérez,5.0,5,4.0,,0 days 00:00:53.997000,Finished,10.0,-1.0,2015,Belgian Grand Prix,Spa
19,MAS,massa,Williams,williams,Felipe,Massa,Felipe Massa,6.0,6,6.0,,0 days 00:00:55.283000,Finished,8.0,0.0,2015,Belgian Grand Prix,Spa
7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,7.0,7,16.0,,0 days 00:00:55.703000,Finished,6.0,9.0,2015,Belgian Grand Prix,Spa
33,VER,max_verstappen,Toro Rosso,toro_rosso,Max,Verstappen,Max Verstappen,8.0,8,18.0,,0 days 00:00:56.076000,Finished,4.0,10.0,2015,Belgian Grand Prix,Spa
77,BOT,bottas,Williams,williams,Valtteri,Bottas,Valtteri Bottas,9.0,9,3.0,,0 days 00:01:01.040000,Power Unit,2.0,-6.0,2015,Belgian Grand Prix,Spa
9,ERI,ericsson,Sauber,sauber,Marcus,Ericsson,Marcus Ericsson,10.0,10,13.0,,0 days 00:01:31.234000,Finished,1.0,3.0,2015,Belgian Grand Prix,Spa
12,NAS,nasr,Sauber,sauber,Felipe,Nasr,Felipe Nasr,11.0,11,14.0,,0 days 00:01:42.311000,Finished,0.0,3.0,2015,Belgian Grand Prix,Spa
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,12.0,12,8.0,,,Tyre,0.0,-4.0,2015,Belgian Grand Prix,Spa
14,ALO,alonso,McLaren,mclaren,Fernando,Alonso,Fernando Alonso,13.0,13,20.0,,,+1 Lap,0.0,7.0,2015,Belgian Grand Prix,Spa
22,BUT,button,McLaren,mclaren,Jenson,Button,Jenson Button,14.0,14,19.0,,,+1 Lap,0.0,5.0,2015,Belgian Grand Prix,Spa
98,MER,merhi,Manor Marussia,manor,Roberto,Merhi,Roberto Merhi,15.0,15,17.0,,,+1 Lap,0.0,2.0,2015,Belgian Grand Prix,Spa
28,STE,stevens,Manor Marussia,manor,Will,Stevens,Will Stevens,16.0,16,15.0,,,+1 Lap,0.0,-1.0,2015,Belgian Grand Prix,Spa
55,SAI,sainz,Toro Rosso,toro_rosso,Carlos,Sainz,Carlos Sainz,17.0,R,10.0,,,Power Unit,0.0,-7.0,2015,Belgian Grand Prix,Spa
3,RIC,ricciardo,Red Bull,red_bull,Daniel,Ricciardo,Daniel Ricciardo,18.0,R,5.0,,,Power Unit,0.0,-13.0,2015,Belgian Grand Prix,Spa
13,MAL,maldonado,Lotus F1,lotus_f1,Pastor,Maldonado,Pastor Maldonado,19.0,R,7.0,,,Engine,0.0,-12.0,2015,Belgian Grand Prix,Spa
27,HUL,hulkenberg,Force India,force_india,Nico,Hülkenberg,Nico Hülkenberg,20.0,W,11.0,,,Power loss,0.0,-9.0,2015,Belgian Grand Prix,Spa
