DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,1.0,1,1.0,,0 days 01:24:08.761000,Finished,25.0,0.0,2020,Belgian Grand Prix,Spa-Francorchamps
77,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,2.0,2,2.0,,0 days 00:00:08.448000,Finished,18.0,0.0,2020,Belgian Grand Prix,Spa-Francorchamps
33,VER,max_verstappen,Red Bull Racing,red_bull,Max,Verstappen,Max Verstappen,3.0,3,3.0,,0 days 00:00:15.455000,Finished,15.0,0.0,2020,Belgian Grand Prix,Spa-Francorchamps
3,RIC,ricciardo,Renault,renault,Daniel,Ricciardo,Daniel Ricciardo,4.0,4,4.0,,0 days 00:00:18.877000,Finished,13.0,0.0,2020,Belgian Grand Prix,Spa-Francorchamps
31,OCO,ocon,Renault,renault,Esteban,Ocon,Esteban Ocon,5.0,5,6.0,,0 days 00:00:40.650000,Finished,10.0,1.0,2020,Belgian Grand Prix,Spa-Francorchamps
23,ALB,albon,Red Bull Racing,red_bull,Alexander,Albon,Alexander Albon,6.0,6,5.0,,0 days 00:00:42.712000,Finished,8.0,-1.0,2020,Belgian Grand Prix,Spa-Francorchamps
4,NOR,norris,McLaren,mclaren,Lando,Norris,Lando Norris,7.0,7,10.0,,0 days 00:00:43.774000,Finished,6.0,3.0,2020,Belgian Grand Prix,Spa-Francorchamps
10,GAS,gasly,AlphaTauri,alphatauri,Pierre,Gasly,Pierre Gasly,8.0,8,12.0,,0 days 00:00:47.371000,Finished,4.0,4.0,2020,Belgian Grand Prix,Spa-Francorchamps
18,STR,stroll,Racing Point,racing_point,Lance,Stroll,Lance Stroll,9.0,9,9.0,,0 days 00:00:52.603000,Finished,2.0,0.0,2020,Belgian Grand Prix,Spa-Francorchamps
11,PER,perez,Racing Point,racing_point,Sergio,Perez,Sergio Perez,10.0,10,8.0,,0 days 00:00:53.179000,Finished,1.0,-2.0,2020,Belgian Grand Prix,Spa-Francorchamps
26,KVY,kvyat,AlphaTauri,alphatauri,Daniil,Kvyat,Daniil Kvyat,11.0,11,11.0,,0 days 00:01:10.200000,Finished,0.0,0.0,2020,Belgian Grand Prix,Spa-Francorchamps
7,RAI,raikkonen,Alfa Romeo Racing,alfa,Kimi,Räikkönen,Kimi Räikkönen,12.0,12,16.0,,0 days 00:01:11.504000,Finished,0.0,4.0,2020,Belgian Grand Prix,Spa-Francorchamps
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,13.0,13,14.0,,0 days 00:01:12.894000,Finished,0.0,1.0,2020,Belgian Grand Prix,Spa-Francorchamps
16,LEC,leclerc,Ferrari,ferrari,Charles,Leclerc,Charles Leclerc,14.0,14,13.0,,0 days 00:01:14.920000,Finished,0.0,-1.0,2020,Belgian Grand Prix,Spa-Francorchamps
8,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,15.0,15,17.0,,0 days 00:01:16.793000,Finished,0.0,2.0,2020,Belgian Grand Prix,Spa-Francorchamps
6,LAT,latifi,Williams,williams,Nicholas,Latifi,Nicholas Latifi,16.0,16,19.0,,0 days 00:01:17.795000,Finished,0.0,3.0,2020,Belgian Grand Prix,Spa-Francorchamps
20,MAG,kevin_magnussen,Haas F1 Team,haas,Kevin,Magnussen,Kevin Magnussen,17.0,17,20.0,,0 days 00:01:25.540000,Finished,0.0,3.0,2020,Belgian Grand Prix,Spa-Francorchamps
99,GIO,giovinazzi,Alfa Romeo Racing,alfa,Antonio,Giovinazzi,Antonio Giovinazzi,18.0,R,18.0,,,Accident,0.0,0.0,2020,Belgian Grand Prix,Spa-Francorchamps
63,RUS,russell,Williams,williams,George,Russell,George Russell,19.0,R,15.0,,,Debris,0.0,-4.0,2020,Belgian Grand Prix,Spa-Francorchamps
55,SAI,sainz,McLaren,mclaren,Carlos,Sainz,Carlos Sainz,20.0,W,7.0,,,Exhaust,0.0,-13.0,2020,Belgian Grand Prix,Spa-Francorchamps
