DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
33,VER,max_verstappen,Red Bull,red_bull,Max,Verstappen,Max Verstappen,1.0,1,4.0,,0 days 01:41:40.017000,Finished,25.0,3.0,2016,Spanish Grand Prix,Montmeló
7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,2.0,2,5.0,,0 days 00:00:00.616000,Finished,18.0,3.0,2016,Spanish Grand Prix,Montmeló
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,3.0,3,6.0,,0 days 00:00:05.581000,Finished,15.0,3.0,2016,Spanish Grand Prix,Montmeló
3,RIC,ricciardo,Red Bull,red_bull,Daniel,Ricciardo,Daniel Ricciardo,4.0,4,3.0,,0 days 00:00:43.950000,Finished,12.0,-1.0,2016,Spanish Grand Prix,Montmeló
77,BOT,bottas,Williams,williams,Valtteri,Bottas,Valtteri Bottas,5.0,5,7.0,,0 days 00:00:45.271000,Finished,10.0,2.0,2016,Spanish Grand Prix,Montmeló
55,SAI,sainz,Toro Rosso,toro_rosso,Carlos,Sainz,Carlos Sainz,6.0,6,8.0,,0 days 00:01:01.395000,Finished,8.0,2.0,2016,Spanish Grand Prix,Montmeló
11,PER,perez,Force India,force_india,Sergio,Pérez,Sergio Pérez,7.0,7,9.0,,0 days 00:01:19.538000,Finished,6.0,2.0,2016,Spanish Grand Prix,Montmeló
19,MAS,massa,Williams,williams,Felipe,Massa,Felipe Massa,8.0,8,18.0,,0 days 00:01:20.707000,Finished,4.0,10.0,2016,Spanish Grand Prix,Montmeló
22,BUT,button,McLaren,mclaren,Jenson,Button,Jenson Button,9.0,9,12.0,,,+1 Lap,2.0,3.0,2016,Spanish Grand Prix,Montmeló
26,KVY,kvyat,Toro Rosso,toro_rosso,Daniil,Kvyat,Daniil Kvyat,10.0,10,13.0,,,+1 Lap,1.0,3.0,2016,Spanish Grand Prix,Montmeló
21,GUT,gutierrez,Haas F1 Team,haas,Esteban,Gutiérrez,Esteban Gutiérrez,11.0,11,16.0,,,+1 Lap,0.0,5.0,2016,Spanish Grand Prix,Montmeló
9,ERI,ericsson,Sauber,sauber,Marcus,Ericsson,Marcus Ericsson,12.0,12,19.0,,,+1 Lap,0.0,7.0,2016,Spanish Grand Prix,Montmeló
30,PAL,jolyon_palmer,Renault,renault,Jolyon,Palmer,Jolyon Palmer,13.0,13,17.0,,,+1 Lap,0.0,4.0,2016,Spanish Grand Prix,Montmeló
20,MAG,kevin_magnussen,Renault,renault,Kevin,Magnussen,Kevin Magnussen,14.0,14,15.0,,,+1 Lap,0.0,1.0,2016,Spanish Grand Prix,Montmeló
12,NAS,nasr,Sauber,sauber,Felipe,Nasr,Felipe Nasr,15.0,15,20.0,,,+1 Lap,0.0,5.0,2016,Spanish Grand Prix,Montmeló
94,WEH,wehrlein,Manor Marussia,manor,Pascal,Wehrlein,Pascal Wehrlein,16.0,16,21.0,,,+1 Lap,0.0,5.0,2016,Spanish Grand Prix,Montmeló
88,HAR,haryanto,Manor Marussia,manor,Rio,Haryanto,Rio Haryanto,17.0,17,22.0,,,+1 Lap,0.0,5.0,2016,Spanish Grand Prix,Montmeló
8,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,18.0,R,14.0,,,Engine,0.0,-4.0,2016,Spanish Grand Prix,Montmeló
14,ALO,alonso,McLaren,mclaren,Fernando,Alonso,Fernando Alonso,19.0,R,10.0,,,Engine,0.0,-9.0,2016,Spanish Grand Prix,Montmeló
27,HUL,hulkenberg,Force India,force_india,Nico,Hülkenberg,Nico Hülkenberg,20.0,R,11.0,,,Engine,0.0,-9.0,2016,Spanish Grand Prix,Montmeló
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,21.0,R,1.0,,,Collision,0.0,-20.0,2016,Spanish Grand Prix,Montmeló
6,ROS,rosberg,Mercedes,mercedes,Nico,Rosberg,Nico Rosberg,22.0,R,2.0,,,Collision,0.0,-20.0,2016,Spanish Grand Prix,Montmeló
